"UNITID","SITEID","UNITNAME","UNITHANDLE","UNITTYPEID","COLLECTID","DEPOSITID","COLLDATE","WATERDEPTH","NEO_HANDLE","UNIT_COMMT","COLL_SPEC","IS_CHAR","IS_IPPD","IS_NEOTOMA","UNIT_REF","NEO_UNITID"
27,"PAL00164","Black Creek Swamp pollen core","BLACKCK",5,14,84,"",-9999.99,"","","","true","false","false","Clark:1983thesis",NA
28,"PAL00112","Black Springs BSP00","BSP00",5,-9999,116,"1/07/2005",-9999.99,"","COREDATE source is IPPD","","true","false","true","McGowan:2012enso",NA
29,"PAL00112","Black Springs BSP02","BSP02",5,14,116,"1/06/2015",-9999.99,"BSP02","","","true","true","true","Field:2018coherent",37803
30,"PAL00096","Black Swamp_core1","BLACKSWP",5,-9999,84,"",-9999.99,"BLACKSW","","","true","true","true","Dodson:1986barrington",38491
31,"PAL00165","Blackwater Lake_core1","BLACKWLK",5,-9999,111,"2008",-9999.99,"","","","true","false","false","McWethy:2010rapid",NA
32,"PAL00166","Blackwells' Bush_core1","BLACKWELL",5,21,-9999,"",-9999.99,"","","","true","false","false","Horrocks:2001kaharoa",NA
33,"PAL00167","Blanche Cave BC","BLANCHE",5,7,110,"",0,"","","","true","false","false","Weij:2022naracoorte",NA
34,"PAL00168","TAS1602","TAS1602",5,14,84,"",-9999.99,"","","","true","false","false","Romano:2018reduced",NA
35,"PAL00007","Blue Lake Karboora 2007 composite","BLUEKARB",5,18,111,"2007",-9999.99,"","","","true","false","false","Barr:2013blue",NA
36,"PAL00028","Blue Lake Kosciuszko_core1","BLUEKOS",5,-9999,111,"",28,"","","","true","false","false","Mooney:0000blue",NA
37,"PAL00029","Blue Lake Kosciuszko Core 6","BLUEKOS6",5,7,111,"",28,"","","","true","false","false","Raine:1974thesis",NA
38,"PAL00030","Blue Lake Kosciuszko Core 2","BLUEKOS2",5,7,111,"",28,"","","","true","false","false","Raine:1974thesis",NA
39,"PAL00030","Blue Lake Kosciuszko Core 3","BLUEKOS3",5,7,111,"",28,"","","","true","false","false","Raine:1974thesis",NA
40,"PAL00030","Blue Lake Kosciuszko Core 1","BLUEKOS1",5,7,111,"",28,"","","","true","false","false","Raine:1974thesis",NA
41,"PAL00169","Blundells Flat_core1","BLUNDELL",5,-9999,-9999,"",-9999.99,"","","","true","false","false","Hope:2006blundells",NA
42,"PAL00170","Boat Harbour Creek BH2","BH2",5,20,84,"1/01/1996",0,"","","","true","false","false","Bickford:2008wetland",NA
43,"PAL00001","Bobundara Swamp pollen core","BOBUNDSWP",5,14,111,"",-9999.99,"","","","true","false","false","Hope:2007tilba",NA
44,"PAL00171","Boggy Swamp_core1","BOGGY",5,-9999,84,"",-9999.99,"","","","true","false","false","Dodson:1986barrington",NA
45,"PAL00078","Boigu Gawat Swamp 1 core 2","BOIGUSWP1",5,14,111,"",1.5,"","","","true","false","false","Rowe:2005history",NA
46,"PAL00079","Boigu Gawat Swamp 2 core 2","BOIGUSWP2",5,14,111,"",1.2,"","","","true","false","false","Rowe:2005history",NA
47,"PAL00172","Bolin Billabong Core 1 Core 4 composite","BOLIN",5,-9999,111,"",3,"","","","true","false","false","Leahy:2005bolin",NA
48,"PAL00024","Bondi Lake centre core","BONDIC",5,14,111,"",4.5,"","","","true","false","false","Dodson:1993human",NA
49,"PAL00025","Bondi Lake south core","BONDIS",5,14,111,"",4.5,"","","","true","false","false","Dodson:1993human",NA
50,"PAL00173","Boomer Swamp Core 12","BOOMERSWP",5,-9999,-9999,"",-9999.99,"","","","true","false","false","Head:1988discovery",NA
51,"PAL00174","Boulder Flat_core1","BOULDER",5,-9999,-9999,"",-9999.99,"","","","true","false","false","Kenyon:1989boulder",NA
52,"PAL00175","Breadalbane SE_core1","BREADALB",5,18,111,"",-9999.99,"","","","true","false","false","Dodson:1986goulburn",NA
53,"PAL00045","Bridgewater Lake Core A","BRIDGELKA",5,-9999,111,"",-9999.99,"","","","true","false","false","Head:1988discovery",NA
54,"PAL00046","Bridgewater Lake Core B","BRIDGELKB",5,-9999,111,"",-9999.99,"","","","true","false","false","Head:1988discovery",NA
55,"PAL00047","Bridgewater Lake in situ beach peat","BRIDGELKIN",5,-9999,-9999,"",-9999.99,"","","","true","false","false","Head:1988discovery",NA
56,"PAL00048","Bridgewater Lake not in situ beach peat","BRIDGELKPE",5,-9999,-9999,"",-9999.99,"","","","true","false","false","Head:1988discovery",NA
57,"PAL00002","Bromfield Swamp core BS02","BS02",5,19,84,"",-9999.99,"","","","true","false","false","Roe:2015thesis",NA
58,"PAL00003","Bromfield Swamp BSAT03","BSAT03",5,19,84,"1/06/2009",1.1,"","","","true","false","false","Burrows:2014humification",NA
59,"PAL00004","Bromfield Swamp_core1","BROMFIELD",5,17,84,"",-9999.99,"","","","true","false","false","Shi:2021wildfires",NA
60,"PAL00176","Brooks Ridge Fen_core1","BROOKSR",14,40,-9999,"1/01/1995",0,"","","","true","false","false","Mooney:1997montane",NA
61,"PAL00177","Buck03","BUCK03",5,7,7,"1/12/2016",-9999.99,"","","","true","false","false","Graves:2019macrocharcoal",NA
62,"PAL00177","Buck02","BUCK02",5,7,7,"1/12/2016",-9999.99,"","","","true","false","false","Graves:2019macrocharcoal",NA
63,"PAL00178","Bullock Creek BC1","BC1",5,14,84,"",-9999.99,"","","","true","false","false","Shulmeister:2003cobb",NA
64,"PAL00179","Bumpy Lagoon_core1","BUMPYLGN",5,-9999,111,"",-9999.99,"","","","true","false","false","Adeleye:2021furneaux",NA
65,"PAL00180","Burraga Swamp centre core","BURRAGC",5,14,84,"",-9999.99,"","","","true","false","false","Dodson:1994burraga",NA
66,"PAL00181","Burralow Creek Swamp_core1","BURRALOW",5,20,-9999,"",-9999.99,"","","","true","false","false","Chalson:1991thesis",NA
67,"PAL00182","Butchers Swamp_core1","BUTCHER",5,-9999,84,"",-9999.99,"","","","true","false","false","Dodson:1986barrington",NA
68,"PAL00183","Buxton_core1","BUXTON",5,19,84,"",-9999.99,"","","","true","false","false","McKenzie:2002highlandsii",NA
69,"PAL00055","Byenup Lagoon Site 1_core1","BYENUP1",5,14,111,"1996",-9999.99,"","","","true","false","false","Dodson:2000byenup",NA
70,"PAL00056","Byenup Lagoon Site 2_core1","BYENUP2",5,14,111,"1997",-9999.99,"","","","true","false","false","Dodson:2000byenup",NA
71,"PAL00184","Caledonia Fen 1997 2001 composite","CALEDONIA",5,18,-9999,"1997",0.1,"","","","true","false","false","Kershaw:2007caledonia",NA
72,"PAL00184","Caledonia Fen 2009 core","CALED2009",5,14,-9999,"2009",-9999.99,"","","","true","false","false","Nelson:2016variation",NA
73,"PAL00128","Cameron's Lagoon_core1","CAMERONS",5,20,84,"10/01/1980",1,"CAMERONS","see UNITID 602. Recored in 1983. Does not have a Neotoma collection unit name","centre of the lagoon (water depth = 0.4 m)","true","true","true","Thomas:1994cameron",11306
74,"PAL00185","Campbell Creek_core1","CAMPBCK",5,20,84,"",-9999.99,"","","","true","false","false","McGlone:1997old",NA
75,"PAL00186","Campbell Island Site B-120_core1","CAMPB120",5,20,84,"",-9999.99,"","","","true","false","false","McGlone:2007campbell",NA
76,"PAL00187","Campbell Island Site B-50_core1","CAMPB50",5,20,84,"",-9999.99,"","","","true","false","false","McGlone:2007campbell",NA
77,"PAL00188","Campbell Island Site S-115_core1","CAMPS115",5,7,84,"",-9999.99,"","","","true","false","false","McGlone:2007campbell",NA
78,"PAL00189","Campbell Island Site S-195_core1","CAMPS195",5,7,84,"",-9999.99,"","","","true","false","false","McGlone:2007campbell",NA
79,"PAL00190","Campbell Island Site S-30_core1","CAMPS30",6,5,84,"",-9999.99,"","","","true","false","false","McGlone:2007campbell",NA
80,"PAL00191","Campbell Island Site S-360_core1","CAMPS360",5,7,84,"",-9999.99,"","","","true","false","false","McGlone:2007campbell",NA
81,"PAL00192","Campbell Island Site T-420_core1","CAMPT420",5,7,84,"",-9999.99,"","","","true","false","false","McGlone:2007campbell",NA
82,"PAL00097","Caution Bay Core 1","CAUTION1",5,20,112,"",-9999.99,"","","","true","false","false","Rowe:2013caution",NA
83,"PAL00098","Caution Bay Core 3","CAUTION3",5,20,112,"",-9999.99,"","","","true","false","false","Rowe:2013caution",NA
84,"PAL00193","Chapple Vale Swamp composite core","CHAPPLE",5,7,-9999,"",-9999.99,"","","","true","false","false","McKenzie:1997chapple",NA
85,"PAL00194","Chumbrumba_core1","CHUMBR",5,14,84,"2011",0,"","","","true","false","false","Lynch:2020rainforest",NA
86,"PAL00195","X72/77","CLARKSJ",5,14,84,"1/01/1972",0,"","","","true","false","false","Leslie:1973clarks",NA
87,"PAL00005","Cleveland Lagoon_core1","CLEVELAND",6,5,111,"",-9999.99,"","","","true","false","false","Romanin:2016transition",NA
88,"PAL00084","Club Lake CL4","CL4",5,19,-9999,"2011",1,"","","","true","false","false","Thomas:2022anomaly",NA
89,"PAL00085","Club Lake western basin_core1","CLUBLK",14,40,-9999,"",0,"","","","true","false","false","Dodson:1994kosciusko",NA
90,"PAL00196","Cobb Valley CV2","CV2",5,14,84,"",-9999.99,"","","","true","false","false","Shulmeister:2003cobb",NA
91,"PAL00197","Cobb Valley CV3","CV3",5,14,84,"",-9999.99,"COBBCV3","","","true","true","true","Shulmeister:2003cobb",39669
92,"PAL00042","Cobrico Swamp edge_core1","COBRICO",5,20,-9999,"",1,"","","","true","false","false","Dodson:1994cobrico",NA
93,"PAL00099","CCS1","CCS1",5,14,84,"12/04/2018",0,"","","","true","false","false","Hanson:2023rainbow",NA
94,"PAL00138","CSM_NRP_001","CSM001",6,5,113,"4/10/2019",0,"","","","true","false","false","Patton:2023cooloola",NA
95,"PAL00139","CSM_NRP_004","CSM004",6,5,113,"4/12/2019",0,"","","","true","false","false","Patton:2023cooloola",NA
96,"PAL00140","CSM_NRP_007","CSM007",6,5,113,"16/06/2019",0,"","","","true","false","false","Patton:2023cooloola",NA
97,"PAL00141","CSM_NRP_010","CSM010",6,5,113,"17/07/2019",0,"","","","true","false","false","Patton:2023cooloola",NA
98,"PAL00198","CSN-Monolith","CORRALSWP",14,40,84,"8/02/2022",0,"","","","true","false","false","Turney:2021chronos",NA
99,"PAL00199","Cotter Source Bog Centre Core A","CSBCA",5,20,84,"1/02/1996",-9999.99,"","","","true","false","false","Hope:2008namadgi",NA
100,"PAL00200","Cotter Source Bog Margin CSBM","CSBM",6,5,84,"1/05/1997",-9999.99,"","","","true","false","false","Hope:2008namadgi",NA
101,"PAL00018","Crystal Lagoon_core1","CRYLGN",5,14,111,"2019",1,"CRYLGN","IPPD collection date is 18/12/2020","","true","true","true","Adeleye:2021bridge",37890
102,"PAL00201","Cuddie Springs_core1","CUDDIE",5,-9999,-9999,"",0,"","","","true","false","false","Field:2002pleistocene",NA
103,"PAL00202","Curreens' Paddock_core1","CURREEN",5,21,-9999,"",-9999.99,"","","","true","false","false","Horrocks:2001kaharoa",NA
104,"PAL00203","Dalhousie Springs_core1","DALHOUS",5,-9999,-9999,"",-9999.99,"","","","true","false","false","Boyd:1990dalhousie",NA
105,"PAL00204","Dandabah Swamp DB-3","DB3",5,18,84,"",-9999.99,"","","","true","false","false","Moravek:2012bunya",NA
106,"PAL00488","Dead Sheep Cave DS","DEADSHEEP",5,7,110,"",0,"","","","true","false","false","Weij:2022naracoorte",NA
107,"PAL00205","Deep Creek Tapanappa Swamp DCT2","DCT2",5,20,84,"1/01/1996",-9999.99,"","","","true","false","false","Bickford:2008wetland",NA
108,"PAL00050","Deepwater Lake DWL","DWL",5,19,111,"2016",4.9,"","","","true","false","false","Raven:2017deepwater",NA
109,"PAL00206","DP3","DP3",5,-9999,28,"1994",-9999.99,"","","","true","false","false","Moss:2007mersey",NA
110,"PAL00206","DP1","DP1",5,-9999,28,"1986",-9999.99,"","","","true","false","false","Moss:2007mersey",NA
111,"PAL00207","DP2","DP2",5,-9999,28,"1986",-9999.99,"","","","true","false","false","Moss:2007mersey",NA
112,"PAL00208","Diamond Lake 2007 core","DIAMOND07",5,19,111,"2007",-9999.99,"","","","true","false","false","McWethy:2009fires",NA
113,"PAL00208","Diamond Lake 2009 core","DIAMOND09",5,-9999,111,"2009",-9999.99,"","","","true","false","false","McWethy:2010rapid",NA
114,"PAL00208","DIA2013","DIA2013",5,19,111,"2013",7.2,"","","","true","false","false","McWethy:2009fires",NA
115,"PAL00209","Dingle Burn_core1","DINGLEB",5,-9999,111,"2008",-9999.99,"","","","true","false","false","McWethy:2010rapid",NA
116,"PAL00006","Diprose Lagoon_core1","DIPROSE",5,19,111,"",-9999.99,"","","","true","false","false","Romanin:2016transition",NA
117,"PAL00124","TAS1507 SC2","TAS1507",5,-9999,111,"1/01/2015",65,"","","","true","false","false","Mariani:2017openness",NA
118,"PAL00125","Dove Lake_core1","COREDC1",5,42,111,"15/01/1994",-9999,"COREDC1","","","true","true","true","Dyson:1995dove",33694
119,"PAL00210","Dublin Bog Core 8","DUBLIN",5,19,84,"",-9999.99,"","","","true","false","false","Colhoun:1991dublin",NA
120,"PAL00136","Dukes Tarn 2008 core","DUKES",5,-9999,111,"01/03/2008",-9999.99,"DUKES","","polycarbonate tube (Klien core)","true","true","true","McWethy:2010rapid",11142
121,"PAL00211","Duncan Stream_core1","DUNCANST",5,-9999,84,"",-9999.99,"","","","true","false","false","McGlone:1998mackenzie",NA
122,"PAL00212","Dunphy Lake DL_C1","DLC1",5,7,111,"12/10/2014",0,"","","","true","false","false","Lobb:2015dunphy",NA
123,"PAL00212","Dunphy Lake DL_A1","DLA1",5,41,111,"12/10/2014",0,"","","","true","false","false","Lobb:2015dunphy",NA
124,"PAL00100","Egg Lagoon EL10 EL11 composite","EGGLGN",5,7,84,"",-9999.99,"EGGLGN","","hand-driven auger","true","true","true","DCosta:1993egg",36203
125,"PAL00065","EPIC","EPIC",5,20,84,"15/01/2022",5,"","","","true","false","false","Adeleye:2023moorland",NA
126,"PAL00213","Erua Swamp_core1","ERUASWP",5,20,84,"",-9999.99,"","","","true","false","false","Horrocks:1998erua",NA
127,"PAL00214","Euabalong Bore 36171","EUABALONG",5,-9999,28,"",-9999.99,"","","","true","false","false","Martin:1987lachlan",NA
128,"PAL00063","X97/10","EWEBURN",5,14,84,"1/01/1997",0,"EWEBURN","Coring site is approximately 20 m from a large tarn, in an area dominated by Sphagnum cristatum. It is close to a zone where the bog becomes more waterlogged and increasingly dominated by the hydrophilous S. falcatulum towards the edge of the tarn. A dense scrub predominantly of Dracophyllum and Halocarpus surrounds the site. The immediate area of the bog has been largely deforested. Small forest remnants nearby are dominated by Nothofagus solandri var. cliffortioides with lesser amounts of N. menziezii, N. fusca and occasional scattered trees of Dacrydium cupressinum, and Podocarpus hallii over an open understorey of Neomyrtu pedunculata and Myrsine divaricata.","1-m long (10-cm diameter) D-section corer for the top 500 cm, and a Hiller borer for the bottom 500-550 cm section","true","true","true","Wilmshurst:2002linkages",38584
129,"PAL00111","FRN02 (Fern Pool)","FRN02",5,14,116,"1/06/2015",-9999.99,"FRN02","Neotoma/IPPD: Spring mound","","true","true","true","Field:2018coherent",37802
130,"PAL00215","Forsythes' Paddock_core1","FORSYTHES",5,21,-9999,"",-9999.99,"","","","true","false","false","Horrocks:2001kaharoa",NA
131,"PAL00216","FC-Monolith","FORTRESS",14,40,84,"13/12/2021",0,"","","","true","false","false","Turney:2021chronos",NA
132,"PAL00086","Four Mile Billabong Core 89.1","FOURMILE",5,19,111,"1989",1.5,"FOURMI88","IPPD collection date is 01-06-1988","Lake Cores were collected by hand in 1988. 50mm diameter cores were collected using soft steel tubing in 1988. (Shulmeister,1991)","true","true","true","Shulmeister:1991thesis",41543
133,"PAL00217","GC-17","GC17",5,-9999,9,"1/12/1995",1093,"","","","true","false","false","vanderKaars:2002offshore",NA
134,"PAL00218","Fred South Swamp_core1","FREDSOUTH",5,20,84,"",1,"","","","true","false","false","Builth:2008eccles",NA
135,"PAL00219","Gabbro Creek GB1","GB1",5,14,84,"",-9999.99,"","","","true","false","false","Shulmeister:2003cobb",NA
136,"PAL00220","Gallahers Swamp_core1","GALLAHERS",5,-9999,-9999,"",-9999.99,"","","","true","false","true","Hope:2005rock",NA
137,"PAL00221","Galway Tarn 0111 0505 composite","GALWAY",5,-9999,111,"",-9999.99,"","","","true","false","false","Vandergoes:2013westland",NA
138,"PAL00110","ELZ01 (Gap Springs)","ELZ01",5,14,116,"1/06/2015",-9999.99,"ELZ01","Neotoma/IPPD: Spring mound","","true","true","true","Field:2018coherent",37845
139,"PAL00222","GCS1","GCS1",5,20,84,"1989",0,"","","","true","false","false","Stephens:1995palaeoecology",NA
140,"PAL00222","GCS2","GCS2",5,20,84,"1989",0,"","","","true","false","false","Stephens:1995palaeoecology",NA
141,"PAL00223","Ginini Flats_core1","GININIFLAT",5,-9999,-9999,"",-9999.99,"","","","true","false","false","Hope:2005brindabella",NA
142,"PAL00224","X96/2","GLENDBOG",5,14,84,"1/01/1996",0,"","","","true","false","false","McGlone:1999otago",NA
143,"PAL00225","Glendhu Lagoon_core1","GLENDLGN",5,20,111,"1998",-9999.99,"","","","true","false","false","McWethy:2009fires",NA
144,"PAL00226","Gooches Swamp GCR","GCR",5,14,-9999,"1/06/2002",-9999.99,"","","","true","false","false","Black:2006nexus",NA
145,"PAL00127","Granta Pools_core1","GRANTA",5,20,111,"01-01-2008",-9999.99,"GOG","COREDATE source is IPPD","","true","true","true","Fletcher:2014shift",11349
146,"PAL00227","Grays' Swamp_core1","GRAYSSWP",5,20,84,"",-9999.99,"","","","true","false","false","Horrocks:2001kaharoa",NA
147,"PAL00087","Green Lagoon_core1","GRNLGN",5,-9999,111,"06-12-2019",50,"GRNLGN","COREDATE source is IPPD","","true","true","true","Adeleye:2021heathland",36060
148,"PAL00228","Greens Bush_core1","GREENSBUSH",5,-9999,-9999,"",-9999.99,"","","","true","false","false","Jenkins:1992thesis",NA
149,"PAL00229","Grey Pole Swamp Broughton Island_core1","GREYPOLE",5,14,84,"2005",-9999.99,"","","","true","false","false","Mooney:2020broughton",NA
150,"PAL00230","Griffith Swamp_core1","GRIFFITH",5,14,84,"",0.1,"","","","true","false","false","Mooney:2007sydney",NA
151,"PAL00231","Gulf of Papua MD05-2950","MD05",5,19,9,"2005",476,"","","","true","false","false","Thomas:2018papua",NA
152,"PAL00232","Gulf of Papua MV-41","MV41",5,19,9,"2004",92,"","","","true","false","false","Thomas:2018papua",NA
153,"PAL00233","Gulf of Papua MV-46","MV46",5,19,9,"2004",399,"","","","true","false","false","Thomas:2018papua",NA
154,"PAL00234","Haeapugua Basin core H6","HAEAPH6",5,14,84,"",-9999.99,"","see UNITID 600","","true","false","false","Haberle:1993tari",NA
155,"PAL00235","Halfmoon Bay X81/20","HALFMOON",5,20,-9999,"",0,"","","","true","false","false","McGlone:1996stewart",NA
156,"PAL00236","Halls Bush_core1","HALLSB",5,20,84,"",-9999.99,"","","","true","false","false","Rose:2004holocene",NA
157,"PAL00237","Harataonga_core1","HARATAON",5,21,84,"",-9999.99,"","","","true","false","false","Horrocks:2002harataonga",NA
158,"PAL00061","TAS1207","TAS1207",5,19,111,"1/01/2012",40.5,"","","","true","false","false","Mariani:2017pacific",NA
159,"PAL00026","HAZLAG","HAZLAG",5,14,111,"1/02/2009",0,"","","","true","false","false","Mackenzie:2017hazards",NA
160,"PAL00238","Henty Bridge_core1","HENTY",5,-9999,111,"",-9999.99,"","","","true","false","false","Colhoun:1985henty",NA
161,"PAL00088","Hidden Swamp_core1","HS78",5,20,84,"01-06-1978",-9999.99,"HS78","COREDATE source is IPPD","","true","true","true","Hooley:1980whale",37910
162,"PAL00239","Hogan's Billabong core a","HOGAN",5,19,111,"1/07/2000",2.5,"","","","true","false","false","Reid:2007murray",NA
163,"PAL00066","HOOKEMAN","HOOKEMAN",5,20,84,"16/01/2022",0.5,"","","","true","false","false","Adeleye:2023moorland",NA
164,"PAL00240","Hopcroft's Billabong_core1","HOPCROFT",5,-9999,111,"",-9999.99,"","","","true","false","false","Gell:2005diatom",NA
165,"PAL00241","Hope Fault peat core 1 core 2 composite","HOPEFAULT",5,-9999,84,"",-9999.99,"","","","true","false","false","Cowan:1991hope",NA
166,"PAL00242","Hopwood's Lagoon_core1","HOPWOOD",5,-9999,111,"",-9999.99,"","","","true","false","false","Smeulders:1999hopwoods",NA
167,"PAL00243","HFS-D-section","HORSEFLY",5,14,84,"1/02/2022",0,"","","","true","false","false","Tennant:2022hons",NA
168,"PAL00244","Horseshoe Lake_core1","HORSESHOE",5,-9999,111,"2008",-9999.99,"","","","true","false","false","McWethy:2010rapid",NA
169,"PAL00245","Howes Waterhole Swamp_core1","HOWESSWP",5,-9999,-9999,"",-9999.99,"","","","true","false","false","Mason:2004mellong",NA
170,"PAL00246","Hyde Rock Cirque_core1","HYDECIRQ",5,20,84,"",-9999.99,"","","","true","false","false","McGlone:1997old",NA
171,"PAL00247","Idaburn Valley_core1","IDABURN",5,-9999,84,"",-9999.99,"","","","true","false","false","McGlone:1998mackenzie",NA
172,"PAL00113","Ijomba Bog_core1","IJOMBA",5,20,84,"10/01/1971",-9999.99,"IJOMBA","Valley mire. Discontinuity between lower lacustrine and upper fen peats; COREDATE source is IPPD","","true","true","true","Hope:1976glaciers",11293
173,"PAL00248","Iluka Swamp core C3","ILUKASWP",5,20,84,"29/05/2011",0,"","","","true","false","false","Mooney:0000iluka",NA
174,"PAL00249","Ingar Swamp_core1","INGARSWP",5,20,-9999,"",-9999.99,"","","","true","false","false","Chalson:1991thesis",NA
175,"PAL00250","Isabella Swamp Creek Core 2","ISABELLA",5,20,84,"1989",-9999.99,"","","","true","false","false","Stephens:1995palaeoecology",NA
176,"PAL00251","Jemalong Gap Bore 36079","JEMALONG",5,-9999,28,"",-9999.99,"","","","true","false","false","Martin:1987lachlan",NA
177,"PAL00252","Jibbon Lagoon Core 3","JIBBON",5,14,84,"1983",1.2,"","","","true","false","false","Mooney:2001clues",NA
178,"PAL00253","Junction Park Billabong JP1","JP1",5,19,-9999,"",-9999.99,"","","","true","false","false","Tibby:2020junction",NA
179,"PAL00254","Kaipo_core1","KAIPO",5,-9999,84,"",-9999.99,"","","","true","false","false","Newnham:2000reversal",NA
180,"PAL00255","Kaitaia Bog Borehole 3","KAITAIA3",5,14,84,"",-9999.99,"","","","true","false","false","Elliot:1998kaitaia",NA
181,"PAL00256","Kaitaia Bog Borehole 6","KAITAIA6",5,14,84,"",-9999.99,"","","","true","false","false","Elliot:1998kaitaia",NA
182,"PAL00258","Kaitoke Swamp_core1","KAITOKE",5,21,84,"",-9999.99,"","","","true","false","false","Horrocks:2000kaitoke",NA
183,"PAL00259","Kaitoke Swamp Tongue_core1","KAITOKETON",6,5,-9999,"",0,"","","","true","false","false","Horrocks:2001kaharoa",NA
184,"PAL00260","Kangaroo Creek Monolith KCM","KCM",14,40,111,"2001",3.5,"","","","true","false","false","Tibby:2010kangaroo",NA
185,"PAL00261","Katoomba Swamp Core 1","KATOOMBA1",5,20,84,"",0,"","","","true","false","false","Chalson:1991thesis",NA
186,"PAL00261","Katoomba Swamp Core 2","KATOOMBA2",5,20,84,"",0,"","","","true","false","false","Chalson:1991thesis",NA
187,"PAL00262","Kawarau Gorge K9 X82/2","KAWARAU",5,-9999,84,"",-9999.99,"","","","true","false","false","McGlone:1995central",NA
188,"PAL00263","Kelela Swamp_core1","KELELASWP",5,-9999,84,"",-9999.99,"","","","true","false","true","Haberle:1991baliem",NA
189,"PAL00264","X97/22","KETTLE",5,14,84,"1/01/1997",0,"","","","true","false","false","McGlone:2004cass",NA
190,"PAL00265","Killalea Lagoon centre core","KILLALEA",5,14,112,"",1,"","","","true","false","false","Dodson:1993human",NA
191,"PAL00266","Killiecrankie Swamp_core1","KILLIECR",5,-9999,-9999,"",-9999.99,"","","","true","false","false","Ladd:1992flinders",NA
192,"PAL00109","King River KR02","KR02",5,20,7,"01/01/2011",-9999.99,"WYNDHAM","is Neotoma/IPPD unit Wyndham; Mangrove Swamp","","true","true","true","Proske:2014kimberley",38176
