"VARCONTXID","VARCONTEXT","CREATED_AT","UPDATED_AT"
101,"NISP","2024-04-12 14:19:58.880 +0200","2024-04-12 14:19:58.880 +0200"
102,"32","2024-04-12 14:19:58.880 +0200","2024-04-12 14:19:58.880 +0200"
103,"10679","2024-04-12 14:19:58.880 +0200","2024-04-12 14:19:58.880 +0200"
104,"2.1216","2024-04-12 14:19:58.880 +0200","2024-04-12 14:19:58.880 +0200"
105,"2701","2024-04-12 14:19:58.880 +0200","2024-04-12 14:19:58.880 +0200"
106,"0.380952381","2024-04-12 14:19:58.880 +0200","2024-04-12 14:19:58.880 +0200"
107,"10606.24176","2024-04-12 14:19:58.880 +0200","2024-04-12 14:19:58.880 +0200"
108,"27841.38462","2024-04-12 14:19:58.880 +0200","2024-04-12 14:19:58.880 +0200"
109,"72","2024-04-12 14:19:58.880 +0200","2024-04-12 14:19:58.880 +0200"
110,"macrocharcoal","2024-04-12 14:19:58.880 +0200","2024-04-12 14:19:58.880 +0200"
111,"microcharcoal counted with amoebae","2024-04-12 14:19:58.880 +0200","2024-04-12 14:19:58.880 +0200"
112,"testate amoebae and microcharcoal","2024-04-12 14:19:58.880 +0200","2024-04-12 14:19:58.880 +0200"
113,"m","2024-04-12 14:19:58.880 +0200","2024-04-12 14:19:58.880 +0200"
114,"mg/L","2024-04-12 14:19:58.880 +0200","2024-04-12 14:19:58.880 +0200"
115,"µS 25C","2024-04-12 14:19:58.880 +0200","2024-04-12 14:19:58.880 +0200"
116,"PALM","2024-04-12 14:19:58.880 +0200","2024-04-12 14:19:58.880 +0200"
117,"SUCC","2024-04-12 14:19:58.880 +0200","2024-04-12 14:19:58.880 +0200"
118,"18.5","2024-04-12 14:19:58.880 +0200","2024-04-12 14:19:58.880 +0200"
119,"18584","2024-04-12 14:19:58.880 +0200","2024-04-12 14:19:58.880 +0200"
120,"31","2024-04-12 14:19:58.880 +0200","2024-04-12 14:19:58.880 +0200"
121,"740","2024-04-12 14:19:58.880 +0200","2024-04-12 14:19:58.880 +0200"
122,"pre-quaternary","2024-04-12 14:19:58.880 +0200","2024-04-12 14:19:58.880 +0200"
123,"cm3","2024-04-12 14:19:58.880 +0200","2024-04-12 14:19:58.880 +0200"
124,"grains/cm3","2024-04-12 14:19:58.880 +0200","2024-04-12 14:19:58.880 +0200"
125,"Pre-Quaternary","2024-04-12 14:19:58.880 +0200","2024-04-12 14:19:58.880 +0200"
126,"10 kV","2024-04-12 14:19:58.880 +0200","2024-04-12 14:19:58.880 +0200"
127,"30 kV","2024-04-12 14:19:58.880 +0200","2024-04-12 14:19:58.880 +0200"
128,"50 kV","2024-04-12 14:19:58.880 +0200","2024-04-12 14:19:58.880 +0200"
129,"CONC","2024-04-12 14:19:58.880 +0200","2024-04-12 14:19:58.880 +0200"
130,">125 µm","2024-04-12 14:19:58.880 +0200","2024-04-12 14:19:58.880 +0200"
