"VARIABLEID","TAXONID","VARELEMTID","VARUNITID","VARCONTXID","CREATED_AT","UPDATED_AT"
199,199,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
210,210,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
218,218,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
220,220,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
224,224,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
225,225,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
228,228,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
234,234,166,19,NA,"2024-04-10 11:40:03.030 +0200",NA
236,236,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
240,240,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
247,247,166,19,NA,"2024-04-10 11:40:03.030 +0200",NA
254,254,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
256,256,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
257,257,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
258,258,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
260,260,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
266,266,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
267,267,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
268,268,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
271,271,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
276,276,194,17,NA,"2024-04-10 11:40:03.030 +0200",NA
278,278,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
284,284,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
286,286,166,19,NA,"2024-04-10 11:40:03.030 +0200",NA
293,293,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
294,294,166,19,NA,"2024-04-10 11:40:03.030 +0200",NA
296,296,166,19,NA,"2024-04-10 11:40:03.030 +0200",NA
297,297,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
300,300,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
304,304,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
305,305,166,19,NA,"2024-04-10 11:40:03.030 +0200",NA
307,307,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
308,308,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
311,311,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
312,312,142,19,NA,"2024-04-10 11:40:03.030 +0200",NA
313,313,142,19,NA,"2024-04-10 11:40:03.030 +0200",NA
316,316,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
329,329,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
330,330,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
332,332,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
339,339,166,19,NA,"2024-04-10 11:40:03.030 +0200",NA
340,313,166,19,NA,"2024-04-10 11:40:03.030 +0200",NA
341,341,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
346,346,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
347,347,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
348,348,166,19,NA,"2024-04-10 11:40:03.030 +0200",NA
349,349,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
350,350,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
351,351,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
355,355,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
372,372,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
379,379,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
380,380,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
385,385,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
387,387,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
390,390,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
391,391,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
409,409,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
416,416,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
417,417,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
418,418,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
420,420,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
430,430,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
448,448,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
449,449,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
452,452,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
454,454,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
460,460,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
464,464,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
472,472,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
473,473,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
480,480,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
483,483,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
498,498,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
502,502,166,19,NA,"2024-04-10 11:40:03.030 +0200",NA
508,508,166,19,NA,"2024-04-10 11:40:03.030 +0200",NA
514,514,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
515,515,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
517,517,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
518,518,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
540,540,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
543,543,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
545,545,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
549,549,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
604,604,166,19,NA,"2024-04-10 11:40:03.030 +0200",NA
613,613,166,19,NA,"2024-04-10 11:40:03.030 +0200",NA
644,644,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
653,653,166,19,NA,"2024-04-10 11:40:03.030 +0200",NA
655,655,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
676,676,166,19,NA,"2024-04-10 11:40:03.030 +0200",NA
677,677,166,19,NA,"2024-04-10 11:40:03.030 +0200",NA
694,694,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
702,702,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
715,715,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
733,733,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
735,735,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
737,737,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
751,751,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
762,762,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
763,763,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
775,775,170,19,NA,"2024-04-10 11:40:03.030 +0200",NA
776,776,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
799,799,166,19,NA,"2024-04-10 11:40:03.030 +0200",NA
807,807,166,19,NA,"2024-04-10 11:40:03.030 +0200",NA
809,809,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
825,825,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
835,835,166,19,NA,"2024-04-10 11:40:03.030 +0200",NA
854,854,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
859,859,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
877,877,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
881,881,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
883,883,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
908,908,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
909,909,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
910,910,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
911,911,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
930,930,56,15,NA,"2024-04-10 11:40:03.030 +0200",NA
931,930,143,20,NA,"2024-04-10 11:40:03.030 +0200",NA
932,932,57,20,NA,"2024-04-10 11:40:03.030 +0200",NA
936,936,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
957,957,166,19,NA,"2024-04-10 11:40:03.030 +0200",NA
958,958,166,19,NA,"2024-04-10 11:40:03.030 +0200",NA
964,964,166,19,NA,"2024-04-10 11:40:03.030 +0200",NA
966,966,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
968,968,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1013,1013,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1015,1015,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1017,1017,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1019,1019,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1021,1021,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1023,1023,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1024,1024,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1028,1028,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1037,1037,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1042,1042,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1051,1051,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1052,1052,166,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1058,1058,166,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1072,1072,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1078,1078,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1092,1092,166,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1094,1094,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1098,1098,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1108,1108,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1114,1114,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1117,1117,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1120,1120,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1128,1128,142,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1130,1130,166,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1131,1131,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1136,1136,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1138,1138,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1142,1142,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1160,1160,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1167,1167,166,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1168,1168,166,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1172,1172,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1178,1178,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1180,1180,166,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1203,1203,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1205,1205,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1207,1207,166,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1214,1214,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1220,1220,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1231,1231,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1245,1245,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1249,1249,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1253,1253,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1256,1256,166,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1262,1262,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1265,1265,166,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1266,1266,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1268,1268,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1278,1278,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1297,1297,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1305,1305,57,20,NA,"2024-04-10 11:40:03.030 +0200",NA
1327,1327,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1343,1343,166,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1344,1344,166,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1348,1348,166,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1354,1354,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1389,296,142,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1405,1405,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1408,1408,142,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1414,1414,142,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1415,1415,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1433,1433,166,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1471,1471,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1480,1480,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1489,1489,166,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1515,1515,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1517,1517,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1535,2054,128,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1580,1580,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1596,1596,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1600,1600,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1601,1601,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1605,1605,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1613,1613,166,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1615,1615,166,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1623,1623,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1624,1624,166,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1625,1625,166,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1628,1628,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1629,1629,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1630,1630,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1636,1636,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1637,1637,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1641,1641,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1657,1657,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1662,1662,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1666,1666,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1667,1667,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1678,1678,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1679,1679,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1690,1690,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1695,1695,166,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1701,1701,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1710,1710,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1716,1716,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1723,1723,166,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1725,1725,166,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1727,1727,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1729,1729,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1732,1732,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1733,1733,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1742,1742,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1743,1743,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1744,1744,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1746,1746,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1764,1764,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1770,1770,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1775,1775,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1778,1778,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1791,1791,166,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1793,1793,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1794,1794,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1822,1822,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1841,1841,166,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1845,1845,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1847,1847,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1854,1854,166,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1877,1877,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1880,1880,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1896,1896,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1897,1897,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1910,1910,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1918,1918,166,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1925,1925,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1931,1931,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1941,1941,166,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1944,1944,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1955,1955,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1968,1968,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1969,1969,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1989,1989,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1995,1995,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
1997,1997,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
2001,2001,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
2003,2003,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
2005,2005,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
2010,2010,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
2013,2013,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
2026,2026,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
2027,2027,166,19,NA,"2024-04-10 11:40:03.030 +0200",NA
2031,2031,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
2036,2036,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
2047,2047,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
2056,2056,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
2059,2059,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
2066,2066,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
2089,2089,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
2096,2096,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
2112,2112,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
2113,2113,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
2126,2126,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
2129,2129,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
2143,2143,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
2178,2178,NA,20,NA,"2024-04-10 11:40:03.030 +0200",NA
2184,2184,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
2193,2193,166,19,NA,"2024-04-10 11:40:03.030 +0200",NA
2248,2248,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
2286,2286,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
2290,9515,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
2299,2299,166,19,NA,"2024-04-10 11:40:03.030 +0200",NA
2307,2307,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
2325,2324,143,17,NA,"2024-04-10 11:40:03.030 +0200",NA
2326,2326,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
2333,2333,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
2334,2334,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
2338,2338,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
2339,2339,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
2343,2343,166,19,NA,"2024-04-10 11:40:03.030 +0200",NA
2345,2345,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
2352,2352,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
2353,2353,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
2355,2355,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
2364,2364,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
2370,2370,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
2374,2374,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
2375,2375,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
2386,2386,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
2398,2398,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
2415,2415,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
2433,2433,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
2453,2453,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
2458,2458,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
2469,2469,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
2476,2476,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
2486,2486,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
2492,2492,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
2504,2504,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
2515,2515,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
2518,2518,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
2519,2519,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
2529,2529,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
2542,2542,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
2563,2563,166,19,NA,"2024-04-10 11:40:03.030 +0200",NA
2564,2564,166,19,NA,"2024-04-10 11:40:03.030 +0200",NA
2566,2566,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
2590,2590,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
2623,2623,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
2631,2631,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
2640,2640,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
2642,2642,166,19,NA,"2024-04-10 11:40:03.030 +0200",NA
2675,2675,166,19,NA,"2024-04-10 11:40:03.030 +0200",NA
2676,2676,166,19,NA,"2024-04-10 11:40:03.030 +0200",NA
2682,2682,166,19,NA,"2024-04-10 11:40:03.030 +0200",NA
2693,2693,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
2694,27,77,19,NA,"2024-04-10 11:40:03.030 +0200",NA
2695,2695,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
2696,2696,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
2697,2697,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
2698,2698,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
2699,2699,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
2700,2700,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
2701,2701,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
2702,2702,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
2703,2703,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
2704,2704,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
2705,2705,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
2706,2706,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
2707,2707,166,19,NA,"2024-04-10 11:40:03.030 +0200",NA
2708,2708,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
2709,2709,166,19,NA,"2024-04-10 11:40:03.030 +0200",NA
2710,2710,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
2711,2711,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
2712,2712,141,19,NA,"2024-04-10 11:40:03.030 +0200",NA
