"DATASETID","UNITID","DSETTYPEID","NEODSETID","NEODSETDOI","DSETNAME","DSETSOURCE","DSETAGEOLD","DSETAGEYNG","DSETNOTE","CREATED_AT","UPDATED_AT"
63,428,16,45647,"10.21233/p92y-ks13","",8,8512,-60,"Influx values based on Barr et al. 2019 age model.","2024-03-12 10:19:37.893 +0100","2024-03-12 10:19:37.893 +0100"
64,428,3,45648,"10.21233/5rcm-aa91","",8,8512,-60,"","2024-03-12 10:19:37.893 +0100","2024-03-12 10:19:37.893 +0100"
65,564,3,46531,"10.21233/DRMB-SS59","",8,1520000,1419000,"Zero datum for depth is at the bottom of the section. Depths are in meters. Depths in publication have been multiplied by -1.","2024-03-12 10:19:37.893 +0100","2024-03-12 10:19:37.893 +0100"
66,563,3,46533,"10.21233/STWZ-MS95","",8,1730000,1130000,"","2024-03-12 10:19:37.893 +0100","2024-03-12 10:19:37.893 +0100"
67,118,3,47110,"10.21233/XZYB-6819","",8,19295,-31,"","2024-03-12 10:19:37.893 +0100","2024-03-12 10:19:37.893 +0100"
68,118,2,47111,"10.21233/MW0E-0259","",8,19295,-31,"","2024-03-12 10:19:37.893 +0100","2024-03-12 10:19:37.893 +0100"
69,562,3,48647,"10.21233/DTQH-0C03","",8,28529,27386,"","2024-03-12 10:19:37.893 +0100","2024-03-12 10:19:37.893 +0100"
70,561,3,48649,"10.21233/4MXX-C134","",8,18177,-34,"","2024-03-12 10:19:37.893 +0100","2024-03-12 10:19:37.893 +0100"
71,560,3,48651,"10.21233/WG83-X438","",8,2369,-27,"","2024-03-12 10:19:37.893 +0100","2024-03-12 10:19:37.893 +0100"
72,559,3,48653,"10.21233/FHH7-2056","",8,3154,-42,"","2024-03-12 10:19:37.893 +0100","2024-03-12 10:19:37.893 +0100"
73,238,3,48656,"10.21233/CA6B-D485","",8,76222,-34,"","2024-03-12 10:19:37.893 +0100","2024-03-12 10:19:37.893 +0100"
74,558,3,48666,"10.21233/MQMR-FV34","",8,141479,5006,"","2024-03-12 10:19:37.893 +0100","2024-03-12 10:19:37.893 +0100"
75,539,3,49426,"10.21233/KGAV-1B35","",8,7292,1991,"","2024-03-12 10:19:37.893 +0100","2024-03-12 10:19:37.893 +0100"
76,21,16,50065,"10.21233/C135-TW28","",8,13712,1070,"Top sample not included because catchement surface was recently burnt","2024-03-12 10:19:37.893 +0100","2024-03-12 10:19:37.893 +0100"
77,21,3,50066,"10.21233/PQHN-QR96","",8,13712,1070,"Top sample not included because catchement surface was recently burnt","2024-03-12 10:19:37.893 +0100","2024-03-12 10:19:37.893 +0100"
78,465,3,50117,"10.21233/YGCC-VC43","",8,6832.17,34,"","2024-03-12 10:19:37.893 +0100","2024-03-12 10:19:37.893 +0100"
79,465,16,50116,"10.21233/FM87-B398","truwana East Coast Lagoon",8,NA,NA,"","2024-03-12 10:19:37.893 +0100","2024-03-28 18:03:16.379 +0100"
80,147,16,50119,"10.21233/05HQ-DJ69","",8,7344.4,-69,"","2024-03-12 10:19:37.893 +0100","2024-03-12 10:19:37.893 +0100"
81,147,3,50120,"10.21233/ZF37-0C73","",8,7344.4,-69,"","2024-03-12 10:19:37.893 +0100","2024-03-12 10:19:37.893 +0100"
82,321,3,50122,"10.21233/PK95-3V68","",8,12143,544,"","2024-03-12 10:19:37.893 +0100","2024-03-12 10:19:37.893 +0100"
83,524,16,50124,"10.21233/MSFB-X280","",8,644.8,-69,"","2024-03-12 10:19:37.893 +0100","2024-03-12 10:19:37.893 +0100"
84,524,3,50125,"10.21233/58WF-YX76","",8,644.8,-69,"","2024-03-12 10:19:37.893 +0100","2024-03-12 10:19:37.893 +0100"
85,124,16,50300,"10.21233/9VN5-F005","",8,48172,10764,"","2024-03-12 10:19:37.893 +0100","2024-03-12 10:19:37.893 +0100"
86,124,3,50301,"10.21233/JKQ1-JX02","",8,48172,10764,"","2024-03-12 10:19:37.893 +0100","2024-03-12 10:19:37.893 +0100"
87,124,16,50302,"10.21233/V526-WA80","",8,48172,10764,"","2024-03-12 10:19:37.893 +0100","2024-03-12 10:19:37.893 +0100"
88,459,3,51928,"10.21233/9P19-T221","",8,30898,67,"Record originally compiled into IndoPacific Pollen Database (IPPD) by Herbert et al. and prepared for upload to Neotoma by Adrian George and Jack Williams, in partnership with Suzette Flantua and HOPE project. Lycopodium believed to be native Lycopodium, not spike. Spike data not available at time of upload.","2024-03-12 10:19:37.893 +0100","2024-03-12 10:19:37.893 +0100"
89,129,3,51930,"10.21233/AKQ6-JV23","",8,11797,-65,"","2024-03-12 10:19:37.893 +0100","2024-03-12 10:19:37.893 +0100"
90,29,3,51932,"10.21233/DR2B-6598","",8,14322,-46,"","2024-03-12 10:19:37.893 +0100","2024-03-12 10:19:37.893 +0100"
91,138,3,51974,"10.21233/1J45-FR02","",8,15552,-68,"","2024-03-12 10:19:37.893 +0100","2024-03-12 10:19:37.893 +0100"
92,101,16,52027,"10.21233/P3QH-YM89","",8,33247,-69,"","2024-03-12 10:19:37.893 +0100","2024-03-12 10:19:37.893 +0100"
93,101,3,52028,"10.21233/AEGP-J328","",8,34499,-69,"","2024-03-12 10:19:37.893 +0100","2024-03-12 10:19:37.893 +0100"
94,497,3,52030,"10.21233/4BFX-M518","",8,24089,574,"Record originally compiled into IndoPacific Pollen Database (IPPD) by Herbert et al. and prepared for upload to Neotoma by Jocelyn Lam, Adrian George and Jack Williams (Wisconsin), in partnership with Suzette Flantua and HOPE team.","2024-03-12 10:19:37.893 +0100","2024-03-12 10:19:37.893 +0100"
95,577,3,52034,"10.21233/FF0H-NW11","",8,23280,-3,"Record originally compiled into IndoPacific Pollen Database (IPPD) by Herbert et al. and prepared for upload to Neotoma by Jocelyn Lam, Adrian George and Jack Williams, in partnership with Suzette Flantua and HOPE project.","2024-03-12 10:19:37.893 +0100","2024-03-12 10:19:37.893 +0100"
96,161,3,52053,"10.21233/8JN8-VW88","",8,9237,-122,"","2024-03-12 10:19:37.893 +0100","2024-03-12 10:19:37.893 +0100"
97,217,3,52057,"10.21233/01F2-2471","",8,8444,-93,"","2024-03-12 10:19:37.893 +0100","2024-03-12 10:19:37.893 +0100"
98,578,3,52242,"10.21233/SM4F-1779","",8,8966,1002,"","2024-03-12 10:19:37.893 +0100","2024-03-12 10:19:37.893 +0100"
99,73,3,52462,"10.21233/KJHV-DJ77","",8,12306,-56,"Record originally compiled into IndoPacific Pollen Database (IPPD) by Herbert et al. and prepared for upload to Neotoma by Jocelyn Lam, Adrian George and Jack Williams, in partnership with Suzette Flantua and HOPE project.","2024-03-12 10:19:37.893 +0100","2024-03-12 10:19:37.893 +0100"
100,595,3,52487,"10.21233/1482-B927","",8,30338,-11,"Record originally compiled into IndoPacific Pollen Database (IPPD) by Herbert et al. and prepared for upload to Neotoma by Jocelyn Lam, Adrian George and Jack Williams, in partnership with Suzette Flantua and HOPE project.","2024-03-12 10:19:37.893 +0100","2024-03-12 10:19:37.893 +0100"
101,557,3,52564,"10.21233/QF1R-A798","",8,37903,292,"","2024-03-12 10:19:37.893 +0100","2024-03-12 10:19:37.893 +0100"
102,320,3,52568,"10.21233/NSSQ-Z242","",8,16709,-2,"","2024-03-12 10:19:37.893 +0100","2024-03-12 10:19:37.893 +0100"
103,284,3,52570,"10.21233/QEV8-9640","",8,8135,-5,"","2024-03-12 10:19:37.893 +0100","2024-03-12 10:19:37.893 +0100"
104,540,3,52574,"10.21233/SRAY-K850","",8,14909,-134,"Record originally compiled into IndoPacific Pollen Database (IPPD) by Herbert et al. and prepared for upload to Neotoma by Jocelyn Lam, Adrian George and Jack Williams, in partnership with Suzette Flantua and HOPE project.","2024-03-12 10:19:37.893 +0100","2024-03-12 10:19:37.893 +0100"
105,556,3,52580,"10.21233/PK0W-M028","",8,90759,3909,"Record originally compiled into IndoPacific Pollen Database (IPPD) by Herbert et al. and prepared for upload to Neotoma by Jocelyn Lam, Adrian George and Jack Williams, in partnership with Suzette Flantua and HOPE project.","2024-03-12 10:19:37.893 +0100","2024-03-12 10:19:37.893 +0100"
106,587,3,52582,"10.21233/6WP1-CS11","",8,203098,0,"Record originally compiled into IndoPacific Pollen Database (IPPD) by Herbert et al. and prepared for upload to Neotoma by Jocelyn Lam, Adrian George and Jack Williams, in partnership with Suzette Flantua and HOPE project.","2024-03-12 10:19:37.893 +0100","2024-03-12 10:19:37.893 +0100"
107,555,3,52584,"10.21233/K60M-7751","",8,7055,399,"","2024-03-12 10:19:37.893 +0100","2024-03-12 10:19:37.893 +0100"
108,338,3,52586,"10.21233/05NW-3C65","",8,37868,-58,"","2024-03-12 10:19:37.893 +0100","2024-03-12 10:19:37.893 +0100"
109,192,3,52590,"10.21233/WVFT-PC50","",8,12248,-61,"","2024-03-12 10:19:37.893 +0100","2024-03-12 10:19:37.893 +0100"
110,554,3,52592,"10.21233/KQ5H-9J82","",8,37385,98,"Record originally compiled into IndoPacific Pollen Database (IPPD) by Herbert et al. and prepared for upload to Neotoma byAdrian George and Jack Williams, in partnership with Suzette Flantua and HOPE project (Uni.Bergen).","2024-03-12 10:19:37.893 +0100","2024-03-12 10:19:37.893 +0100"
111,525,3,52594,"10.21233/87YX-RR95","",8,3058,126,"","2024-03-12 10:19:37.893 +0100","2024-03-12 10:19:37.893 +0100"
112,270,3,52767,"10.21233/5Y7N-1B24","",8,89987,-133,"Record originally compiled into IndoPacific Pollen Database (IPPD) by Herbert et al. and prepared for upload to Neotoma by Adrian George and Jack Williams, in partnership with Suzette Flantua and HOPE project (Uni.Bergen).","2024-03-12 10:19:37.893 +0100","2024-03-12 10:19:37.893 +0100"
113,553,3,52769,"10.21233/MT0Y-RF10","",8,22621,53,"Record originally compiled into IndoPacific Pollen Database (IPPD) by Herbert et al. and prepared for upload to Neotoma by Matthew Jacques, Jocelyn Lam, Adrian George and Jack Williams, in partnership with Suzette Flantua and HOPE project.","2024-03-12 10:19:37.893 +0100","2024-03-12 10:19:37.893 +0100"
114,541,3,53117,"10.21233/RVAJ-CN45","",8,4837,851,"Record originally compiled into IndoPacific Pollen Database (IPPD) by Annika Herbert, Geoff Hope and Simon Haberle (ANU), and prepared for upload to Neotoma by Linn Kruger/Cathy Jenks and Suzette Flantua (HOPE project, Uni. Bergen), in partnership with Adrian George and Jack Williams (UW-Madison)","2024-03-12 10:19:37.893 +0100","2024-03-12 10:19:37.893 +0100"
115,542,3,53123,"10.21233/JBRF-H443","",8,6663,-16,"","2024-03-12 10:19:37.893 +0100","2024-03-12 10:19:37.893 +0100"
116,590,3,53125,"10.21233/AVWF-CA94","",8,8685,-72,"Record originally compiled into IndoPacific Pollen Database (IPPD) by Annika Herbert, Geoff Hope and Simon Haberle (ANU),  and prepared for upload to Neotoma by Linn Kruger/Cathy Jenks and Suzette Flantua (HOPE project, Uni. Bergen), in partnership with Adrian George and Jack Williams (UW-Madison).","2024-03-12 10:19:37.893 +0100","2024-03-12 10:19:37.893 +0100"
117,30,3,53140,"10.21233/XARG-B747","",8,10473,-37,"Record originally compiled into IndoPacific Pollen Database (IPPD) by Annika Herbert, Geoff Hope and Simon Haberle (ANU), and prepared for upload to Neotoma by Linn Kruger/Cathy Jenks and Suzette Flantua (HOPE project, Uni. Bergen), in partnership with Adrian George and Jack Williams (UW-Madison).","2024-03-12 10:19:37.893 +0100","2024-03-12 10:19:37.893 +0100"
118,445,3,53142,"10.21233/JFEJ-XG85","",8,7651,-8,"Record originally compiled into IndoPacific Pollen Database (IPPD) by Annika Herbert, Geoff Hope and Simon Haberle (ANU), and prepared for upload to Neotoma by Linn Kruger/Cathy Jenks and Suzette Flantua (HOPE project, Uni. Bergen), in partnership with Adrian George and Jack Williams (UW-Madison)","2024-03-12 10:19:37.893 +0100","2024-03-12 10:19:37.893 +0100"
119,489,3,53144,"10.21233/AG63-H016","",8,7206,-8,"Record originally compiled into IndoPacific Pollen Database (IPPD) by Annika Herbert, Geoff Hope and Simon Haberle (ANU),  and prepared for upload to Neotoma by Linn Kruger/Cathy Jenks and Suzette Flantua (HOPE project, Uni. Bergen), in partnership with Adrian George and Jack Williams (UW-Madison).","2024-03-12 10:19:37.893 +0100","2024-03-12 10:19:37.893 +0100"
120,128,3,53253,"10.21233/TS6G-XZ91","",8,10234,-214,"","2024-03-12 10:19:37.893 +0100","2024-03-12 10:19:37.893 +0100"
121,543,3,53255,"10.21233/M5ZK-JT22","",8,5944,-24,"Record originally compiled into IndoPacific Pollen Database (IPPD) by Annika Herbert, Geoff Hope and Simon Haberle (ANU),  and prepared for upload to Neotoma by Linn Kruger/Cathy Jenks and Suzette Flantua (HOPE project, Uni. Bergen), in partnership with Adrian George and Jack Williams (UW-Madison)","2024-03-12 10:19:37.893 +0100","2024-03-12 10:19:37.893 +0100"
122,579,3,53257,"10.21233/QJ1R-FJ16","",8,21533,-5,"Record originally compiled into IndoPacific Pollen Database (IPPD) by Annika Herbert, Geoff Hope and Simon Haberle (ANU),  and prepared for upload to Neotoma by Linn Kruger/Cathy Jenks and Suzette Flantua (HOPE project, Uni. Bergen), in partnership with Adrian George and Jack Williams (UW-Madison)","2024-03-12 10:19:37.893 +0100","2024-03-12 10:19:37.893 +0100"
123,544,3,53259,"10.21233/D6Q6-2631","",8,49494,5661,"Originally compiled into IndoPacific Pollen Database(IPPD) by Herbert et al. and prepared for upload to Neotoma by Matthew Langer, Adrian George and Jack Williams, in partnership with Suzette Flantua and HOPE project.","2024-03-12 10:19:37.893 +0100","2024-03-12 10:19:37.893 +0100"
124,249,3,54467,"10.21233/CK7T-8173","",8,3161,-59,"Record originally compiled into IndoPacific Pollen Database (IPPD) by Annika Herbert, Geoff Hope and Simon Haberle (ANU),  and prepared for upload to Neotoma by Linn Kruger/Cathy Jenks and Suzette Flantua (HOPE project, Uni. Bergen), in partnership with Adrian George and Jack Williams (UW-Madison)","2024-03-12 10:19:37.893 +0100","2024-03-12 10:19:37.893 +0100"
125,597,3,54471,"10.21233/9SQB-WZ67","",8,13754,-80,"Record originally compiled into IndoPacific Pollen Database (IPPD) by Annika Herbert, Geoff Hope and Simon Haberle (ANU),  and prepared for upload to Neotoma by Linn Kruger/Cathy Jenks and Suzette Flantua (HOPE project, Uni. Bergen), in partnership with Adrian George and Jack Williams (UW-Madison)","2024-03-12 10:19:37.893 +0100","2024-03-12 10:19:37.893 +0100"
126,552,3,54473,"10.21233/7WZF-WC36","",8,13843,-54,"","2024-03-12 10:19:37.893 +0100","2024-03-12 10:19:37.893 +0100"
127,9,3,54475,"10.21233/F6ZK-VM98","",8,24232,-152,"Record originally compiled into IndoPacific Pollen Database (IPPD) by Herbert et al. and prepared for upload to Neotoma by Michael Rehani, Adrian George and Jack Williams, in partnership with Suzette Flantua and HOPE project.","2024-03-12 10:19:37.893 +0100","2024-03-12 10:19:37.893 +0100"
128,91,3,54512,"10.21233/YDBS-6Q17","",8,24497,49,"","2024-03-12 10:19:37.893 +0100","2024-03-12 10:19:37.893 +0100"
129,572,3,54665,"10.21233/2YY7-N465","",8,46889,654,"Record originally compiled into IndoPacific Pollen Database (IPPD) by Herbert et al. and prepared for upload to Neotoma by Matt Jacques, Jocelyn Lam, Adrian George and Jack Williams, in partnership with Suzette Flantua and HOPE project.","2024-03-12 10:19:37.893 +0100","2024-03-12 10:19:37.893 +0100"
130,327,3,57631,"10.21233/5QCE-MY61","",8,34712,-9,"Record originally compiled into Indo-Pacific Pollen Database (IPPD) by Annika Herbert, Geoff Hope and Simon Haberle, and prepared for upload to Neotoma by Michael Rehani, Adrian George and Jack Williams (UW-Madison), in partnership with Suzette Flantua and HOPE project (UiB)","2024-03-12 10:19:37.893 +0100","2024-03-12 10:19:37.893 +0100"
131,132,3,57633,"10.21233/4E00-DK20","",8,9202,-38,"Record originally compiled into IndoPacific Pollen Database (IPPD) by Herbert et al. and prepared for upload to Neotoma by Michael Rehani, Adrian George and Jack Williams, in partnership with Suzette Flantua and HOPE project.","2024-03-12 10:19:37.893 +0100","2024-03-12 10:19:37.893 +0100"
132,581,3,57637,"10.21233/C2FS-HZ19","",8,42905,-40,"Record originally compiled into Indo-Pacific Pollen Database (IPPD) by Annika Herbert, Geoff Hope and Simon Haberle, and prepared for upload to Neotoma by Matthew Langer, Michael Rehani, Adrian George and Jack Williams (UW-Madison), in partnership with Suzette Flantua and HOPE project (UiB)","2024-03-12 10:19:37.893 +0100","2024-03-12 10:19:37.893 +0100"
133,585,3,57639,"10.21233/0VK6-PV92","",8,11493,-39,"Record originally compiled into IndoPacific Pollen Database (IPPD) by Herbert et al. and prepared for upload to Neotoma by Michael Rehani, Adrian George and Jack Williams, in partnership with Suzette Flantua and HOPE project.","2024-03-12 10:19:37.893 +0100","2024-03-12 10:19:37.893 +0100"
134,545,3,57641,"10.21233/XB1K-4W74","",8,26135,-39,"Record originally compiled into Indo-Pacific Pollen Database (IPPD) by Annika Herbert, Geoff Hope and Simon Haberle, and prepared for upload to Neotoma by Michael Rehani, Matthew Langer, Adrian George and Jack Williams (UW-Madison), in partnership with Suzette Flantua and HOPE project (UiB)","2024-03-12 10:19:37.893 +0100","2024-03-12 10:19:37.893 +0100"
135,359,3,57643,"10.21233/TH70-YV81","",8,494620,-1,"Record originally compiled into Indo-Pacific Pollen Database (IPPD) by Annika Herbert, Geoff Hope and Simon Haberle, and prepared for upload to Neotoma by Grace Roper, Michael Rehani, Adrian George and Jack Williams (UW-Madison), in partnership with Suzette Flantua and HOPE project (UiB)","2024-03-12 10:19:37.893 +0100","2024-03-12 10:19:37.893 +0100"
136,531,3,57650,"10.21233/KQE4-V903","",8,11147,-56,"Record originally compiled into Indo-Pacific Pollen Database (IPPD) by Annika Herbert, Geoff Hope and Simon Haberle, and prepared for upload to Neotoma by Matthew Langer, Adrian George and Jack Williams (UW-Madison), in partnership with Suzette Flantua and HOPE project (UiB)","2024-03-12 10:19:37.893 +0100","2024-03-12 10:19:37.893 +0100"
137,546,3,57652,"10.21233/VPYY-RN77","",8,7222,88,"Record originally compiled into Indo-Pacific Pollen Database (IPPD) by Annika Herbert, Geoff Hope and Simon Haberle, and prepared for upload to Neotoma by Matthew Langer, Adrian George and Jack Williams (UW-Madison), in partnership with Suzette Flantua and HOPE project (UiB)","2024-03-12 10:19:37.893 +0100","2024-03-12 10:19:37.893 +0100"
138,582,3,57665,"10.21233/XRHN-6C42","",8,5533,697,"Record originally compiled into IndoPacific Pollen Database (IPPD) by Herbert et al. and prepared for upload to Neotoma by Michael Rehani, Adrian George and Jack Williams, in partnership with Suzette Flantua and HOPE project.","2024-03-12 10:19:37.893 +0100","2024-03-12 10:19:37.893 +0100"
