"ECOGROUPID","ECOLGROUP","ECOGRPHNDL","ECOGRPSRC","CREATED_AT","UPDATED_AT"
139,"Phytoliths","PHYT",10,"2024-03-15 11:10:18.864 +0100",""
140,"Piciformes","PICI",10,"2024-03-15 11:10:18.864 +0100",""
141,"Pilosa","PILO",10,"2024-03-15 11:10:18.864 +0100",""
142,"Plecoptera","PLEC",10,"2024-03-15 11:10:18.864 +0100",""
143,"Pleuronectiformes","PLEU",10,"2024-03-15 11:10:18.864 +0100",""
144,"Plant","PLNT",10,"2024-03-15 11:10:18.864 +0100",""
145,"Loss-on-ignition","PLOI",10,"2024-03-15 11:10:18.864 +0100",""
146,"Paleomagnetic","PMAG",10,"2024-03-15 11:10:18.864 +0100",""
147,"Podicipediformes","PODI",10,"2024-03-15 11:10:18.864 +0100",""
148,"Prasinophyte","PRAS",10,"2024-03-15 11:10:18.864 +0100",""
149,"Primates","PRIM",10,"2024-03-15 11:10:18.864 +0100",""
150,"Proboscidea","PROB",10,"2024-03-15 11:10:18.864 +0100",""
151,"Procellariiformes","PROC",10,"2024-03-15 11:10:18.864 +0100",""
152,"Prokaryota","PROK",10,"2024-03-15 11:10:18.864 +0100",""
153,"Undifferentiated protists","PROT",10,"2024-03-15 11:10:18.864 +0100",""
154,"Perissodactyla","PRSS",10,"2024-03-15 11:10:18.864 +0100",""
155,"Undifferentiated protozoa","PRTZ",10,"2024-03-15 11:10:18.864 +0100",""
156,"Physical sedimentological","PSED",10,"2024-03-15 11:10:18.864 +0100",""
157,"Psittaciformes","PSIT",10,"2024-03-15 11:10:18.864 +0100",""
158,"Psocodea","PSOC",10,"2024-03-15 11:10:18.864 +0100",""
159,"Pteridophyta","PTER",10,"2024-03-15 11:10:18.864 +0100",""
160,"Phthiraptera","PTHT",10,"2024-03-15 11:10:18.864 +0100",""
161,"Rajiformes","RAJI",10,"2024-03-15 11:10:18.864 +0100",""
162,"Rodentia","RODE",10,"2024-03-15 11:10:18.864 +0100",""
163,"Undifferentiated rotifers","ROTI",10,"2024-03-15 11:10:18.864 +0100",""
164,"Salmoniformes","SALM",10,"2024-03-15 11:10:18.864 +0100",""
165,"Scorpaeniformes","SCOR",10,"2024-03-15 11:10:18.864 +0100",""
166,"Spermatophyte rank or clade above order","SEED",10,"2024-03-15 11:10:18.864 +0100",""
167,"Serpentes","SERP",10,"2024-03-15 11:10:18.864 +0100",""
168,"Silicoflagellates","SILC",10,"2024-03-15 11:10:18.864 +0100",""
169,"Siluriformes","SILI",10,"2024-03-15 11:10:18.864 +0100",""
170,"Siphonaptera","SIPH",10,"2024-03-15 11:10:18.864 +0100",""
171,"Sirenia","SIRE",10,"2024-03-15 11:10:18.864 +0100",""
172,"Soricomorpha","SORI",10,"2024-03-15 11:10:18.864 +0100",""
173,"Sponges","SPNG",10,"2024-03-15 11:10:18.864 +0100",""
174,"Squaliformes","SQUA",10,"2024-03-15 11:10:18.864 +0100",""
175,"Strigiformes","STRG",10,"2024-03-15 11:10:18.864 +0100",""
176,"Succulents","SUCC",10,"2024-03-15 11:10:18.864 +0100",""
177,"Suliformes","SULI",10,"2024-03-15 11:10:18.864 +0100",""
178,"Testate amoebae","TEAM",10,"2024-03-15 11:10:18.864 +0100",""
179,"Testudines","TEST",10,"2024-03-15 11:10:18.864 +0100",""
180,"Tetraodontiformes","TETR",10,"2024-03-15 11:10:18.864 +0100",""
181,"Trichoptera","TRIC",10,"2024-03-15 11:10:18.864 +0100",""
182,"Trees and Shrubs","TRSH",10,"2024-03-15 11:10:18.864 +0100",""
183,"Undifferentiated pollen","UDPO",10,"2024-03-15 11:10:18.864 +0100",""
184,"Unknown and Indeterminable Palynomorphs","UNID",10,"2024-03-15 11:10:18.864 +0100",""
185,"Unionoida","UNIO",10,"2024-03-15 11:10:18.864 +0100",""
186,"Unknown and Indeterminable Plant Macrofossils","UNPM",10,"2024-03-15 11:10:18.864 +0100",""
187,"Upland Bryophytes","UPBR",10,"2024-03-15 11:10:18.864 +0100",""
188,"Upland Herbs","UPHE",10,"2024-03-15 11:10:18.864 +0100",""
189,"Sea urchins","URCH",10,"2024-03-15 11:10:18.864 +0100",""
190,"Terrestrial Vascular Cryptogams","VACR",10,"2024-03-15 11:10:18.864 +0100",""
191,"Vascular plants","VASC",10,"2024-03-15 11:10:18.864 +0100",""
192,"Undifferentiated vertebrates","VERT",10,"2024-03-15 11:10:18.864 +0100",""
193,"Water chemistry","WCHM",10,"2024-03-15 11:10:18.864 +0100",""
