REFDBID,ABSTRACT,CREATED_AT,UPDATED_AT
Adeleye:2022thesis,"Global change poses a major threat to ecosystems and biodiversity. This is particularly evident in southeast Australia, where never-before-seen wildfires are associated with ecosystem destruction, as well as loss of wildlife, human lives and infrastructures. In order to tackle these challenges, there is a need for better understanding of long-term ecosystem changes in the region. This understanding will help in building robust knowledge baselines for management and restoration goals. The Bass Strait islands (BSI) provide a rare opportunity to investigate the long-term roles of climate and human land use in driving ecosystem and fire regime changes, due to their unique history of human occupation, which contrasts with surrounding southeast Australian regions. The BSI saw declining populations at the same time as population intensification occurred in southeast (SE) Australia in the mid-late Holocene. The BSI can thus be regarded as rare natural laboratories where climatic and anthropogenic drivers of long-term ecological dynamics can be disentangled. The knowledge of the different roles of climate and anthropogenic land use on ecosystems and fire regimes gained from these natural laboratories can be applied to areas of SE Australia to inform management strategies in an era of significant ecological changes. Therefore, this thesis provides a deeper understanding of past links between ecosystem change, changes in climate, fire regimes, and human land use in SE Australia, using the Bass Strait area as a case study. Specific questions addressed include, (1) What drove vegetation and wetland changes in SE Australia during the last glacial and Holocene? (2) What was the role of humans in vegetation and fire-regime changes in SE Australia during the Holocene? (3) How can this deep-time knowledge contribute to better managing the ecosystems and fire regimes of the BSI and SE Australia at large? In order to answer these questions, multiple wetland sediment cores were analysed to reconstruct vegetation, fire, and wetland histories of one of the least researched BSI (i.e. truwana/Cape Barren Island) and compared to existing palaeoecological records from neighbouring regions of SE Australian mainland and Tasmania. The thesis places these findings into a broader regional context, by analysing changes in vegetation and fire regimes and associated drivers of change across SE Australia, applying a quantitative approach for the first time. The results suggest that climate primarily drove ecosystem change across SE Australian region in the last ~35,000 years. Specifically, temperature change and shifts in Southern Westerly Winds (SWW) were key drivers of vegetation and wetland changes during the last glacial period, while sea-level change, and precipitation changes related to El Nino Southern Oscillation and SWW were more important during the Holocene. Indigenous people used fire to maintain open and diverse woodlands during the Holocene, and a combination of climate and anthropogenic land use controlled Holocene fire regimes across SE Australia. On a finer spatial scale, insights from the BSI suggest Indigenous frequent burning reduced the area burnt by climate-driven fires during the Holocene. Indigenous fire management minimized contiguous woody fuel accumulation over the landscape, which in turn reduced fire spread. The suppression of Indigenous cultural fire management by European colonisation, combined with climate change, created novel fire regimes in SE Australia in the last 200 years. The reinstatement of an Indigenous cultural burning approach is recommended to help reduce the occurrence of destructive fires in SE Australian forests and to preserve rare ecosystems, such as heathlands. This will help in restoring ecosystem health and biocultural heritage in SE Australia. Monitoring of wetland hydrology and salinity is also recommended to preserve wetlands of significant ecological values in Bass Strait and the wider region.",2023-07-22 06:51:38.269 +0200,
Adeleye:2023moorland,"Context: The primary factors(s) responsible for the maintenance of Alternative biome states (ABS) in world forest biomes remains unclear and debatable, partly due to insufficient long-term ecological data from suitable ecosystem sites. The occurrence of moorland in southern and western Tasmanian wet temperate forest presents a suitable setting to test for ABS and understand the main stabilizing factors of ABS. Objectives: We use a palaeoecological approach to test for ABS and identify the degree of vegetation change and the effect of climate change and fire occurrence associated with ABS in southern Tasmania. Methods: Sediment sequence from sink-hole lake in a forest and nearby pond in southern Tasmania were analysed for pollen and charcoal to reconstruct histories of forest, moorland and fire in the Tasmanian Wilderness World Heritage Area (TWWHA). Reconstructions were compared to palaeoclimate record. Results: Moorland and forest in southern Tasmania have occupied the same habitat for at least the last 2600 years, and neither past climate change nor fire occurrence affected the stability of the vegetation mosaic. We suspect that localized environmental settings, such as topography and edaphic conditions are the primary stabilizing factors of the forest-moorland mosaics. Conclusions: The observed stable vegetation mosaics in our study is contrary to the dominant ecological paradigm of landscape dynamics currently used to manage the TWWHA, and there is a need to refine the ecological basis of fire management in the area. Similar targeted palaeoecological studies are needed to fully understand the underlying factors responsible for the persistence of treeless vegetation in world forest biomes.",2023-09-03 12:38:33.072 +0200,
ADW:2022database,"Animal Diversity Web (ADW) is an online database of animal natural history, distribution, classification, and conservation biology at the University of Michigan. Animal Diversity Web has... [_truncated_] --> Thousands of species accounts about individual animal species. These may include text, pictures of living animals, photographs and movies of specimens, and/or recordings of sounds. Students write the text of these accounts and we cannot guarantee their accuracy, --> Descriptions of taxa above the species level, especially phyla, classes, orders and families. Hundreds of hyperlinked pages and images illustrate the traits and general biology of these groups. Professional biologists prepare these pieces, for the most part.",2023-01-06 16:18:47.612 +0100,2023-01-11 09:27:15.738 +0100
ADW:2023aep.ru,Species _Aepyprymnus rufescens_,2023-02-17 13:35:53.701 +0100,
ADW:2023ant.ce,Species _Antilope cervicapra_,2023-02-17 13:35:53.701 +0100,
ADW:2023bos.ta,Species _Bos taurus_,2023-02-17 13:35:53.701 +0100,
ADW:2023bub.bu,Species _Bubalus bubalis_,2023-02-17 13:35:53.701 +0100,
ADW:2023cae.fu,Species _Caenolestes fuliginosus_,2023-02-17 13:35:53.701 +0100,
ADW:2023cal.ca,Species _Caloprymnus campestris_,2023-02-17 13:35:53.701 +0100,
ADW:2023cal.de,Species _Caluromys derbianus_,2023-02-17 13:35:53.701 +0100,
ADW:2023cal.ph,Species _Caluromys philander_,2023-02-17 13:35:53.701 +0100,
ADW:2023can.fa,Species _Canis lupus familiaris_,2023-02-17 13:35:53.701 +0100,
ADW:2023cap.hi,Species _Capra hircus_,2023-02-17 13:35:53.701 +0100,
ADW:2023cer.ca,Species _Cercartetus caudatus_,2023-02-17 13:35:53.701 +0100,
ADW:2023cer.ni,Species _Cervus nippon_,2023-02-17 13:35:53.701 +0100,
ADW:2023cer.ti,Species _Rusa timorensis_,2023-02-17 13:35:53.701 +0100,
ADW:2023cer.un,Species _Rusa unicolor_,2023-02-17 13:35:53.701 +0100,
ADW:2023dac.tr,Species _Dactylopsila trivirgata_,2023-02-17 13:35:53.701 +0100,
ADW:2023das.by,Species _Dasyuroides byrnei_,2023-02-17 13:35:53.701 +0100,
ADW:2023den.be,Species _Dendrolagus bennettianus_,2023-02-17 13:35:53.701 +0100,
ADW:2023den.lu,Species _Dendrolagus lumholtzi_,2023-02-17 13:35:53.701 +0100,
ADW:2023ech.ru,Species _Echymipera rufescens_,2023-02-17 13:35:53.701 +0100,
ADW:2023fun.pe,Species _Funambulus pennantii_,2023-02-17 13:35:53.701 +0100,
ADW:2023gym.le,Species _Gymnobelideus leadbeateri_,2023-02-17 13:35:53.701 +0100,
ADW:2023hem.le,Species _Hemibelideus lemuroides_,2023-02-17 13:35:53.701 +0100,
ADW:2023hyp.mo,Species _Hypsiprymnodon moschatus_,2023-02-17 13:35:53.701 +0100,
ADW:2023iso.au,Species _Isoodon auratus_,2023-02-17 13:35:53.701 +0100,
ADW:2023iso.ma,Species _Isoodon macrourus_,2023-02-17 13:35:53.701 +0100,
ADW:2023lag.co,Species _Lagorchestes conspicillatus_,2023-02-17 13:35:53.701 +0100,
ADW:2023lag.fa,Species _Lagostrophus fasciatus_,2023-02-17 13:35:53.701 +0100,
ADW:2023lag.hi,Species _Lagorchestes hirsutus_,2023-02-17 13:35:53.701 +0100,
ADW:2023las.la,Species _Lasiorhinus latifrons_,2023-02-17 13:35:53.701 +0100,
ADW:2023lep.ca,Species _Lepus capensis_,2023-02-17 13:35:53.701 +0100,
ADW:2023lep.co,Species _Leporillus conditor_,2023-02-17 13:35:53.701 +0100,
ADW:2023lep.eu,Species _Lepus europaeus_,2023-02-17 13:35:53.701 +0100,
ADW:2023mac.ag,Species _Macropus agilis_,2023-02-17 13:35:53.701 +0100,
ADW:2023mac.an,Species _Macropus antilopinus_,2023-02-17 13:35:53.701 +0100,
ADW:2023mac.do,Species _Macropus dorsalis_,2023-02-17 13:35:53.701 +0100,
ADW:2023mac.fu,Species _Macropus fuliginosus_,2023-02-17 13:35:53.701 +0100,
ADW:2023mac.gg,Species _Macroderma gigas_,2023-02-17 13:35:53.701 +0100,
ADW:2023mac.gi,Species _Macropus giganteus_,2023-02-17 13:35:53.701 +0100,
ADW:2023mac.ir,Species _Macropus irma_,2023-02-17 13:35:53.701 +0100,
ADW:2023mac.la,Species _Macrotis lagotis_,2023-02-17 13:35:53.701 +0100,
ADW:2023mac.pr,Species _Macropus parryi_,2023-02-17 13:35:53.701 +0100,
ADW:2023min.au,Species _Miniopterus australis_,2023-02-17 13:35:53.701 +0100,
ADW:2023mus.er,Species _Mustela erminea_,2023-02-17 13:35:53.701 +0100,
ADW:2023mus.ni,Species _Mustela nivalis_,2023-02-17 13:35:53.701 +0100,
ADW:2023myr.fa,Species _Myrmecobius fasciatus_,2023-02-17 13:35:53.701 +0100,
ADW:2023not.ca,Species _Notoryctes caurinus_,2023-02-17 13:35:53.701 +0100,
ADW:2023not.fu,Species _Notomys fuscus_,2023-02-17 13:35:53.701 +0100,
ADW:2023not.ty,Species _Notoryctes typhlops_,2023-02-17 13:35:53.701 +0100,
ADW:2023nyc.ma,Species _Nyctophilus geoffroyi_,2023-02-17 13:35:53.701 +0100,
ADW:2023odo.vi,Species _Odocoileus virginianus_,2023-02-17 13:35:53.701 +0100,
ADW:2023ovi.ar,Species _Ovis aries_,2023-02-17 13:35:53.701 +0100,
ADW:2023pet.br,Species _Petrogale brachyotis_,2023-02-17 13:35:53.701 +0100,
ADW:2023pet.cn,Species _Petrogale concinna_,2023-02-17 13:35:53.701 +0100,
ADW:2023pet.da,Species _Petropseudes dahli_,2023-02-17 13:35:53.701 +0100,
ADW:2023pet.gr,Species _Petaurus gracilis_,2023-02-17 13:35:53.701 +0100,
ADW:2023pet.no,Species _Petaurus norfolcensis_,2023-02-17 13:35:53.701 +0100,
ADW:2023pet.pe,Species _Petrogale penicillata_,2023-02-17 13:35:53.701 +0100,
ADW:2023pet.pr,Species _Petrogale persephone_,2023-02-17 13:35:53.701 +0100,
ADW:2023pet.vo,Species _Petauroides volans_,2023-02-17 13:35:53.701 +0100,
ADW:2023pet.xa,Species _Petrogale xanthopus_,2023-02-17 13:35:53.701 +0100,
ADW:2023pha.mi,Species _Spilocuscus maculatus_,2023-02-17 13:35:53.701 +0100,
ADW:2023pot.lo,Species _Potorous longipes_,2023-02-17 13:35:53.701 +0100,
ADW:2023pse.ar,Species _Pseudochirops archeri_,2023-02-17 13:35:53.701 +0100,
ADW:2023pse.ci,Species _Pseudochirulus cinereus_,2023-02-17 13:35:53.701 +0100,
ADW:2023pse.hi,Species _Pseudomys higginsi_,2023-02-17 13:35:53.701 +0100,
ADW:2023pse.hr,Species _Pseudochirulus herbertensis_,2023-02-17 13:35:53.701 +0100,
ADW:2023pte.al,Species _Pteropus alecto_,2023-02-17 13:35:53.701 +0100,
ADW:2023pte.co,Species _Pteropus conspicillatus_,2023-02-17 13:35:53.701 +0100,
ADW:2023rat.ex,Species _Rattus exulans_,2023-02-17 13:35:53.701 +0100,
ADW:2023rat.no,Species _Rattus norvegicus_,2023-02-17 13:35:53.701 +0100,
ADW:2023rat.ra,Species _Rattus rattus_,2023-02-17 13:35:53.701 +0100,
ADW:2023rhi.au,Species _Rhinonicteris aurantia_,2023-02-17 13:35:53.701 +0100,
ADW:2023rup.ru,Species _Rupicapra rupicapra_,2023-02-17 13:35:53.701 +0100,
ADW:2023sar.ha,Species _Sarcophilus harrisii_,2023-02-17 13:35:53.701 +0100,
ADW:2023sci.ca,Species _Sciurus carolinensis_,2023-02-17 13:35:53.701 +0100,
ADW:2023set.br,Species _Setonix brachyurus_,2023-02-17 13:35:53.701 +0100,
ADW:2023smi.lo,Species _Sminthopsis longicaudata_,2023-02-17 13:35:53.701 +0100,
ADW:2023tar.ro,Species _Tarsipes rostratus_,2023-02-17 13:35:53.701 +0100,
ADW:2023thy.bi,Species _Thylogale billardierii_,2023-02-17 13:35:53.701 +0100,
ADW:2023thy.st,Species _Thylogale stigmatica_,2023-02-17 13:35:53.701 +0100,
ADW:2023tri.ca,Species _Trichosurus caninus_,2023-02-17 13:35:53.701 +0100,
ADW:2023vic.pa,Species _Lama pacos_,2023-02-17 13:35:53.701 +0100,
ADW:2023wyu.sq,Species _Wyulda squamicaudata_,2023-02-17 13:35:53.701 +0100,
ADW:2023xer.my,Species _Xeromys myoides_,2023-02-17 13:35:53.701 +0100,
Aguilar:2014huasco,"Terrestrial cosmogenic nuclide concentrations in sediment are used to quantify mean denudation rates in catchments. This article explores the differences between the 10Be concentration in fine (sand) and in coarse (1–3 or 5–10 cm pebbles) river sediment. Sand and pebbles were sampled at four locations in the Huasco Valley, in the arid Chilean Andes. Sand has 10Be concentrations between 4.8 and 8.3·105 at g−1, while pebbles have smaller concentrations between 2.2 and 3.3·105 at g−1. It appears that the different concentrations, systematically measured between sand and pebbles, are the result of different denudation rates, linked with the geomorphologic processes that originated them. We propose that the 10Be concentrations in sand are determined by the mean denudation rate of all of the geomorphologic processes taking place in the catchment, including debris flow processes as well as slower processes such as hill slope diffusion. In contrast, the concentrations in pebbles are probably related to debris flows occurring in steep slopes. The mean denudation rates calculated in the catchment are between 30 and 50 m/Myr, while the denudation rates associated with debris flow are between 59 and 81 m/Myr. These denudation rates are consistent with those calculated using different methods, such as measuring eroded volumes.",2021-11-19 12:11:05.011 +0100,2022-07-10 14:04:40.403 +0200
AI:2005zyz.pe,Species _Zyzomys pedunculatus_,2023-02-17 13:35:53.701 +0100,
AIAS:1965report,ND,2022-07-10 16:01:09.673 +0200,2022-07-10 14:04:40.403 +0200
AIAS:1966radiocarbon,Recent Australian radiocarbon dates (1966),2022-07-10 16:01:09.673 +0200,2022-07-10 14:04:40.403 +0200
Aird:2020thesis,"The existing state of the Earth and all living organisms in it, are defined by ways in which socioecological interactions have set trajectories in past and present contexts. Our ongoing survival depends on how socio-ecological interactions materialise into the future. In many societies, this theme has been the subject of rigorous debate, shaped political views and relationships, influenced the trade and exchange of resources, fuelled the insertion of borders, and is built into multi-generational knowledge systems. But seldom are long-term repositories of knowledge satisfactorily considered for holistic interpretations to plan for the future. Modern socio-ecological knowledge is important, although, the dilemma we experience in making sense of 'best stewardship' is the conundrum of shifting baseline understandings. Increasingly, baseline understandings deriving from deep time cultural contexts are being used to overcome this challenge in different parts of the world. Never has this approach been adopted for cases within the Great Barrier Reef (GBR) World Heritage region in Australia. At coastal sites along the length of the GBR, many cultural deep time sites exist. The material remains in these repositories comprise of ecologically and culturally important marine fauna. However key data that are directly extractable from these materials has not been prioritised to inform conservation practitioner teams.  ... [_truncated_]",2022-10-09 20:04:07.350 +0200,2023-01-11 09:27:11.589 +0100
Aitken:1993cranbourne,"The vegetation of the Cranbourne Botanic Garden has shown substantial changes during the Holocene due to the influences of climate, sea level rise, fire and, recently, European people. The earliest recorded phase, prior to 8,500 years BP, was characterised by ephemeral swamps and Casuarina-dom'mated dry-land communities. Climatic amelioration after this time is indicated by the establishment of permanent swamp conditions and an increase in Eucalyptus within the regional vegetation. Highest available moisture levels occurred between about 7,000 and 5,000 years ago as a result of increased effective precipitation and the attainment of high sea levels towards the end of the post-glacial marine transgression. Casuarina communities declined abruptly and were partially replaced by tall open eucalypt forests with a substantial amount of the wet sclerophyll taxon Pomaderris in the understorey. Increased climatic variability and burning within the last 5,000 years has led to the development of a diverse vegetation dominated by sclerophyll woodlands and heath which has been subsequently modified by European activities. These changes provide some basis for understanding the present nature and stability of the vegetation and should contribute to the formulation of future management practices.",2023-07-22 06:51:38.269 +0200,
Akcar:2007kavron,ND,2021-11-19 12:11:05.011 +0100,2022-07-10 14:04:40.403 +0200
Akcar:2008vercenik,ND,2021-11-19 12:11:05.011 +0100,2022-07-10 14:04:40.403 +0200
Akcar:2011findlinge,ND,2021-11-19 12:11:05.011 +0100,2022-07-10 14:04:40.403 +0200
Akcar:2014mediterranean,ND,2021-11-19 12:11:05.011 +0100,2022-07-10 14:04:40.403 +0200
Akcar:2017anatolian,ND,2021-11-19 12:11:05.011 +0100,2022-07-10 14:04:40.403 +0200
ALA:2022database,"The Atlas of Living Australia (ALA) is a collaborative, digital, open infrastructure that pulls together Australian biodiversity data from multiple sources, making it accessible and reusable. The ALA helps to create a more detailed picture of Australia’s biodiversity for scientists, policy makers, environmental planners and land managers, industry and the general public, and enables them to work more efficiently. The ALA is the Australian node and a full voting member of GBIF – the Global Biodiversity Information Facility – an international network and data infrastructure funded by the world’s governments and aimed at providing anyone, anywhere, open access to data about all types of life on Earth.",2023-01-06 16:18:47.612 +0100,
ALA:2023swamp,Species _Rattus lutreolus_,2023-02-17 13:35:53.701 +0100,
Alexander:1989bassian,"Summary: Evidence for level of occupation of Bassian land bridge prior to most recent inundation of Bass Strait from palynological, archaeological and geomorphological data from surrounding region and analysis of two cores from Bass Strait for pollen and carbonised particles; nature of vegetation on Bassian land bridge, and Bass Strait Islands.",2023-01-05 16:42:05.198 +0100,
Alexanderson:2014jameson,ND,2021-11-19 12:11:05.011 +0100,2022-07-10 14:04:40.403 +0200
Alexanderson:2015brattforsheden,ND,2021-11-19 12:11:05.011 +0100,2022-07-10 14:04:40.403 +0200
Alfredson:1983helena,"Discussion about the Aboriginal use of offshore Islands (Sullivan 1982a, 1982b) has prompted this preliminary report on St Helena Island, Moreton Bay, Queensland, which has evidence of over 2000 years of Aboriginal exploitation. A midden on this island exhibits the high density of bone typical of middens on New South Wales offshore islands, but in this case it is a large migratory fruit bat (Pteropus poliocephalue) rather than bird that is specifically exploited. Initial analysis of a small test excavation has revealed a change in the midden composition which would appear to indicate a change in the pattern of exploitation. Independent evidence appears to exist for a build-up of the mudflats between the mainland and the island, and the resultant increase in littoral resources, together with easier access to the island, is offered as an explanation for the variation in the midden composition.",2022-07-10 16:01:09.673 +0200,2022-07-10 14:04:40.403 +0200
Alfredson:1999coombabah,"Lake Coombabah was carried out (Alfredson and Kombumerri Aboriginal Corporation for Culture: 1998). Management recommendations following that assessment were that a collection of shell the disturbed heap of archaeological material from the previously recorded site, listed as LB.A39 on the State Government Cultural Heritage Branch files, be made for the purposes of radiocarbon dating. Another recommendation was that a further inspection be carried out of the southwestern part of the property to ensure that the proposed residential part of the development could meet the Environmental Protection Agency requirements that the development did not infringe the Cultural Record (Landscapes Queensland and Queensland Estate) Act 1987 in that it did not disturb places or items of cultural significance. A permit to collect from the Department of Environment and Heritage was required for this collection which was received at the end of January 1999. On 24 February the collection of shell and further inspection of the residential portion part of the development was carried out.",2022-07-10 16:01:09.673 +0200,2022-07-10 14:04:40.403 +0200
Alfredson:2002pebble,Unpublished report to Keilor Fox and McGhie,2022-07-10 16:01:09.673 +0200,2022-07-10 14:04:40.403 +0200
