ELEMTYPEID,ELEMENTYPE,ELMTSOURCE,CREATED_AT,UPDATED_AT
49,"mandibular ramus, teeth",10,2024-03-15 11:19:09.687 +0100,
50,maxilla,10,2024-03-15 11:19:09.687 +0100,
51,"maxilla, edentulous",10,2024-03-15 11:19:09.687 +0100,
52,"maxilla, teeth",10,2024-03-15 11:19:09.687 +0100,
53,metacarpal,10,2024-03-15 11:19:09.687 +0100,
54,metapodial,10,2024-03-15 11:19:09.687 +0100,
55,metatarsal,10,2024-03-15 11:19:09.687 +0100,
56,middle cuneiform,10,2024-03-15 11:19:09.687 +0100,
57,nasal,10,2024-03-15 11:19:09.687 +0100,
58,navicular,10,2024-03-15 11:19:09.687 +0100,
59,occipital,10,2024-03-15 11:19:09.687 +0100,
60,occipital condyle,10,2024-03-15 11:19:09.687 +0100,
61,palate,10,2024-03-15 11:19:09.687 +0100,
62,"palate, edentulous",10,2024-03-15 11:19:09.687 +0100,
63,"palate, teeth",10,2024-03-15 11:19:09.687 +0100,
64,parietal,10,2024-03-15 11:19:09.687 +0100,
65,pelvis,10,2024-03-15 11:19:09.687 +0100,
66,"phalanx, proximal (first)",10,2024-03-15 11:19:09.687 +0100,
67,"phalanx, intermediate (second)",10,2024-03-15 11:19:09.687 +0100,
68,"phalanx, distal (third)",10,2024-03-15 11:19:09.687 +0100,
69,pisiform,10,2024-03-15 11:19:09.687 +0100,
70,"premaxilla, edentulous",10,2024-03-15 11:19:09.687 +0100,
71,"premaxilla, teeth",10,2024-03-15 11:19:09.687 +0100,
72,prepubis,10,2024-03-15 11:19:09.687 +0100,
73,presphenoid,10,2024-03-15 11:19:09.687 +0100,
74,pterygoid,10,2024-03-15 11:19:09.687 +0100,
75,pubis,10,2024-03-15 11:19:09.687 +0100,
76,quill,10,2024-03-15 11:19:09.687 +0100,
77,radius,10,2024-03-15 11:19:09.687 +0100,
78,rib,10,2024-03-15 11:19:09.687 +0100,
79,rostrum,10,2024-03-15 11:19:09.687 +0100,
80,scaphoid,10,2024-03-15 11:19:09.687 +0100,
81,scapula,10,2024-03-15 11:19:09.687 +0100,
82,sesamoid,10,2024-03-15 11:19:09.687 +0100,
83,skull,10,2024-03-15 11:19:09.687 +0100,
84,"skull, edentulous",10,2024-03-15 11:19:09.687 +0100,
85,"skull, teeth",10,2024-03-15 11:19:09.687 +0100,
86,squamosal,10,2024-03-15 11:19:09.687 +0100,
87,tarsal,10,2024-03-15 11:19:09.687 +0100,
88,tibia,10,2024-03-15 11:19:09.687 +0100,
89,tibia-fibula,10,2024-03-15 11:19:09.687 +0100,
90,tooth,10,2024-03-15 11:19:09.687 +0100,
91,"tooth, canine",10,2024-03-15 11:19:09.687 +0100,
92,"tooth, crown",10,2024-03-15 11:19:09.687 +0100,
93,"tooth, deciduous",10,2024-03-15 11:19:09.687 +0100,
94,"tooth, deciduous canine",10,2024-03-15 11:19:09.687 +0100,
95,"tooth, deciduous incisor",10,2024-03-15 11:19:09.687 +0100,
96,"tooth, deciduous premolar",10,2024-03-15 11:19:09.687 +0100,
97,"tooth, fifth incisor",10,2024-03-15 11:19:09.687 +0100,
98,"tooth, first deciduous incisor",10,2024-03-15 11:19:09.687 +0100,
99,"tooth, first deciduous premolar",10,2024-03-15 11:19:09.687 +0100,
100,"tooth, first incisor",10,2024-03-15 11:19:09.687 +0100,
101,"tooth, first molar",10,2024-03-15 11:19:09.687 +0100,
102,"tooth, first premolar",10,2024-03-15 11:19:09.687 +0100,
103,"tooth, fourth deciduous premolar",10,2024-03-15 11:19:09.687 +0100,
104,"tooth, fourth incisor",10,2024-03-15 11:19:09.687 +0100,
105,"tooth, fourth molar",10,2024-03-15 11:19:09.687 +0100,
106,"tooth, fourth premolar",10,2024-03-15 11:19:09.687 +0100,
107,"tooth, incisor",10,2024-03-15 11:19:09.687 +0100,
108,"tooth, molar",10,2024-03-15 11:19:09.687 +0100,
109,"tooth, premolar",10,2024-03-15 11:19:09.687 +0100,
110,"tooth, root",10,2024-03-15 11:19:09.687 +0100,
111,"tooth, second deciduous incisor",10,2024-03-15 11:19:09.687 +0100,
112,"tooth, second deciduous premolar",10,2024-03-15 11:19:09.687 +0100,
113,"tooth, second incisor",10,2024-03-15 11:19:09.687 +0100,
114,"tooth, second molar",10,2024-03-15 11:19:09.687 +0100,
115,"tooth, second premolar",10,2024-03-15 11:19:09.687 +0100,
116,"tooth, third deciduous incisor",10,2024-03-15 11:19:09.687 +0100,
117,"tooth, third deciduous premolar",10,2024-03-15 11:19:09.687 +0100,
118,"tooth, third incisor",10,2024-03-15 11:19:09.687 +0100,
119,"tooth, third molar",10,2024-03-15 11:19:09.687 +0100,
120,"tooth, third premolar",10,2024-03-15 11:19:09.687 +0100,
121,trapezium,10,2024-03-15 11:19:09.687 +0100,
122,trapezoid,10,2024-03-15 11:19:09.687 +0100,
123,tusk,10,2024-03-15 11:19:09.687 +0100,
124,ulna,10,2024-03-15 11:19:09.687 +0100,
125,unciform,10,2024-03-15 11:19:09.687 +0100,
126,vertebra,10,2024-03-15 11:19:09.687 +0100,
127,"vertebra, atlas",10,2024-03-15 11:19:09.687 +0100,
128,"vertebra, axis",10,2024-03-15 11:19:09.687 +0100,
129,"vertebra, caudal",10,2024-03-15 11:19:09.687 +0100,
130,"vertebra, cervical",10,2024-03-15 11:19:09.687 +0100,
131,"vertebra, lumbar",10,2024-03-15 11:19:09.687 +0100,
132,"vertebra, sacrum",10,2024-03-15 11:19:09.687 +0100,
133,"vertebra, thoracic",10,2024-03-15 11:19:09.687 +0100,
134,vomer,10,2024-03-15 11:19:09.687 +0100,
135,zygomatic,10,2024-03-15 11:19:09.687 +0100,
136,valve,10,2024-03-15 11:19:09.687 +0100,
137,shell,10,2024-03-15 11:19:09.687 +0100,
138,sediment/water,10,2024-03-15 11:19:09.687 +0100,
139,field air,10,2024-03-15 11:19:09.687 +0100,
140,field,10,2024-03-15 11:19:09.687 +0100,
141,lab,10,2024-03-15 11:19:09.687 +0100,
142,mean January,10,2024-03-15 11:19:09.687 +0100,
143,mean July,10,2024-03-15 11:19:09.687 +0100,
144,mean annual,10,2024-03-15 11:19:09.687 +0100,
145,>100 µm,10,2024-03-15 11:19:09.687 +0100,
146,>125 µm,10,2024-03-15 11:19:09.687 +0100,
147,>24 µm,10,2024-03-15 11:19:09.687 +0100,
148,>30 µm,10,2024-03-15 11:19:09.687 +0100,
149,>5 µm,10,2024-03-15 11:19:09.687 +0100,
150,>50 µm,10,2024-03-15 11:19:09.687 +0100,
151,>50 µm^2,10,2024-03-15 11:19:09.687 +0100,
152,0-25 µm,10,2024-03-15 11:19:09.687 +0100,
153,1000°C,10,2024-03-15 11:19:09.687 +0100,
154,100-125 µm,10,2024-03-15 11:19:09.687 +0100,
155,100-150 µm,10,2024-03-15 11:19:09.687 +0100,
156,12-20 µm,10,2024-03-15 11:19:09.687 +0100,
157,14-24 µm,10,2024-03-15 11:19:09.687 +0100,
158,25-50 µm,10,2024-03-15 11:19:09.687 +0100,
159,450°C,10,2024-03-15 11:19:09.687 +0100,
160,500°C,10,2024-03-15 11:19:09.687 +0100,
161,50-100 µm,10,2024-03-15 11:19:09.687 +0100,
162,50-75 µm,10,2024-03-15 11:19:09.687 +0100,
163,5-150 µm,10,2024-03-15 11:19:09.687 +0100,
164,525°C,10,2024-03-15 11:19:09.687 +0100,
165,5-50 µm,10,2024-03-15 11:19:09.687 +0100,
166,550°C,10,2024-03-15 11:19:09.687 +0100,
167,600°C,10,2024-03-15 11:19:09.687 +0100,
168,75-100 µm,10,2024-03-15 11:19:09.687 +0100,
169,800°C,10,2024-03-15 11:19:09.687 +0100,
170,825°C,10,2024-03-15 11:19:09.687 +0100,
171,900°C,10,2024-03-15 11:19:09.687 +0100,
172,910°C,10,2024-03-15 11:19:09.687 +0100,
173,915°C,10,2024-03-15 11:19:09.687 +0100,
174,925°C,10,2024-03-15 11:19:09.687 +0100,
175,950°C,10,2024-03-15 11:19:09.687 +0100,
176,anther,10,2024-03-15 11:19:09.687 +0100,
177,hyphae,10,2024-03-15 11:19:09.687 +0100,
178,Jorgensen method,10,2024-03-15 11:19:09.687 +0100,
179,kernel,10,2024-03-15 11:19:09.687 +0100,
180,leaf hair,10,2024-03-15 11:19:09.687 +0100,
181,bill,10,2024-03-15 11:19:09.687 +0100,
182,quantity added,10,2024-03-15 11:19:09.687 +0100,
183,ratio,10,2024-03-15 11:19:09.687 +0100,
184,leaf spine,10,2024-03-15 11:19:09.687 +0100,
185,bone/bill,10,2024-03-15 11:19:09.687 +0100,
186,scute,10,2024-03-15 11:19:09.687 +0100,
187,bone/plastron,10,2024-03-15 11:19:09.687 +0100,
188,bone/shell,10,2024-03-15 11:19:09.687 +0100,
189,suberized basal cells,10,2024-03-15 11:19:09.687 +0100,
190,seed,10,2024-03-15 11:19:09.687 +0100,
191,bone/tooth/scale,10,2024-03-15 11:19:09.687 +0100,
192,bone/tooth/shell,10,2024-03-15 11:19:09.687 +0100,
193,Lycopodium method,10,2024-03-15 11:19:09.687 +0100,
194,macrobotanical,10,2024-03-15 11:19:09.687 +0100,
195,carbonates,10,2024-03-15 11:19:09.687 +0100,
196,massula,10,2024-03-15 11:19:09.687 +0100,
197,cob,10,2024-03-15 11:19:09.687 +0100,
198,concentration,10,2024-03-15 11:19:09.687 +0100,
199,counted,10,2024-03-15 11:19:09.687 +0100,
200,cyst,10,2024-03-15 11:19:09.687 +0100,
201,dentary,10,2024-03-15 11:19:09.687 +0100,
202,dry mass,10,2024-03-15 11:19:09.687 +0100,
203,dry mass examined,10,2024-03-15 11:19:09.687 +0100,
204,dry mass prepared,10,2024-03-15 11:19:09.687 +0100,
205,egg shell,10,2024-03-15 11:19:09.687 +0100,
206,Eucalyptus method,10,2024-03-15 11:19:09.687 +0100,
207,megaspore,10,2024-03-15 11:19:09.687 +0100,
208,glochidia,10,2024-03-15 11:19:09.687 +0100,
209,glume,10,2024-03-15 11:19:09.687 +0100,
210,spermatophore,10,2024-03-15 11:19:09.687 +0100,
211,microsphere method,10,2024-03-15 11:19:09.687 +0100,
212,organic matter,10,2024-03-15 11:19:09.687 +0100,
213,spicule,10,2024-03-15 11:19:09.687 +0100,
214,stalk fiber,10,2024-03-15 11:19:09.687 +0100,
215,stomate,10,2024-03-15 11:19:09.687 +0100,
216,test,10,2024-03-15 11:19:09.687 +0100,
217,trichome,10,2024-03-15 11:19:09.687 +0100,
218,plastron,10,2024-03-15 11:19:09.687 +0100,
219,twig,10,2024-03-15 11:19:09.687 +0100,
220,umbone,10,2024-03-15 11:19:09.687 +0100,
221,volume,10,2024-03-15 11:19:09.687 +0100,
222,volume examined,10,2024-03-15 11:19:09.687 +0100,
223,xiphiplastron,10,2024-03-15 11:19:09.687 +0100,
224,zygospore,10,2024-03-15 11:19:09.687 +0100,
225,elytron,10,2024-03-15 11:19:09.687 +0100,
226,head,10,2024-03-15 11:19:09.687 +0100,
227,puparium,10,2024-03-15 11:19:09.687 +0100,
228,thorax,10,2024-03-15 11:19:09.687 +0100,
229,wing,10,2024-03-15 11:19:09.687 +0100,
230,spine,10,2024-03-15 11:19:09.687 +0100,
231,megastrobilus,10,2024-03-15 11:19:09.687 +0100,
232,needle,10,2024-03-15 11:19:09.687 +0100,
233,acorn cup,10,2024-03-15 11:19:09.687 +0100,
234,ament bract,10,2024-03-15 11:19:09.687 +0100,
235,coenobium,10,2024-03-15 11:19:09.687 +0100,
236,colony,10,2024-03-15 11:19:09.687 +0100,
237,achene,10,2024-03-15 11:19:09.687 +0100,
238,acorn,10,2024-03-15 11:19:09.687 +0100,
239,bark,10,2024-03-15 11:19:09.687 +0100,
240,bulbil,10,2024-03-15 11:19:09.687 +0100,
241,stem,10,2024-03-15 11:19:09.687 +0100,
242,bud scale,10,2024-03-15 11:19:09.687 +0100,
243,coracoid,10,2024-03-15 11:19:09.687 +0100,
244,"tooth, caniform",10,2024-03-15 11:19:09.687 +0100,
245,"tooth, second molariform",10,2024-03-15 11:19:09.687 +0100,
246,"tooth, fifth molariform",10,2024-03-15 11:19:09.687 +0100,
247,"tooth, fourth molariform",10,2024-03-15 11:19:09.687 +0100,
248,"tooth, third molariform",10,2024-03-15 11:19:09.687 +0100,
249,"metacarpal, third",10,2024-03-15 11:19:09.687 +0100,
250,"metacarpal, second",10,2024-03-15 11:19:09.687 +0100,
251,"metacarpal, first",10,2024-03-15 11:19:09.687 +0100,
252,cranium,10,2024-03-15 11:19:09.687 +0100,
253,"navicular-cuboid, cuneiform",10,2024-03-15 11:19:09.687 +0100,
254,navicular-cuboid,10,2024-03-15 11:19:09.687 +0100,
255,patella,10,2024-03-15 11:19:09.687 +0100,
256,"metacarpal, fifth",10,2024-03-15 11:19:09.687 +0100,
257,"metacarpal, fourth",10,2024-03-15 11:19:09.687 +0100,
258,"metatarsal, fifth",10,2024-03-15 11:19:09.687 +0100,
259,"metatarsal, fourth",10,2024-03-15 11:19:09.687 +0100,
260,"metatarsal, second",10,2024-03-15 11:19:09.687 +0100,
261,"metatarsal, third",10,2024-03-15 11:19:09.687 +0100,
262,sacrum,10,2024-03-15 11:19:09.687 +0100,
263,stump,10,2024-03-15 11:19:09.687 +0100,
264,frustule,10,2024-03-15 11:19:09.687 +0100,
265,wood,10,2024-03-15 11:19:09.687 +0100,
266,"pedal ungual, pes, digit 2",10,2024-03-15 11:19:09.687 +0100,
267,"pedal ungual, pes, digit 4",10,2024-03-15 11:19:09.687 +0100,
268,"rib, posterior",10,2024-03-15 11:19:09.687 +0100,
269,"vertebra, thoracic 17",10,2024-03-15 11:19:09.687 +0100,
270,"vertebra, thoracic 18",10,2024-03-15 11:19:09.687 +0100,
271,"vertebra, lumbar 1",10,2024-03-15 11:19:09.687 +0100,
272,"vertebra, thoracic 1",10,2024-03-15 11:19:09.687 +0100,
273,leaf,10,2024-03-15 11:19:09.687 +0100,
274,cyst (reticulate),10,2024-03-15 11:19:09.687 +0100,
275,hystrichosphere cyst,10,2024-03-15 11:19:09.687 +0100,
276,aedeagus,10,2024-03-15 11:19:09.687 +0100,
277,pronotum,10,2024-03-15 11:19:09.687 +0100,
278,hemelytra,10,2024-03-15 11:19:09.687 +0100,
279,sternite,10,2024-03-15 11:19:09.687 +0100,
280,seed wing,10,2024-03-15 11:19:09.687 +0100,
281,stylohyoid,10,2024-03-15 11:19:09.687 +0100,
282,thyrohyoid,10,2024-03-15 11:19:09.687 +0100,
283,microstrobilus,10,2024-03-15 11:19:09.687 +0100,
284,megastrobilus bract,10,2024-03-15 11:19:09.687 +0100,
285,megastrobilus scale,10,2024-03-15 11:19:09.687 +0100,
286,bud,10,2024-03-15 11:19:09.687 +0100,
287,samara,10,2024-03-15 11:19:09.687 +0100,
288,fruit,10,2024-03-15 11:19:09.687 +0100,
289,bract,10,2024-03-15 11:19:09.687 +0100,
290,microsporangium,10,2024-03-15 11:19:09.687 +0100,
291,"shoot, no needles",10,2024-03-15 11:19:09.687 +0100,
292,"shoot, with needles",10,2024-03-15 11:19:09.687 +0100,
293,bract/fruit,10,2024-03-15 11:19:09.687 +0100,
294,needle/seed,10,2024-03-15 11:19:09.687 +0100,
295,bud scale/microstrobilus,10,2024-03-15 11:19:09.687 +0100,
296,bud scale/needle,10,2024-03-15 11:19:09.687 +0100,
297,microstrobilus/needle/twig,10,2024-03-15 11:19:09.687 +0100,
298,oospore,10,2024-03-15 11:19:09.687 +0100,
299,silique,10,2024-03-15 11:19:09.687 +0100,
300,<50 µm,10,2024-03-15 11:19:09.687 +0100,
301,ephippium,10,2024-03-15 11:19:09.687 +0100,
302,unknown,10,2024-03-15 11:19:09.687 +0100,
303,unspecified,10,2024-03-15 11:19:09.687 +0100,
304,entocuneiform,10,2024-03-15 11:19:09.687 +0100,
305,ectomesocuneiform,10,2024-03-15 11:19:09.687 +0100,
306,"tooth, deciduous molar",10,2024-03-15 11:19:09.687 +0100,
307,phalanx,10,2024-03-15 11:19:09.687 +0100,
308,sternebra,10,2024-03-15 11:19:09.687 +0100,
309,petrosal,10,2024-03-15 11:19:09.687 +0100,
310,cubonavicular,10,2024-03-15 11:19:09.687 +0100,
311,endocarp/bark,10,2024-03-15 11:19:09.687 +0100,
312,floret,10,2024-03-15 11:19:09.687 +0100,
313,hook,10,2024-03-15 11:19:09.687 +0100,
314,leaf/fruit,10,2024-03-15 11:19:09.687 +0100,
315,leaf/hooks,10,2024-03-15 11:19:09.687 +0100,
316,leaf/phyllaries,10,2024-03-15 11:19:09.687 +0100,
317,leaf/pod,10,2024-03-15 11:19:09.687 +0100,
318,nutlet,10,2024-03-15 11:19:09.687 +0100,
319,nutshell,10,2024-03-15 11:19:09.687 +0100,
320,seed/twig,10,2024-03-15 11:19:09.687 +0100,
321,carpel,10,2024-03-15 11:19:09.687 +0100,
322,leaf/leaf margin,10,2024-03-15 11:19:09.687 +0100,
323,clypeus,10,2024-03-15 11:19:09.687 +0100,
324,frontoclypeal apotome,10,2024-03-15 11:19:09.687 +0100,
325,tergite,10,2024-03-15 11:19:09.687 +0100,
326,endocarp,10,2024-03-15 11:19:09.687 +0100,
327,flower,10,2024-03-15 11:19:09.687 +0100,
328,exospore,10,2024-03-15 11:19:09.687 +0100,
329,fragment,10,2024-03-15 11:19:09.687 +0100,
330,area,10,2024-03-15 11:19:09.687 +0100,
331,seed/nutshell,10,2024-03-15 11:19:09.687 +0100,
332,>10 µm,10,2024-03-15 11:19:09.687 +0100,
333,scale,10,2024-03-15 11:19:09.687 +0100,
334,sphenotic,10,2024-03-15 11:19:09.687 +0100,
335,sternum,10,2024-03-15 11:19:09.687 +0100,
336,125-250 µm,10,2024-03-15 11:19:09.687 +0100,
337,>250 µm,10,2024-03-15 11:19:09.687 +0100,
338,frontoclypeus,10,2024-03-15 11:19:09.687 +0100,
339,"needle, semicircular",10,2024-03-15 11:19:09.687 +0100,
340,puparia,10,2024-03-15 11:19:09.687 +0100,
341,"seed, trigonous",10,2024-03-15 11:19:09.687 +0100,
342,seed coat,10,2024-03-15 11:19:09.687 +0100,
343,>8 µm,10,2024-03-15 11:19:09.687 +0100,
344,head capsule,10,2024-03-15 11:19:09.687 +0100,
345,abdominal segment,10,2024-03-15 11:19:09.687 +0100,
346,exoskeleton,10,2024-03-15 11:19:09.687 +0100,
347,larval head capsule,10,2024-03-15 11:19:09.687 +0100,
348,puparium fragment,10,2024-03-15 11:19:09.687 +0100,
349,scutellum,10,2024-03-15 11:19:09.687 +0100,
350,sternites,10,2024-03-15 11:19:09.687 +0100,
351,pod,10,2024-03-15 11:19:09.687 +0100,
352,capule,10,2024-03-15 11:19:09.687 +0100,
353,capsule,10,2024-03-15 11:19:09.687 +0100,
354,oogonia,10,2024-03-15 11:19:09.687 +0100,
355,leaf/stem,10,2024-03-15 11:19:09.687 +0100,
356,statoblast,10,2024-03-15 11:19:09.687 +0100,
357,"vertebra, thoracic, first",10,2024-03-15 11:19:09.687 +0100,
358,larval mandibles,10,2024-03-15 11:19:09.687 +0100,
359,fragments,10,2024-03-15 11:19:09.687 +0100,
360,leg,10,2024-03-15 11:19:09.687 +0100,
361,tarsometatarsus,10,2024-03-15 11:19:09.687 +0100,
362,tibiotarsus,10,2024-03-15 11:19:09.687 +0100,
363,"tooth, first molariform",10,2024-03-15 11:19:09.687 +0100,
364,"tooth, molariform",10,2024-03-15 11:19:09.687 +0100,
365,<125 µm,10,2024-03-15 11:19:09.687 +0100,
366,<100 µm,10,2024-03-15 11:19:09.687 +0100,
367,metasternum,10,2024-03-15 11:19:09.687 +0100,
368,"wood, diffuse porous",10,2024-03-15 11:19:09.687 +0100,
369,"wood, ring porous",10,2024-03-15 11:19:09.687 +0100,
370,radius/ulna,10,2024-03-15 11:19:09.687 +0100,
371,radius-ulna,10,2024-03-15 11:19:09.687 +0100,
372,involucre,10,2024-03-15 11:19:09.687 +0100,
373,mesonotum,10,2024-03-15 11:19:09.687 +0100,
374,metanotum,10,2024-03-15 11:19:09.687 +0100,
375,tissue,10,2024-03-15 11:19:09.687 +0100,
376,spikelet,10,2024-03-15 11:19:09.687 +0100,
377,perianth,10,2024-03-15 11:19:09.687 +0100,
378,mesocarp,10,2024-03-15 11:19:09.687 +0100,
379,rachis,10,2024-03-15 11:19:09.687 +0100,
380,sheath,10,2024-03-15 11:19:09.687 +0100,
381,schizocarp,10,2024-03-15 11:19:09.687 +0100,
382,nut,10,2024-03-15 11:19:09.687 +0100,
383,calyx,10,2024-03-15 11:19:09.687 +0100,
384,"calyx, with seed",10,2024-03-15 11:19:09.687 +0100,
385,fruit/seed,10,2024-03-15 11:19:09.687 +0100,
386,"involucre, with nut",10,2024-03-15 11:19:09.687 +0100,
387,female ovipositor/male genitalia,10,2024-03-15 11:19:09.687 +0100,
388,nymph,10,2024-03-15 11:19:09.687 +0100,
389,ovipositor,10,2024-03-15 11:19:09.687 +0100,
390,fruit scale,10,2024-03-15 11:19:09.687 +0100,
391,30-100 µm,10,2024-03-15 11:19:09.687 +0100,
392,long bone,10,2024-03-15 11:19:09.687 +0100,
393,basipterygium,10,2024-03-15 11:19:09.687 +0100,
394,caudal bony plate,10,2024-03-15 11:19:09.687 +0100,
395,cleithrum,10,2024-03-15 11:19:09.687 +0100,
396,epihyal,10,2024-03-15 11:19:09.687 +0100,
397,epiotic,10,2024-03-15 11:19:09.687 +0100,
398,head-angular,10,2024-03-15 11:19:09.687 +0100,
399,hypohyal 1,10,2024-03-15 11:19:09.687 +0100,
400,interopercle,10,2024-03-15 11:19:09.687 +0100,
401,lingual plate,10,2024-03-15 11:19:09.687 +0100,
402,mesocoracoid,10,2024-03-15 11:19:09.687 +0100,
403,mesopterygoid,10,2024-03-15 11:19:09.687 +0100,
404,metapterygoid,10,2024-03-15 11:19:09.687 +0100,
405,opercle,10,2024-03-15 11:19:09.687 +0100,
406,parasphenoid,10,2024-03-15 11:19:09.687 +0100,
407,post-cleithrum,10,2024-03-15 11:19:09.687 +0100,
408,posttemporal,10,2024-03-15 11:19:09.687 +0100,
409,premaxilla,10,2024-03-15 11:19:09.687 +0100,
410,preopercle,10,2024-03-15 11:19:09.687 +0100,
411,prootic,10,2024-03-15 11:19:09.687 +0100,
412,quadrate,10,2024-03-15 11:19:09.687 +0100,
413,subopercle,10,2024-03-15 11:19:09.687 +0100,
414,supracleithrum,10,2024-03-15 11:19:09.687 +0100,
415,supraoccipital,10,2024-03-15 11:19:09.687 +0100,
416,urohyal,10,2024-03-15 11:19:09.687 +0100,
417,antorbital,10,2024-03-15 11:19:09.687 +0100,
418,articular,10,2024-03-15 11:19:09.687 +0100,
419,branchiostegal,10,2024-03-15 11:19:09.687 +0100,
420,fin,10,2024-03-15 11:19:09.687 +0100,
421,infraorbital,10,2024-03-15 11:19:09.687 +0100,
422,lachrymal,10,2024-03-15 11:19:09.687 +0100,
423,maxillary,10,2024-03-15 11:19:09.687 +0100,
424,symplectic,10,2024-03-15 11:19:09.687 +0100,
425,>20 µm,10,2024-03-15 11:19:09.687 +0100,
426,thorn,10,2024-03-15 11:19:09.687 +0100,
427,leaflet,10,2024-03-15 11:19:09.687 +0100,
428,phyllary,10,2024-03-15 11:19:09.687 +0100,
429,stamen,10,2024-03-15 11:19:09.687 +0100,
430,shoot,10,2024-03-15 11:19:09.687 +0100,
431,catkin scale,10,2024-03-15 11:19:09.687 +0100,
432,"stem, leaf",10,2024-03-15 11:19:09.687 +0100,
433,skeleton,10,2024-03-15 11:19:09.687 +0100,
434,megasporangium,10,2024-03-15 11:19:09.687 +0100,
435,resting spore,10,2024-03-15 11:19:09.687 +0100,
436,bone/antler,10,2024-03-15 11:19:09.687 +0100,
437,"catkin bract, pistillate",10,2024-03-15 11:19:09.687 +0100,
438,mass,10,2024-03-15 11:19:09.687 +0100,
439,"sclereid cell, star-shaped",10,2024-03-15 11:19:09.687 +0100,
440,catkin,10,2024-03-15 11:19:09.687 +0100,
441,"catkin, pistillate",10,2024-03-15 11:19:09.687 +0100,
442,"catkin, staminate",10,2024-03-15 11:19:09.687 +0100,
443,mericarp,10,2024-03-15 11:19:09.687 +0100,
444,mandible/claw,10,2024-03-15 11:19:09.687 +0100,
445,egg,10,2024-03-15 11:19:09.687 +0100,
446,aboveground parts,10,2024-03-15 11:19:09.687 +0100,
447,oocyte,10,2024-03-15 11:19:09.687 +0100,
448,trichoblast,10,2024-03-15 11:19:09.687 +0100,
449,>180 µm,10,2024-03-15 11:19:09.687 +0100,
450,phytolith,10,2024-03-15 11:19:09.687 +0100,
451,<80 µm,10,2024-03-15 11:19:09.687 +0100,
452,80-125 µm,10,2024-03-15 11:19:09.687 +0100,
453,pupa,10,2024-03-15 11:19:09.687 +0100,
454,pupa (large),10,2024-03-15 11:19:09.687 +0100,
455,pupa (small),10,2024-03-15 11:19:09.687 +0100,
