"DEPOSITID","DEPOSIT","PARENTID","DEPOSITDSC","CREATED_AT","UPDATED_AT"
74,Loess (reworked),73,,2023-09-13 11:50:30.176 +0200,
75,Gravel (non-specific),2,,2023-09-13 11:50:30.176 +0200,
76,Silt (non-specific),2,,2023-09-13 11:50:30.176 +0200,
77,Clay (non-specific),2,,2023-09-13 11:50:30.176 +0200,
78,Silty clay,77,,2023-09-13 11:50:30.176 +0200,
79,Clayey silt,76,,2023-09-13 11:50:30.176 +0200,
80,Silty sand,98,,2023-09-13 11:50:30.176 +0200,
81,Laminated silt and clay,2,,2023-09-13 11:50:30.176 +0200,
82,Gyttja,76,Equals 'Organic silt',2023-09-13 11:50:30.176 +0200,
83,Wetland origin (non-specific),83,,2023-09-13 11:50:30.176 +0200,
84,Bog sediment,83,Usually enclosed depression filled by rain water,2023-09-13 11:50:30.176 +0200,
85,Swamp origin,83,,2023-09-13 11:50:30.176 +0200,
86,Marsh origin,83,,2023-09-13 11:50:30.176 +0200,
87,Fen origin,83,Steady supply by ground water source,2023-09-13 11:50:30.176 +0200,
88,Pond origin,83,,2023-09-13 11:50:30.176 +0200,
89,Shallow water muds,83,,2023-09-13 11:50:30.176 +0200,
90,Peat deposit (non-specific),83,,2023-09-13 11:50:30.176 +0200,
91,Muck deposit,83,,2023-09-13 11:50:30.176 +0200,
92,Fibric peat,90,,2023-09-13 11:50:30.176 +0200,
93,Silty peat,90,,2023-09-13 11:50:30.176 +0200,
94,Detrital Peat,90,,2023-09-13 11:50:30.176 +0200,
95,"Peat, sedge",90,,2023-09-13 11:50:30.176 +0200,
96,"Peat, tephra",90,,2023-09-13 11:50:30.176 +0200,
97,Organic Detritus,90,,2023-09-13 11:50:30.176 +0200,
98,Sand (non-specific),2,,2023-09-13 11:50:30.176 +0200,
99,Cross-bedded sand,98,,2023-09-13 11:50:30.176 +0200,
100,Fine sand,98,,2023-09-13 11:50:30.176 +0200,
101,Fossiliferous silt,27,,2023-09-13 11:50:30.176 +0200,
102,Sapropel,27,,2023-09-13 11:50:30.176 +0200,
103,Cave deposits,103,,2023-09-13 11:50:30.176 +0200,
104,Owl roost,25,,2023-09-13 11:50:30.176 +0200,
105,Fish bed,25,,2023-09-13 11:50:30.176 +0200,
106,Organic sand,98,,2023-09-13 11:50:30.176 +0200,
107,Organic silty clay,77,,2023-09-13 11:50:30.176 +0200,
108,Medium sand,98,,2023-09-13 11:50:30.176 +0200,
109,Moss (non-specific),23,,2023-09-13 11:50:30.176 +0200,
110,Other,110,,2023-09-13 11:50:30.176 +0200,
111,Lake sediment,8,,2023-09-13 11:50:30.176 +0200,
112,Estuarine sediment (non-specific),112,,2023-09-13 11:50:30.176 +0200,
113,Buried surface (non-specific),113,,2023-09-13 11:50:30.176 +0200,
114,Bulk deposit (non-specific),114,,2023-09-13 11:50:30.176 +0200,
115,Coastal origin (non-specific),1,,2023-09-13 11:50:30.176 +0200,
-9999,ND,-9999,no data,2023-09-13 11:54:46.429 +0200,2023-09-13 11:54:46.429 +0200
2,"Sedimentary, clastic",1,,2023-09-13 11:50:30.176 +0200,2023-09-13 11:56:05.403 +0200
3,"Sedimentary, chemical",1,,2023-09-13 11:50:30.176 +0200,2023-09-13 11:56:05.843 +0200
4,"Sedimentary, biogenic",1,,2023-09-13 11:50:30.176 +0200,2023-09-13 11:56:06.155 +0200
5,"Sedimentary, residual",1,,2023-09-13 11:50:30.176 +0200,2023-09-13 11:56:06.457 +0200
116,Buried organic sediment,23,,2023-11-14 20:43:39.904 +0100,2023-11-14 20:43:53.997 +0100
117,"Sapropel, tephra",27,,2024-03-25 07:04:57.252 +0100,2024-03-25 07:04:57.252 +0100
118,Mudstone,2,,2024-03-25 07:05:29.727 +0100,2024-03-25 07:05:29.727 +0100
