ECOGROUPID,ECOLGROUP,ECOGRPHNDL,ECOGRPSRC
136,Phasmida,PHAS,10
137,Phoenicopteriformes,PHOE,10
138,Physical measurements,PHYS,10
139,Phytoliths,PHYT,10
140,Piciformes,PICI,10
141,Pilosa,PILO,10
142,Plecoptera,PLEC,10
143,Pleuronectiformes,PLEU,10
144,Plant,PLNT,10
145,Loss-on-ignition,PLOI,10
146,Paleomagnetic,PMAG,10
147,Podicipediformes,PODI,10
148,Prasinophyte,PRAS,10
149,Primates,PRIM,10
150,Proboscidea,PROB,10
151,Procellariiformes,PROC,10
152,Prokaryota,PROK,10
153,Undifferentiated protists,PROT,10
154,Perissodactyla,PRSS,10
155,Undifferentiated protozoa,PRTZ,10
156,Physical sedimentological,PSED,10
157,Psittaciformes,PSIT,10
158,Psocodea,PSOC,10
159,Pteridophyta,PTER,10
160,Phthiraptera,PTHT,10
161,Rajiformes,RAJI,10
162,Rodentia,RODE,10
163,Undifferentiated rotifers,ROTI,10
164,Salmoniformes,SALM,10
165,Scorpaeniformes,SCOR,10
166,Spermatophyte rank or clade above order,SEED,10
167,Serpentes,SERP,10
168,Silicoflagellates,SILC,10
169,Siluriformes,SILI,10
170,Siphonaptera,SIPH,10
171,Sirenia,SIRE,10
172,Soricomorpha,SORI,10
173,Sponges,SPNG,10
174,Squaliformes,SQUA,10
175,Strigiformes,STRG,10
176,Succulents,SUCC,10
177,Suliformes,SULI,10
178,Testate amoebae,TEAM,10
179,Testudines,TEST,10
180,Tetraodontiformes,TETR,10
181,Trichoptera,TRIC,10
182,Trees and Shrubs,TRSH,10
183,Undifferentiated pollen,UDPO,10
184,Unknown and Indeterminable Palynomorphs,UNID,10
185,Unionoida,UNIO,10
186,Unknown and Indeterminable Plant Macrofossils,UNPM,10
187,Upland Bryophytes,UPBR,10
188,Upland Herbs,UPHE,10
189,Sea urchins,URCH,10
190,Terrestrial Vascular Cryptogams,VACR,10
191,Vascular plants,VASC,10
192,Undifferentiated vertebrates,VERT,10
193,Water chemistry,WCHM,10
