Field Name,Unit,Example,Origin (Alias)
K,ppm / μg/g ,*1.3*,:ref:`sed-tl_DataCore` (stdc)
K_ERR,ppm / μg/g ,*-9999.99*,:ref:`sed-tl_DataCore` (stdc)
K_MTDAB,,*ND*,:ref:`osl-tl_mineralID` (otmi4)
RB,ppm / μg/g ,*100*,:ref:`sed-tl_DataCore` (stdc)
U238,Bq/kg ,*-9999.99*,:ref:`sed-tl_DataCore` (stdc)
U238_ERR,Bq/kg ,*-9999.99*,:ref:`sed-tl_DataCore` (stdc)
RA226,Bq/kg ,*-9999.99*,:ref:`sed-tl_DataCore` (stdc)
RA226_ERR,Bq/kg ,*-9999.99*,:ref:`sed-tl_DataCore` (stdc)
PB210,Bq/kg ,*-9999.99*,:ref:`sed-tl_DataCore` (stdc)
PB210_ERR,Bq/kg ,*-9999.99*,:ref:`sed-tl_DataCore` (stdc)
RA228,Bq/kg ,*-9999.99*,:ref:`sed-tl_DataCore` (stdc)
RA228_ERR,Bq/kg ,*-9999.99*,:ref:`sed-tl_DataCore` (stdc)
TH228,Bq/kg ,*-9999.99*,:ref:`sed-tl_DataCore` (stdc)
TH228_ERR,Bq/kg ,*-9999.99*,:ref:`sed-tl_DataCore` (stdc)
TH232,Bq/kg ,*-9999.99*,:ref:`sed-tl_DataCore` (stdc)
TH232_ERR,Bq/kg ,*-9999.99*,:ref:`sed-tl_DataCore` (stdc)
K40,Bq/kg ,*-9999.99*,:ref:`sed-tl_DataCore` (stdc)
K40_ERR,Bq/kg ,*-9999.99*,:ref:`sed-tl_DataCore` (stdc)
ALPH,Gy/ka ,*-9999.99*,:ref:`sed-tl_DataCore` (stdc)
ALPH_ERR,Gy/ka ,*-9999.99*,:ref:`sed-tl_DataCore` (stdc)
ALPH_MTDAB,,*ND*,:ref:`osl-tl_mineralID` (otmi5)
BETA,Gy/ka ,*-9999.99*,:ref:`sed-tl_DataCore` (stdc)
BETA_ERR,Gy/ka ,*-9999.99*,:ref:`sed-tl_DataCore` (stdc)
BETA_MTDAB,,*ND*,:ref:`osl-tl_mineralID` (otmi6)
GAMMA,Gy/ka ,*-9999.99*,:ref:`sed-tl_DataCore` (stdc)
GAMMA_ERR,Gy/ka ,*-9999.99*,:ref:`sed-tl_DataCore` (stdc)
GAMMA_MTDA,,*ND*,:ref:`osl-tl_mineralID` (otmi7)
COSMIC,Gy/ka ,*-9999.99*,:ref:`sed-tl_DataCore` (stdc)
COSMIC_ERR,Gy/ka ,*-9999.99*,:ref:`sed-tl_DataCore` (stdc)
ALPH_I,Gy/ka ,*-9999.99*,:ref:`sed-tl_DataCore` (stdc)
ALPH_I_ERR,Gy/ka ,*-9999.99*,:ref:`sed-tl_DataCore` (stdc)
ALPH_I_MTD,,*ND*,:ref:`sed-tl_DataCore` (stdc)
BETA_I,Gy/ka ,*-9999.99*,:ref:`sed-tl_DataCore` (stdc)
BETA_I_ERR,Gy/ka ,*-9999.99*,:ref:`sed-tl_DataCore` (stdc)
BETA_I_MTD,,*ND*,:ref:`sed-tl_DataCore` (stdc)
DIFF_DOSE,,*No*,:ref:`sed-tl_DataCore` (stdc)
DOSERATE,Gy/ka ,*3.015*,:ref:`sed-tl_DataCore` (stdc)
DOSE_ERR,Gy/ka ,*0.059*,:ref:`sed-tl_DataCore` (stdc)
TL_AGE,ka,*17.9*,:ref:`sed-tl_DataCore` (stdc)
TL_RNDERR,ka,*-9999.99*,:ref:`sed-tl_DataCore` (stdc)
TL_ERR,ka,*1.5*,:ref:`sed-tl_DataCore` (stdc)
AGE_CI,,*ND*,:ref:`sed-tl_DataCore` (stdc)
FADCOR,,*ND*,:ref:`sed-tl_DataCore` (stdc)
G_VAL,%/10a ,*-9999.99*,:ref:`sed-tl_DataCore` (stdc)
G_VAL_ERR,%/10a ,*-9999.99*,:ref:`sed-tl_DataCore` (stdc)
AGE_COMMT,,,:ref:`sed-tl_DataCore` (stdc)
