"DATASETID","UNITID","DSETTYPEID","NEODSETID","NEODSETDOI","DSETNAME","DSETSOURCE","DSETAGEOLD","DSETAGEYNG","DSETNOTE"
88,459,3,51928,"10.21233/9P19-T221","",8,30898,67,"Record originally compiled into IndoPacific Pollen Database (IPPD) by Herbert et al. and prepared for upload to Neotoma by Adrian George and Jack Williams, in partnership with Suzette Flantua and HOPE project. Lycopodium believed to be native Lycopodium, not spike. Spike data not available at time of upload."
89,129,3,51930,"10.21233/AKQ6-JV23","",8,11797,-65,""
90,29,3,51932,"10.21233/DR2B-6598","",8,14322,-46,""
91,138,3,51974,"10.21233/1J45-FR02","",8,15552,-68,""
92,101,16,52027,"10.21233/P3QH-YM89","",8,33247,-69,""
93,101,3,52028,"10.21233/AEGP-J328","",8,34499,-69,""
94,497,3,52030,"10.21233/4BFX-M518","",8,24089,574,"Record originally compiled into IndoPacific Pollen Database (IPPD) by Herbert et al. and prepared for upload to Neotoma by Jocelyn Lam, Adrian George and Jack Williams (Wisconsin), in partnership with Suzette Flantua and HOPE team."
95,577,3,52034,"10.21233/FF0H-NW11","",8,23280,-3,"Record originally compiled into IndoPacific Pollen Database (IPPD) by Herbert et al. and prepared for upload to Neotoma by Jocelyn Lam, Adrian George and Jack Williams, in partnership with Suzette Flantua and HOPE project."
96,161,3,52053,"10.21233/8JN8-VW88","",8,9237,-122,""
97,217,3,52057,"10.21233/01F2-2471","",8,8444,-93,""
98,578,3,52242,"10.21233/SM4F-1779","",8,8966,1002,""
99,73,3,52462,"10.21233/KJHV-DJ77","",8,12306,-56,"Record originally compiled into IndoPacific Pollen Database (IPPD) by Herbert et al. and prepared for upload to Neotoma by Jocelyn Lam, Adrian George and Jack Williams, in partnership with Suzette Flantua and HOPE project."
100,595,3,52487,"10.21233/1482-B927","",8,30338,-11,"Record originally compiled into IndoPacific Pollen Database (IPPD) by Herbert et al. and prepared for upload to Neotoma by Jocelyn Lam, Adrian George and Jack Williams, in partnership with Suzette Flantua and HOPE project."
101,557,3,52564,"10.21233/QF1R-A798","",8,37903,292,""
102,320,3,52568,"10.21233/NSSQ-Z242","",8,16709,-2,""
103,284,3,52570,"10.21233/QEV8-9640","",8,8135,-5,""
104,540,3,52574,"10.21233/SRAY-K850","",8,14909,-134,"Record originally compiled into IndoPacific Pollen Database (IPPD) by Herbert et al. and prepared for upload to Neotoma by Jocelyn Lam, Adrian George and Jack Williams, in partnership with Suzette Flantua and HOPE project."
105,556,3,52580,"10.21233/PK0W-M028","",8,90759,3909,"Record originally compiled into IndoPacific Pollen Database (IPPD) by Herbert et al. and prepared for upload to Neotoma by Jocelyn Lam, Adrian George and Jack Williams, in partnership with Suzette Flantua and HOPE project."
106,587,3,52582,"10.21233/6WP1-CS11","",8,203098,0,"Record originally compiled into IndoPacific Pollen Database (IPPD) by Herbert et al. and prepared for upload to Neotoma by Jocelyn Lam, Adrian George and Jack Williams, in partnership with Suzette Flantua and HOPE project."
107,555,3,52584,"10.21233/K60M-7751","",8,7055,399,""
108,338,3,52586,"10.21233/05NW-3C65","",8,37868,-58,""
109,192,3,52590,"10.21233/WVFT-PC50","",8,12248,-61,""
110,554,3,52592,"10.21233/KQ5H-9J82","",8,37385,98,"Record originally compiled into IndoPacific Pollen Database (IPPD) by Herbert et al. and prepared for upload to Neotoma byAdrian George and Jack Williams, in partnership with Suzette Flantua and HOPE project (Uni.Bergen)."
111,525,3,52594,"10.21233/87YX-RR95","",8,3058,126,""
112,270,3,52767,"10.21233/5Y7N-1B24","",8,89987,-133,"Record originally compiled into IndoPacific Pollen Database (IPPD) by Herbert et al. and prepared for upload to Neotoma by Adrian George and Jack Williams, in partnership with Suzette Flantua and HOPE project (Uni.Bergen)."
113,553,3,52769,"10.21233/MT0Y-RF10","",8,22621,53,"Record originally compiled into IndoPacific Pollen Database (IPPD) by Herbert et al. and prepared for upload to Neotoma by Matthew Jacques, Jocelyn Lam, Adrian George and Jack Williams, in partnership with Suzette Flantua and HOPE project."
114,541,3,53117,"10.21233/RVAJ-CN45","",8,4837,851,"Record originally compiled into IndoPacific Pollen Database (IPPD) by Annika Herbert, Geoff Hope and Simon Haberle (ANU), and prepared for upload to Neotoma by Linn Kruger/Cathy Jenks and Suzette Flantua (HOPE project, Uni. Bergen), in partnership with Adrian George and Jack Williams (UW-Madison)"
115,542,3,53123,"10.21233/JBRF-H443","",8,6663,-16,""
116,590,3,53125,"10.21233/AVWF-CA94","",8,8685,-72,"Record originally compiled into IndoPacific Pollen Database (IPPD) by Annika Herbert, Geoff Hope and Simon Haberle (ANU),  and prepared for upload to Neotoma by Linn Kruger/Cathy Jenks and Suzette Flantua (HOPE project, Uni. Bergen), in partnership with Adrian George and Jack Williams (UW-Madison)."
117,30,3,53140,"10.21233/XARG-B747","",8,10473,-37,"Record originally compiled into IndoPacific Pollen Database (IPPD) by Annika Herbert, Geoff Hope and Simon Haberle (ANU), and prepared for upload to Neotoma by Linn Kruger/Cathy Jenks and Suzette Flantua (HOPE project, Uni. Bergen), in partnership with Adrian George and Jack Williams (UW-Madison)."
118,445,3,53142,"10.21233/JFEJ-XG85","",8,7651,-8,"Record originally compiled into IndoPacific Pollen Database (IPPD) by Annika Herbert, Geoff Hope and Simon Haberle (ANU), and prepared for upload to Neotoma by Linn Kruger/Cathy Jenks and Suzette Flantua (HOPE project, Uni. Bergen), in partnership with Adrian George and Jack Williams (UW-Madison)"
119,489,3,53144,"10.21233/AG63-H016","",8,7206,-8,"Record originally compiled into IndoPacific Pollen Database (IPPD) by Annika Herbert, Geoff Hope and Simon Haberle (ANU),  and prepared for upload to Neotoma by Linn Kruger/Cathy Jenks and Suzette Flantua (HOPE project, Uni. Bergen), in partnership with Adrian George and Jack Williams (UW-Madison)."
120,128,3,53253,"10.21233/TS6G-XZ91","",8,10234,-214,""
121,543,3,53255,"10.21233/M5ZK-JT22","",8,5944,-24,"Record originally compiled into IndoPacific Pollen Database (IPPD) by Annika Herbert, Geoff Hope and Simon Haberle (ANU),  and prepared for upload to Neotoma by Linn Kruger/Cathy Jenks and Suzette Flantua (HOPE project, Uni. Bergen), in partnership with Adrian George and Jack Williams (UW-Madison)"
122,579,3,53257,"10.21233/QJ1R-FJ16","",8,21533,-5,"Record originally compiled into IndoPacific Pollen Database (IPPD) by Annika Herbert, Geoff Hope and Simon Haberle (ANU),  and prepared for upload to Neotoma by Linn Kruger/Cathy Jenks and Suzette Flantua (HOPE project, Uni. Bergen), in partnership with Adrian George and Jack Williams (UW-Madison)"
123,544,3,53259,"10.21233/D6Q6-2631","",8,49494,5661,"Originally compiled into IndoPacific Pollen Database(IPPD) by Herbert et al. and prepared for upload to Neotoma by Matthew Langer, Adrian George and Jack Williams, in partnership with Suzette Flantua and HOPE project."
124,249,3,54467,"10.21233/CK7T-8173","",8,3161,-59,"Record originally compiled into IndoPacific Pollen Database (IPPD) by Annika Herbert, Geoff Hope and Simon Haberle (ANU),  and prepared for upload to Neotoma by Linn Kruger/Cathy Jenks and Suzette Flantua (HOPE project, Uni. Bergen), in partnership with Adrian George and Jack Williams (UW-Madison)"
125,597,3,54471,"10.21233/9SQB-WZ67","",8,13754,-80,"Record originally compiled into IndoPacific Pollen Database (IPPD) by Annika Herbert, Geoff Hope and Simon Haberle (ANU),  and prepared for upload to Neotoma by Linn Kruger/Cathy Jenks and Suzette Flantua (HOPE project, Uni. Bergen), in partnership with Adrian George and Jack Williams (UW-Madison)"
126,552,3,54473,"10.21233/7WZF-WC36","",8,13843,-54,""
127,9,3,54475,"10.21233/F6ZK-VM98","",8,24232,-152,"Record originally compiled into IndoPacific Pollen Database (IPPD) by Herbert et al. and prepared for upload to Neotoma by Michael Rehani, Adrian George and Jack Williams, in partnership with Suzette Flantua and HOPE project."
128,91,3,54512,"10.21233/YDBS-6Q17","",8,24497,49,""
129,572,3,54665,"10.21233/2YY7-N465","",8,46889,654,"Record originally compiled into IndoPacific Pollen Database (IPPD) by Herbert et al. and prepared for upload to Neotoma by Matt Jacques, Jocelyn Lam, Adrian George and Jack Williams, in partnership with Suzette Flantua and HOPE project."
130,327,3,57631,"10.21233/5QCE-MY61","",8,34712,-9,"Record originally compiled into Indo-Pacific Pollen Database (IPPD) by Annika Herbert, Geoff Hope and Simon Haberle, and prepared for upload to Neotoma by Michael Rehani, Adrian George and Jack Williams (UW-Madison), in partnership with Suzette Flantua and HOPE project (UiB)"
131,132,3,57633,"10.21233/4E00-DK20","",8,9202,-38,"Record originally compiled into IndoPacific Pollen Database (IPPD) by Herbert et al. and prepared for upload to Neotoma by Michael Rehani, Adrian George and Jack Williams, in partnership with Suzette Flantua and HOPE project."
132,581,3,57637,"10.21233/C2FS-HZ19","",8,42905,-40,"Record originally compiled into Indo-Pacific Pollen Database (IPPD) by Annika Herbert, Geoff Hope and Simon Haberle, and prepared for upload to Neotoma by Matthew Langer, Michael Rehani, Adrian George and Jack Williams (UW-Madison), in partnership with Suzette Flantua and HOPE project (UiB)"
133,585,3,57639,"10.21233/0VK6-PV92","",8,11493,-39,"Record originally compiled into IndoPacific Pollen Database (IPPD) by Herbert et al. and prepared for upload to Neotoma by Michael Rehani, Adrian George and Jack Williams, in partnership with Suzette Flantua and HOPE project."
134,545,3,57641,"10.21233/XB1K-4W74","",8,26135,-39,"Record originally compiled into Indo-Pacific Pollen Database (IPPD) by Annika Herbert, Geoff Hope and Simon Haberle, and prepared for upload to Neotoma by Michael Rehani, Matthew Langer, Adrian George and Jack Williams (UW-Madison), in partnership with Suzette Flantua and HOPE project (UiB)"
135,359,3,57643,"10.21233/TH70-YV81","",8,494620,-1,"Record originally compiled into Indo-Pacific Pollen Database (IPPD) by Annika Herbert, Geoff Hope and Simon Haberle, and prepared for upload to Neotoma by Grace Roper, Michael Rehani, Adrian George and Jack Williams (UW-Madison), in partnership with Suzette Flantua and HOPE project (UiB)"
136,531,3,57650,"10.21233/KQE4-V903","",8,11147,-56,"Record originally compiled into Indo-Pacific Pollen Database (IPPD) by Annika Herbert, Geoff Hope and Simon Haberle, and prepared for upload to Neotoma by Matthew Langer, Adrian George and Jack Williams (UW-Madison), in partnership with Suzette Flantua and HOPE project (UiB)"
137,546,3,57652,"10.21233/VPYY-RN77","",8,7222,88,"Record originally compiled into Indo-Pacific Pollen Database (IPPD) by Annika Herbert, Geoff Hope and Simon Haberle, and prepared for upload to Neotoma by Matthew Langer, Adrian George and Jack Williams (UW-Madison), in partnership with Suzette Flantua and HOPE project (UiB)"
138,582,3,57665,"10.21233/XRHN-6C42","",8,5533,697,"Record originally compiled into IndoPacific Pollen Database (IPPD) by Herbert et al. and prepared for upload to Neotoma by Michael Rehani, Adrian George and Jack Williams, in partnership with Suzette Flantua and HOPE project."
139,580,3,57667,"10.21233/R37A-M906","",8,30887,10897,"Record originally compiled into Indo-Pacific Pollen Database (IPPD) by Annika Herbert, Geoff Hope and Simon Haberle, and prepared for upload to Neotoma by Matthew Langer, Adrian George and Jack Williams (UW-Madison), in partnership with Suzette Flantua and HOPE project (UiB)"
140,591,3,57840,"10.21233/MWXE-V591","",8,3812,2447,"Record originally compiled into IndoPacific Pollen Database (IPPD) by Herbert et al. and prepared for upload to Neotoma by Michael Rehani, Adrian George and Jack Williams, in partnership with Suzette Flantua and HOPE project."
141,592,3,57871,"10.21233/E5C3-5550","",8,3157,-55,"Record originally compiled into IndoPacific Pollen Database (IPPD) by Herbert et al. and prepared for upload to Neotoma by Michael Rehani, Adrian George and Jack Williams, in partnership with Suzette Flantua and HOPE project."
142,490,3,57873,"10.21233/8821-KN98","",8,5518,-28,"Record originally compiled into IndoPacific Pollen Database (IPPD) by Herbert et al. and prepared for upload to Neotoma by Michael Rehani, Adrian George and Jack Williams, in partnership with Suzette Flantua and HOPE project."
143,593,3,57875,"10.21233/1SW4-2P66","",8,22497,-55,"Record originally compiled into IndoPacific Pollen Database (IPPD) by Herbert et al. and prepared for upload to Neotoma by Michael Rehani, Adrian George and Jack Williams, in partnership with Suzette Flantua and HOPE project."
144,583,3,57982,"10.21233/8PB4-BP29","",8,10290,436,"Record originally compiled into IndoPacific Pollen Database (IPPD) by Herbert et al. and prepared for upload to Neotoma by Jocelyn Lam, Adrian George and Jack Williams, in partnership with Suzette Flantua and HOPE project."
145,547,3,57984,"10.21233/N83X-JX34","",8,9404,-45,"Record originally compiled into IndoPacific Pollen Database (IPPD) by Herbert et al. and prepared for upload to Neotoma by Michael Rehani, Adrian George and Jack Williams, in partnership with Suzette Flantua and HOPE project."
146,548,3,58049,"10.21233/5KSZ-0867","",8,9180,1992,"Record originally compiled into IndoPacific Pollen Database (IPPD) by Herbert et al. and prepared for upload to Neotoma by Michael Rehani, Adrian George and Jack Williams, in partnership with Suzette Flantua and HOPE project."
147,549,3,58051,"10.21233/0NJH-W197","",8,8289,2300,"Record originally compiled into IndoPacific Pollen Database (IPPD) by Herbert et al. and prepared for upload to Neotoma by Michael Rehani, Adrian George and Jack Williams, in partnership with Suzette Flantua and HOPE project."
148,550,3,58053,"10.21233/C7HC-BV15","",8,21734,14077,"Record originally compiled into IndoPacific Pollen Database (IPPD) by Herbert et al. and prepared for upload to Neotoma by Matthew Jacques, Jocelyn Lam, Adrian George and Jack Williams, in partnership with Suzette Flantua and HOPE project."
149,492,3,58057,"10.21233/4J7J-DP20","",8,4351,-62,"Record originally compiled into IndoPacific Pollen Database (IPPD) by Herbert et al. and prepared for upload to Neotoma by Michael Rehani, Adrian George and Jack Williams, in partnership with Suzette Flantua and HOPE project."
150,516,3,58059,"10.21233/Y8DT-7Z30","",8,4817,-54,"Record originally compiled into IndoPacific Pollen Database (IPPD) by Herbert et al. and prepared for upload to Neotoma by Michael Rehani, Adrian George and Jack Williams, in partnership with Suzette Flantua and HOPE project."
151,517,3,58061,"10.21233/B74S-V693","",8,7651,-56,"Record originally compiled into IndoPacific Pollen Database (IPPD) by Herbert et al. and prepared for upload to Neotoma by Michael Rehani, Adrian George and Jack Williams, in partnership with Suzette Flantua and HOPE project."
152,551,3,58106,"10.21233/AHVB-AH69","",8,13321,-45,"Record originally compiled into IndoPacific Pollen Database (IPPD) by Herbert et al. and prepared for upload to Neotoma by Michael Rehani, Adrian George and Jack Williams, in partnership with Suzette Flantua and HOPE project."
153,594,3,58108,"10.21233/1482-B927","",8,6662,374,""
154,575,3,58182,"10.21233/6RKH-K418","",8,2558,7,""
155,18,1,7914,"","",8,NA,NA,""
156,576,1,7937,"","",8,NA,NA,""
157,589,1,8327,"","",8,NA,NA,""
158,586,1,8362,"","",8,NA,NA,""
159,532,1,8767,"","",8,NA,NA,""
160,244,1,14620,"","",8,NA,NA,""
161,120,1,14627,"","",8,NA,NA,""
162,574,1,14895,"","",8,NA,NA,""
163,574,16,14896,"10.21233/k8mw-mx37","",8,NA,NA,""
164,573,1,14920,"","",8,NA,NA,"The midpoints for the radiocarbon dates are considered to be the centres of gravity of the organic portions and thus are not the mean depths of the sections (Hope, 1976)."
165,172,1,14939,"","",8,NA,NA,"Depths are median depths based on centroid of organic matter content rather than average depths."
166,533,1,14958,"","",8,NA,NA,""
167,534,1,14960,"","",8,NA,NA,""
168,571,1,14962,"","",8,NA,NA,""
169,73,1,14967,"","",8,NA,NA,""
170,425,1,14970,"","",8,NA,NA,""
171,421,1,14987,"","",8,NA,NA,""
172,421,16,14988,"10.21233/fj5m-p505","",8,NA,NA,""
173,588,1,15004,"","",8,NA,NA,""
174,568,1,15010,"","",8,NA,NA,""
175,568,14,15011,"10.21233/kkb9-dk29","",8,NA,NA,""
176,570,16,15014,"10.21233/tpyz-5923","",8,NA,NA,""
177,569,14,15016,"10.21233/11b9-ab72","",8,NA,NA,""
178,145,1,15057,"","",8,NA,NA,""
179,535,1,15159,"","",8,NA,NA,""
180,536,1,15289,"","",8,NA,NA,""
181,537,1,16208,"","",8,NA,NA,""
182,567,1,20266,"","",8,NA,NA,""
183,567,14,20267,"10.21233/6t0g-4y92","",8,NA,NA,""
184,567,25,20268,"10.21233/8any-e328","",8,NA,NA,""
185,567,8,20269,"10.21233/dcez-px91","",8,NA,NA,""
186,567,11,20270,"10.21233/vcg3-xs85","",8,NA,NA,""
187,567,4,20271,"10.21233/5cs2-t576","",8,NA,NA,""
188,567,23,20272,"10.21233/w841-5t06","",8,NA,NA,""
189,567,16,20275,"","",8,NA,NA,"charcoal in pollen counts"
190,285,1,25510,"","",8,NA,NA,""
191,364,1,32423,"","",8,NA,NA,"Depth 200 and 225 were selected as outliers in the age model. See Publication for explanation."
192,364,34,32424,"10.21233/b8fn-z854","",8,NA,NA,"Depths are the tops of the sections."
193,364,18,33805,"10.21233/s8c2-8339","",8,NA,NA,"XRF data were obtained using an Itrax X-ray fluorescence (ITRAX) core scanner at the Australian Nuclear Science and Technology Organisation (ANSTO) at a resolution of 0.5 mm using a molybdenum (Mo) tube set at 30 kV and 55 mA with a dwell time of 10s. Data are point measurments."
194,364,14,34032,"10.21233/38ac-xp83","",8,NA,NA,"Depths are the tops of the sections. Organic carbon (C%), nitrogen (N%), d13C and d15N were analysed at Australian Nuclear Science and Technology Organisation (ANSTO) at a resolution of 2–4 cm (ca. 50–530 years) using an Elementar VarioMICRO Elemental Analyser (C% and N%) and an Isotope Ratio Mass Spectrometer (δ13C and δ15N) with a CO2 trap (NaOH). An absence of carbonates was determined throughout the sequence by testing with HCl. The δ13C results were normalized to an IAEA C8 reference (Le Clercq, Van Der Plicht, & Gr€oning, 1998) and δ15N to IAEA N-2 (B€ohlke & Coplen, 1995) and USGS-25 (B€ohlke & Coplen, 1995) normalization references. Values for C% and N% were normalized to “High Organic Sediment Standard OAS.”"
195,584,1,34551,"","",8,NA,NA,""
196,566,1,41503,"","RAIDA4 - Geochronology",8,NA,NA,""
197,566,4,41504,"10.21233/qkg9-9n22","RAIDA4 - Directly dated plant macrofossils",8,NA,NA,"Directly dated plant mapcrofossils."
198,566,4,41507,"10.21233/yb3g-5g32","RAIDA4 - Plant macrofossil",8,NA,NA,""
199,566,25,41509,"10.21233/dzpy-jq66","RAIDA4 - Magnetic susceptibility",8,NA,NA,"Magnetic susceptibility measured with a Bartington MS loop ."
200,566,8,41510,"10.21233/8vxm-bz38","RAIDA4 - Insect",8,NA,NA,""
201,596,1,41511,"","EA200 - Geochronology",8,NA,NA,""
202,596,4,41512,"10.21233/q6dc-x564","EA200 - Plant macrofossil",8,NA,NA,""
203,596,25,41516,"10.21233/0e14-k532","EA200 - Magnetic susceptibility",8,NA,NA,"Measurements made with an ITrax micro XRF scanner."
204,433,1,41517,"","EA204 - Geochronology",8,NA,NA,""
205,433,4,41518,"10.21233/bhz5-5p79","EA204 - Plant macrofossil",8,NA,NA,""
206,433,4,41519,"10.21233/yyfv-qz81","EA204 - Wood charcoal",8,NA,NA,""
207,433,25,41523,"10.21233/8kd5-by05","EA204 - Magnetic suceptibility",8,NA,NA,"Measurements made with an ITrax micro XRF scanner."
208,433,8,41528,"10.21233/g5hx-zw54","EA204 - Insect",8,NA,NA,""
209,565,1,41529,"","TUKOU2 - Geochronology",8,NA,NA,""
210,565,4,41530,"10.21233/240d-jy91","TUKOU2 - Plant macrofossil",8,NA,NA,""
211,565,25,41534,"10.21233/sxb1-1j08","TUKOU2 - Magnetic susceptibility",8,NA,NA,"Measurements made with a MS/2 Bartington Susceptibility Meter and core loop at 2 cm intervals."
212,565,8,41535,"10.21233/3rh5-gr27","TUKOU2 - Insect",8,NA,NA,""
213,428,1,45645,"","",8,NA,NA,"Samples with laboratory numbers commencing with “Beta-” were analysed by Beta Analytics, with “Wk-” by Waikato Radiocarbon Laboratory, and with “OZ” by the Australian Nuclear Science and Technology Organisation"
214,428,4,45646,"10.21233/f6tz-zh31","",8,NA,NA,""
215,564,1,46529,"","",8,NA,NA,""
216,564,23,46530,"10.21233/KM4W-DA74","",8,NA,NA,"Zero datum for depth is at the bottom of the section. Depths are in meters. Depths in publication have been multiplied by -1."
217,563,23,46532,"10.21233/03ZF-V285","",8,NA,NA,""
218,118,1,47109,"","",8,NA,NA,""
219,562,1,48646,"","",8,NA,NA,""
220,561,1,48648,"","",8,NA,NA,""
221,560,1,48650,"","",8,NA,NA,"Dates do not appear in Hope et al. (1999)"
222,559,1,48652,"","",8,NA,NA,""
223,238,1,48654,"","",8,NA,NA,""
224,238,16,48655,"10.21233/1DJ0-ZV16","",8,NA,NA,""
225,558,1,48665,"","",8,NA,NA,""
226,428,24,48758,"10.21233/G9KG-GV50","",8,NA,NA,""
227,428,4,48759,"10.21233/MH6W-8D34","",8,NA,NA,""
228,539,1,49425,"","",8,NA,NA,""
229,21,1,50064,"","",8,NA,NA,""
230,465,1,50115,"","",8,NA,NA,""
231,147,1,50118,"","",8,NA,NA,""
232,321,1,50121,"","",8,NA,NA,"Depths 71 cm and 172 cm are identified as outliers due to post-acid/base/acid treatment weights and age-depth model results."
233,524,1,50123,"","",8,NA,NA,""
