"VARELEMTID","VARELEMENT","ELEMTYPEID","SYMMETRYID","PORTIONID","MATURITYID"
92,"innominate",39,NA,NA,NA
93,"Jorgensen method",179,NA,NA,NA
94,"kernel",180,NA,NA,NA
95,"leaf hair",181,NA,NA,NA
96,"leaf spine",186,NA,NA,NA
97,"suberized basal cells",191,NA,NA,NA
98,"limb",43,NA,NA,NA
99,"Lycopodium method",196,NA,NA,NA
100,"tooth, second molar",115,NA,NA,NA
101,"tooth, second molar; left",115,1,NA,NA
102,"tooth, second molar; right",115,2,NA,NA
103,"tooth, third molar",120,NA,NA,NA
104,"macrobotanical",197,NA,NA,NA
105,"mandible",46,NA,NA,NA
106,"mandible; left",46,1,NA,NA
107,"mandible; left; juvenile",46,1,NA,4
108,"mandible; right; juvenile",46,2,NA,4
109,"massula",199,NA,NA,NA
110,"maxilla; left; juvenile",50,1,NA,4
115,"megaspore",218,NA,NA,NA
116,"metacarpal; distal",53,NA,4,NA
117,"metacarpal; left; proximal",53,1,14,NA
118,"metacarpal; right; proximal",53,2,14,NA
119,"metacarpal; right; proximal; juvenile",53,2,14,4
120,"metacarpal; right",53,2,NA,NA
121,"metatarsal; distal",55,NA,4,NA
122,"metatarsal; left",55,1,NA,NA
123,"metatarsal; left; proximal",55,1,14,NA
124,"microsphere method",225,NA,NA,NA
126,"organic matter",226,NA,NA,NA
127,"palate",61,NA,NA,NA
128,"palynomorph",1,NA,NA,NA
129,"pelvis",65,NA,NA,NA
130,"pelvis; right",65,2,NA,NA
131,"phalanx, proximal (first); left",66,1,NA,NA
132,"phalanx, proximal (first); left; juvenile",66,1,NA,4
133,"phalanx, proximal (first); right",66,2,NA,NA
134,"phalanx, intermediate (second); left",67,1,NA,NA
135,"phalanx, intermediate (second); left; juvenile",67,1,NA,4
136,"phalanx, intermediate (second); right",67,2,NA,NA
137,"phalanx, intermediate (second); right; juvenile",67,2,NA,4
138,"phalanx, distal (third); left",68,1,NA,NA
139,"phalanx, distal (third); right",68,2,NA,NA
140,"plastron",232,NA,NA,NA
141,"pollen",2,NA,NA,NA
142,"pollen/spore",3,NA,NA,NA
143,"quantity added",183,NA,NA,NA
144,"quill",76,NA,NA,NA
145,"radius",77,NA,NA,NA
146,"radius; left; distal",77,1,4,NA
147,"radius; left; distal; juvenile",77,1,4,4
148,"radius; right; distal; juvenile",77,2,4,4
149,"radius; left; proximal",77,1,14,NA
150,"radius; right; proximal",77,2,14,NA
151,"ratio",184,NA,NA,NA
152,"rib",78,NA,NA,NA
153,"rostrum",80,NA,NA,NA
155,"scapula",82,NA,NA,NA
156,"scapula; left",82,1,NA,NA
157,"scapula; right",82,2,NA,NA
158,"scapula; right; juvenile",82,2,NA,4
159,"scute",188,NA,NA,NA
160,"seed",192,NA,NA,NA
161,"shell",138,NA,NA,NA
162,"skull",84,NA,NA,NA
164,"spermatophore",224,NA,NA,NA
165,"spicule",227,NA,NA,NA
166,"spore",4,NA,NA,NA
167,"stalk fiber",228,NA,NA,NA
168,"stomate",229,NA,NA,NA
169,"tarsal",88,NA,NA,NA
170,"test",230,NA,NA,NA
171,"tibia",89,NA,NA,NA
172,"tibia; left; distal",89,1,4,NA
173,"tibia; right; distal",89,2,4,NA
174,"tibia; right; distal; juvenile",89,2,4,4
175,"tibia; left; proximal",89,1,14,NA
176,"tibia; left; proximal; juvenile",89,1,14,4
177,"tibia; right; proximal",89,2,14,NA
178,"tibia-fibula",90,NA,NA,NA
179,"tooth",91,NA,NA,NA
180,"trichome",231,NA,NA,NA
181,"tusk",124,NA,NA,NA
182,"twig",233,NA,NA,NA
183,"ulna",125,NA,NA,NA
184,"ulna; proximal",125,NA,14,NA
185,"ulna; right; proximal",125,2,14,NA
186,"umbone",234,NA,NA,NA
187,"vertebra",127,NA,NA,NA
188,"vertebra, caudal",130,NA,NA,NA
189,"vertebra, cervical",131,NA,NA,NA
190,"vertebra, cervical; juvenile",131,NA,NA,4
191,"vertebra; dorsal",127,NA,5,NA
192,"vertebra; dorsal; juvenile",127,NA,5,4
193,"vertebra, lumbar",132,NA,NA,NA
194,"volume",235,NA,NA,NA
195,"volume examined",236,NA,NA,NA
196,"xiphiplastron",237,NA,NA,NA
197,"zygospore",238,NA,NA,NA
198,"femur; right; distal; juvenile",26,2,4,4
199,"megastrobilus",245,NA,NA,NA
200,"metacarpal, third",265,NA,NA,NA
201,"tooth, third molar; lower",120,3,NA,NA
202,"tooth, second molar; upper left",115,7,NA,NA
203,"calcaneum; right; complete",15,2,3,NA
204,"femur; left; proximal; proximal partially fused",26,1,14,7
205,"femur; right; distal",26,2,4,NA
206,"humerus; left; distal; shaft",35,1,15,NA
207,"humerus; right",35,2,NA,NA
208,"tibia; left; distal; shaft",89,1,15,NA
209,"tibia; right; complete",89,2,3,NA
210,"ulna; left; proximal; shaft",125,1,15,NA
211,"ulna; right; complete",125,2,3,NA
212,"metacarpal, first;complete",267,NA,3,NA
213,"phalanx, proximal (first); complete",66,NA,3,NA
214,"metacarpal; left",53,1,NA,NA
215,"cranium; posterior",268,NA,13,NA
216,"mandible; right",46,2,NA,NA
217,"mandibular ramus, teeth; left; anterior",49,1,1,NA
218,"phalanx, proximal (first)",66,NA,NA,NA
219,"phalanx, intermediate (second)",67,NA,NA,NA
220,"navicular-cuboid, cuneiform",269,NA,NA,NA
222,"metapodial; condyle, distal",54,NA,25,NA
224,"tooth, molar",109,NA,NA,NA
225,"fibula",27,NA,NA,NA
226,"mandibular ramus, teeth",49,NA,NA,NA
227,"maxilla, teeth",52,NA,NA,NA
228,"patella",272,NA,NA,NA
229,"vertebra, axis",129,NA,NA,NA
230,"vertebra, sacrum",133,NA,NA,NA
231,"vertebra, thoracic",134,NA,NA,NA
232,"tibia; left; medial malleolus",89,1,27,NA
233,"vertebra, lumbar; spinous process",132,NA,28,NA
234,"vertebra, thoracic; spinous process",134,NA,28,NA
235,"sacrum; medial crest",279,NA,30,NA
236,"humerus; major (lateral) tuberosity",35,NA,31,NA
237,"coracoid; left",258,1,NA,NA
238,"tibia; medial malleolus",89,NA,27,NA
239,"tooth, caniform; upper",259,4,NA,NA
240,"stump",280,NA,NA,NA
241,"needle",246,NA,NA,NA
242,"frustule",281,NA,NA,NA
243,"colony",250,NA,NA,NA
244,"wood",282,NA,NA,NA
245,"phalanx, proximal (first); proximal",66,NA,14,NA
246,"ulna; right",125,2,NA,NA
247,"femur; left",26,1,NA,NA
248,"patella; right",272,2,NA,NA
249,"pedal ungual, pes, digit 2",283,NA,NA,NA
250,"pedal ungual, pes, digit 4",284,NA,NA,NA
251,"rib, posterior; right",285,2,NA,NA
252,"tibia; right",89,2,NA,NA
253,"vertebra, lumbar 1",288,NA,NA,NA
254,"vertebra, thoracic 17",286,NA,NA,NA
255,"vertebra, thoracic 18",287,NA,NA,NA
256,"vertebra, thoracic 1",289,NA,NA,NA
257,"field",141,NA,NA,NA
258,"valve",137,NA,NA,NA
259,"lab",142,NA,NA,NA
260,"leaf",290,NA,NA,NA
261,"elytron; right",239,2,NA,NA
262,"head",240,NA,NA,NA
263,"pronotum",294,NA,NA,NA
264,"elytron; left",239,1,NA,NA
265,"field air",140,NA,NA,NA
266,"sediment/water",139,NA,NA,NA
267,"seed wing",297,NA,NA,NA
268,"humerus; left",35,1,NA,NA
269,"bract",306,NA,NA,NA
270,"bud",303,NA,NA,NA
271,"bud scale",256,NA,NA,NA
272,"fruit",305,NA,NA,NA
273,"megastrobilus bract",301,NA,NA,NA
274,"megastrobilus scale",302,NA,NA,NA
275,"microsporangium",307,NA,NA,NA
276,"microstrobilus",300,NA,NA,NA
277,"needle; base",246,NA,32,NA
278,"needle; shaft",246,NA,15,NA
279,"needle; tip",246,NA,33,NA
280,"samara",304,NA,NA,NA
281,"shoot, no needles",308,NA,NA,NA
282,"shoot, with needles",309,NA,NA,NA
283,"oospore",315,NA,NA,NA
284,"elytron",239,NA,NA,NA
285,"<50 µm",317,NA,NA,NA
286,"hemelytra",295,NA,NA,NA
287,"puparium",241,NA,NA,NA
288,"wing",243,NA,NA,NA
289,"ephippium",318,NA,NA,NA
290,"unknown",319,NA,NA,NA
291,"unspecified",320,NA,NA,NA
292,"bone/tooth; adult",14,NA,NA,10
293,"bone/tooth; infant",14,NA,NA,9
294,"bone/tooth; infant/juvenile",14,NA,NA,11
295,"bone/tooth; juvenile",14,NA,NA,4
296,"cranium; adult",268,NA,NA,10
297,"cranium; infant",268,NA,NA,9
298,"tooth, deciduous molar",323,NA,NA,NA
299,"calcaneum; left",15,1,NA,NA
300,"cuboid; left",20,1,NA,NA
301,"cuneiform",21,NA,NA,NA
302,"ectomesocuneiform; left",322,1,NA,NA
303,"entocuneiform; left",321,1,NA,NA
304,"fibula; left; distal",27,1,4,NA
305,"humerus; distal",35,NA,4,NA
306,"lunate",44,NA,NA,NA
307,"magnum",45,NA,NA,NA
308,"metacarpal",53,NA,NA,NA
309,"metacarpal; lateral",53,NA,8,NA
310,"navicular; left",58,1,NA,NA
311,"phalanx, distal (third)",68,NA,NA,NA
312,"pisiform",69,NA,NA,NA
313,"scaphoid",81,NA,NA,NA
314,"trapezoid",123,NA,NA,NA
315,"femur; left; distal",26,1,4,NA
316,"fibula; left",27,1,NA,NA
317,"lunate; left",44,1,NA,NA
318,"lunate; right",44,2,NA,NA
319,"magnum; left",45,1,NA,NA
320,"magnum; right",45,2,NA,NA
321,"mandibular ramus, teeth; left",49,1,NA,NA
322,"mandibular ramus, teeth; right",49,2,NA,NA
323,"metacarpal; fragment",53,NA,7,NA
324,"metapodial; distal",54,NA,4,NA
325,"patella; left",272,1,NA,NA
327,"radius; distal",77,NA,4,NA
328,"scaphoid; left",81,1,NA,NA
329,"scaphoid; right",81,2,NA,NA
330,"skull, teeth",86,NA,NA,NA
331,"sternebra",325,NA,NA,NA
332,"tibia; left",89,1,NA,NA
333,"unciform; left",126,1,NA,NA
334,"unciform; right",126,2,NA,NA
335,"femur; right",26,2,NA,NA
336,"radius; right",77,2,NA,NA
337,"tooth, third molar; lower; fragment",120,3,7,NA
338,"tooth, third molar; upper",120,4,NA,NA
339,"femur; shaft",26,NA,15,NA
340,"humerus; shaft; juvenile",35,NA,15,4
341,"metatarsal; adult",55,NA,NA,10
342,"tibia; distal",89,NA,4,NA
343,"cranium; complete",268,NA,3,NA
344,"femur; right; complete",26,2,3,NA
345,"fibula; right; complete",27,2,3,NA
346,"humerus; right; complete",35,2,3,NA
347,"mandible; complete",46,NA,3,NA
348,"metatarsal",55,NA,NA,NA
349,"phalanx",324,NA,NA,NA
350,"sesamoid",83,NA,NA,NA
351,"vertebra, cervical; complete",131,NA,3,NA
352,"vertebra, lumbar; complete",132,NA,3,NA
353,"vertebra, sacrum; complete",133,NA,3,NA
354,"vertebra, thoracic; complete",134,NA,3,NA
355,"sternite",296,NA,NA,NA
356,"thorax",242,NA,NA,NA
357,"clypeus",341,NA,NA,NA
358,"frontoclypeal apotome",342,NA,NA,NA
359,"tergite",343,NA,NA,NA
360,"bud scale/needle",313,NA,NA,NA
361,"bract/fruit",310,NA,NA,NA
362,"exospore",346,NA,NA,NA
363,"fragment",347,NA,7,NA
364,"area",348,NA,NA,NA
365,">10 µm",350,NA,NA,NA
366,"achene",251,NA,NA,NA
367,"acorn",252,NA,NA,NA
368,"carpel",339,NA,NA,NA
369,"endocarp",344,NA,NA,NA
370,"floret",329,NA,NA,NA
371,"flower",345,NA,NA,NA
372,"leaf/hooks",332,NA,NA,NA
373,"leaf/leaf margin",340,NA,NA,NA
374,"seed/nutshell",349,NA,NA,NA
375,"spine",244,NA,NA,NA
376,"stem",255,NA,NA,NA
377,"phalanx, distal (third); complete",68,NA,3,NA
378,"bone; fragment",13,NA,7,NA
379,"calcaneum; left; posterior",15,1,13,NA
380,"mandibular ramus, teeth; left; posterior",49,1,13,NA
381,"mandibular ramus, teeth; lower left",49,5,NA,NA
382,"maxilla, teeth; left",52,1,NA,NA
383,"rib; fragment",78,NA,7,NA
384,"unciform",126,NA,NA,NA
385,"scale",351,NA,NA,NA
386,"sphenotic; right",352,2,NA,NA
387,"sternum",353,NA,NA,NA
388,"125-250 µm",354,NA,NA,NA
389,">250 µm",355,NA,NA,NA
390,"frontoclypeus",356,NA,NA,NA
391,"needle, semicircular",357,NA,NA,NA
392,"seed, trigonous",359,NA,NA,NA
393,"seed coat",360,NA,NA,NA
394,">8 µm",361,NA,NA,NA
395,"exoskeleton",364,NA,NA,NA
396,"larval head capsule",365,NA,NA,NA
397,"puparium fragment",366,NA,NA,NA
398,"scutellum",367,NA,NA,NA
399,"sternites",368,NA,NA,NA
400,"vertebra, thoracic; first; complete",375,NA,3,NA
401,"vertebra, thoracic; first",375,NA,NA,NA
402,"leaf/stem",373,NA,NA,NA
403,"oogonia",372,NA,NA,NA
404,"statoblast",374,NA,NA,NA
405,"astragalus",7,NA,NA,NA
406,"cubonavicular",327,NA,NA,NA
407,"frontal; left",28,1,NA,NA
408,"frontal; right",28,2,NA,NA
409,"mandible; right; complete",46,2,3,NA
410,"maxilla; left",50,1,NA,NA
411,"maxilla; right",50,2,NA,NA
412,"metacarpal; proximal",53,NA,14,NA
413,"metatarsal; right",55,2,NA,NA
414,"palate, teeth",63,NA,NA,NA
415,"parietal; left",64,1,NA,NA
416,"parietal; right",64,2,NA,NA
417,"petrosal",326,NA,NA,NA
418,"tibia-fibula; distal",90,NA,4,NA
419,"fragments",377,NA,NA,NA
420,"larval mandibles",376,NA,NA,NA
421,"leg",378,NA,NA,NA
422,"humerus; right; shaft",35,2,15,NA
423,"phalanx; right",324,2,NA,NA
424,"tarsometatarsus; left",379,1,NA,NA
425,"tarsometatarsus; left; distal",379,1,4,NA
426,"tarsometatarsus; right; distal",379,2,4,NA
427,"tibiotarsus; left; distal",380,1,4,NA
428,"tibiotarsus; right; distal",380,2,4,NA
429,"tibiotarsus; right; proximal",380,2,14,NA
430,"ulna; left",125,1,NA,NA
431,"innominate; right",39,2,NA,NA
432,"radius; left",77,1,NA,NA
433,"sacrum",279,NA,NA,NA
434,"tooth, fourth deciduous premolar; right",104,2,NA,NA
435,"tooth, second molar; left; lower",115,3,NA,NA
436,"tooth, third deciduous premolar; left",118,1,NA,NA
437,"tusk; left",124,1,NA,NA
438,"navicular-cuboid, cuneiform; left",269,1,NA,NA
439,"tooth; first molariform",381,NA,NA,NA
440,"tooth; molariform",382,NA,NA,NA
441,"tooth, second molar; lower right",115,6,NA,NA
442,"tooth, first molar; lower",102,3,NA,NA
443,"maxilla, teeth; right",52,2,NA,NA
444,"thyrohyoid; posterior",299,NA,13,NA
445,"<125 µm",383,NA,NA,NA
446,"<100 µm",384,NA,NA,NA
447,"metasternum",385,NA,NA,NA
448,"tooth, first molar; left",102,1,NA,NA
449,"tooth, first molar; right",102,2,NA,NA
450,"valve; left",137,1,NA,NA
451,"wood, diffuse porous",386,NA,NA,NA
452,"wood, ring porous",387,NA,NA,NA
453,"capsule",371,NA,NA,NA
454,"involucre",390,NA,NA,NA
455,"nutlet",335,NA,NA,NA
456,"pod",369,NA,NA,NA
457,"cranium",268,NA,NA,NA
458,"metapodial",54,NA,NA,NA
459,"radius-ulna",389,NA,NA,NA
460,"mesonotum",391,NA,NA,NA
461,"metanotum",392,NA,NA,NA
462,"parietal",64,NA,NA,NA
463,"tissue",393,NA,NA,NA
464,"spikelet",394,NA,NA,NA
465,"perianth",395,NA,NA,NA
466,"mesocarp",396,NA,NA,NA
467,"rachis",397,NA,NA,NA
468,"female ovipositor/male genitalia",405,NA,NA,NA
469,"aedeagus",293,NA,NA,NA
470,"nymph",406,NA,NA,NA
471,"ovipositor",407,NA,NA,NA
472,"fruit scale",408,NA,NA,NA
474,"30-100 µm",409,NA,NA,NA
475,"mandibular ramus, teeth; left; fragment",49,1,7,NA
476,"mandibular ramus, teeth; right; anterior",49,2,1,NA
477,"mandibular ramus, teeth; right; complete",49,2,3,NA
478,"metacarpal, first",267,NA,NA,NA
479,"radius; left; complete",77,1,3,NA
480,"radius; right; distal",77,2,4,NA
481,"abdominal segment",363,NA,NA,NA
482,"tibia; fused",89,NA,NA,3
483,"tibia; infant",89,NA,NA,9
484,"tibia; juvenile",89,NA,NA,4
485,"tooth, first molar; upper",102,4,NA,NA
486,"basipterygium",413,NA,NA,NA
487,"caudal bony plate",414,NA,NA,NA
488,"cleithrum",415,NA,NA,NA
489,"coracoid",258,NA,NA,NA
490,"epihyal",416,NA,NA,NA
491,"epiotic",417,NA,NA,NA
492,"head-angular",418,NA,NA,NA
493,"hyomandibular",37,NA,NA,NA
494,"hypohyal 1",419,NA,NA,NA
495,"interopercle",420,NA,NA,NA
496,"lingual plate",421,NA,NA,NA
497,"maxilla",50,NA,NA,NA
498,"mesocoracoid",422,NA,NA,NA
499,"mesopterygoid",423,NA,NA,NA
500,"metapterygoid",424,NA,NA,NA
501,"opercle",425,NA,NA,NA
502,"parasphenoid",426,NA,NA,NA
503,"post-cleithrum",427,NA,NA,NA
504,"posttemporal",428,NA,NA,NA
505,"premaxilla",429,NA,NA,NA
506,"preopercle",430,NA,NA,NA
507,"prootic",431,NA,NA,NA
508,"quadrate",432,NA,NA,NA
509,"sphenotic",352,NA,NA,NA
510,"subopercle",433,NA,NA,NA
511,"supracleithrum",434,NA,NA,NA
512,"supraoccipital",435,NA,NA,NA
513,"urohyal",436,NA,NA,NA
514,"vomer",135,NA,NA,NA
515,"antorbital",437,NA,NA,NA
516,"articular",438,NA,NA,NA
517,"branchiostegal",439,NA,NA,NA
518,"fin; right; pectoral",440,2,34,NA
519,"frontal",28,NA,NA,NA
520,"infraorbital; fifth",441,NA,35,NA
521,"infraorbital; fourth",441,NA,36,NA
522,"infraorbital; second",441,NA,37,NA
523,"infraorbital; third",441,NA,38,NA
524,"lachrymal",442,NA,NA,NA
525,"maxillary",443,NA,NA,NA
526,"symplectic",444,NA,NA,NA
527,"metacarpal; fifth",53,NA,35,NA
528,"metacarpal; fourth",53,NA,36,NA
529,"metacarpal; second",53,NA,37,NA
530,"metacarpal; third",53,NA,38,NA
531,"metatarsal; fifth",55,NA,35,NA
532,"metatarsal; fourth",55,NA,36,NA
533,"metatarsal; second",55,NA,37,NA
534,"metatarsal; third",55,NA,38,NA
535,"mandible; fragment",46,NA,7,NA
536,"rib; left",78,1,NA,NA
537,"rib; right",78,2,NA,NA
538,"stylohyoid; right",298,2,NA,NA
539,"thyrohyoid; right",299,2,NA,NA
540,"tooth; fragment",91,NA,7,NA
541,"nut",400,NA,NA,NA
542,"schizocarp",399,NA,NA,NA
543,"sheath",398,NA,NA,NA
544,"silique",316,NA,NA,NA
545,"thorn",446,NA,NA,NA
546,">20 µm",445,NA,NA,NA
547,"leaflet",447,NA,NA,NA
548,"phyllary",448,NA,NA,NA
550,"catkin scale",452,NA,NA,NA
551,"shoot",451,NA,NA,NA
552,"stamen",450,NA,NA,NA
553,"stem, leaf",453,NA,NA,NA
554,"megasporangium",455,NA,NA,NA
555,"bone/antler",457,NA,NA,NA
556,"bark",253,NA,NA,NA
557,"catkin bract, pistillate",458,NA,NA,NA
558,"mass",459,NA,NA,NA
559,"sclereid cell, star-shaped",460,NA,NA,NA
560,"catkin, pistillate",462,NA,NA,NA
561,"mericarp",464,NA,NA,NA
562,"egg",466,NA,NA,NA
563,"mandible/claw",465,NA,NA,NA
564,"aboveground parts",467,NA,NA,NA
565,"oocyte",468,NA,NA,NA
566,"trichoblast",469,NA,NA,NA
567,">180 µm",470,NA,NA,NA
568,"80-125 µm",473,NA,NA,NA
569,"<80 µm",472,NA,NA,NA
570,"phytolith",471,NA,NA,NA
571,"pupa (large)",475,NA,NA,NA
572,"pupa (small)",476,NA,NA,NA
573,"flower bud",477,NA,NA,NA
574,"cyst (reticulate)",291,NA,NA,NA
575,"hystrichosphere cyst",292,NA,NA,NA
576,"epidermis",483,NA,NA,NA
577,"fruit/seed",403,NA,NA,NA
578,"vegetative",482,NA,NA,NA
579,"mummy",481,NA,NA,NA
580,"puparia",358,NA,NA,NA
581,"carpometacarpus",484,NA,NA,NA
582,"complete skeleton",485,NA,NA,NA
583,"furculum",486,NA,NA,NA
584,"longbone",487,NA,NA,NA
585,"podial",488,NA,NA,NA
586,"synsacrum",489,NA,NA,NA
587,"tarsometatarsus",379,NA,NA,NA
588,"tibiotarsus",380,NA,NA,NA
589,"calcaneum",15,NA,NA,NA
590,"areole",490,NA,NA,NA
591,"bur",491,NA,NA,NA
592,"nutshell",336,NA,NA,NA
593,"cocoon",492,NA,NA,NA
594,"awn",493,NA,NA,NA
595,"navicular-cuboid",271,NA,NA,NA
596,"radio-cubitus",497,NA,NA,NA
597,"sepal",498,NA,NA,NA
598,"metapodial, vestigial",499,NA,NA,NA
599,"occipital condyle",60,NA,NA,NA
600,"xylem",502,NA,NA,NA
601,"beak",510,NA,NA,NA
602,"bract/pappus",512,NA,NA,NA
603,"bud/bract",513,NA,NA,NA
604,"caryopsis",514,NA,NA,NA
605,"flower/leaf",515,NA,NA,NA
606,"gall",516,NA,NA,NA
607,"megastrobilus/seed",511,NA,NA,NA
608,"seed/pappus",517,NA,NA,NA
609,"leaf hooks",523,NA,NA,NA
610,"petiole",521,NA,NA,NA
611,"hook",330,NA,NA,NA
612,"perine",524,NA,NA,NA
613,"aril",525,NA,NA,NA
614,"berry",526,NA,NA,NA
615,"cleistogene",527,NA,NA,NA
616,"culm",528,NA,NA,NA
617,"inflorescence",529,NA,NA,NA
618,"pedicel",530,NA,NA,NA
619,"ascospore",531,NA,NA,NA
620,"fruit hooks",532,NA,NA,NA
621,"leaf tip",533,NA,NA,NA
622,"lorica",534,NA,NA,NA
623,"zygospore/aplanospore",535,NA,NA,NA
624,"inner lining",536,NA,NA,NA
625,"body exoskeleton",538,NA,NA,NA
626,"head capsule",362,NA,NA,NA
627,"wet mass",537,NA,NA,NA
628,"rhizome/root",543,NA,NA,NA
629,"gametophore",544,NA,NA,NA
630,"imago",545,NA,NA,NA
631,"sporocarp",546,NA,NA,NA
632,"seed epidermis",558,NA,NA,NA
633,"labium",559,NA,NA,NA
634,"ovum",560,NA,NA,NA
635,"idioblast",547,NA,NA,NA
636,"cell",552,NA,NA,NA
637,">25 µm",540,NA,NA,NA
638,"sporangium",562,NA,NA,NA
639,"total",555,NA,NA,NA
640,"cell cluster",567,NA,NA,NA
641,"conidium",564,NA,NA,NA
642,"conidium/chlamydospore",565,NA,NA,NA
643,"fruit body/ascospore",566,NA,NA,NA
644,"postabdomen, female",568,NA,NA,NA
645,"sclereid cell",570,NA,NA,NA
646,"fruit body",571,NA,NA,NA
647,"microsclerotium",572,NA,NA,NA
648,"mycorrhizal root",573,NA,NA,NA
649,"heptacosane",574,NA,NA,NA
650,"nonacosane",575,NA,NA,NA
651,"tricosane",576,NA,NA,NA
652,"seed/seed wing",522,NA,NA,NA
653,"coccon",577,NA,NA,NA
654,"peridinoid cyst",578,NA,NA,NA
655,"filament/cell",553,NA,NA,NA
656,"arolia",584,NA,NA,NA
657,"lacinia",585,NA,NA,NA
658,"carapace",509,NA,NA,NA
659,"m/z = 1018",586,NA,NA,NA
660,"m/z = 1020",587,NA,NA,NA
661,"m/z = 1022",588,NA,NA,NA
662,"m/z = 1032",589,NA,NA,NA
663,"m/z = 1034",590,NA,NA,NA
664,"m/z = 1036",591,NA,NA,NA
665,"m/z = 1046",592,NA,NA,NA
666,"m/z = 1048",593,NA,NA,NA
667,"m/z = 1050",594,NA,NA,NA
668,"m/z = 1292",595,NA,NA,NA
669,"m/z = 1302",596,NA,NA,NA
670,"number",598,NA,NA,NA
671,"microfragment",556,NA,NA,NA
672,"non-pollen palynomorph",549,NA,NA,NA
673,">150 µm",600,NA,NA,NA
674,"sclerotium",601,NA,NA,NA
675,"mounted volume",599,NA,NA,NA
676,">500 µm",612,NA,NA,NA
677,"feather",613,NA,NA,NA
678,"blood residue",614,NA,NA,NA
679,"960°C",616,NA,NA,NA
680,"LOI estimated",615,NA,NA,NA
681,"particle",561,NA,NA,NA
682,"entire",494,NA,NA,NA
683,"needle; fragment",246,NA,7,NA
684,"molybdenum anode tube",619,NA,NA,NA
685,"bulk sediment",620,NA,NA,NA
686,"tooth/tusk",625,NA,NA,NA
689,"skeleton",454,NA,NA,NA
690,"log",628,NA,NA,NA
691,"spore mass",629,NA,NA,NA
692,"egg/remains",633,NA,NA,NA
693,">125 µm, grass",634,NA,NA,NA
694,"trace fossil",635,NA,NA,NA
