"CHRONLGYID","NEO_UNITID","AGETYPEID","CONTACTID","IS_DEFAULT","CHRONNAME","PREPDATE","AGEMODEL","AGEYOUNG","AGEOLD","CHRONNOTE","UNITID"
19,27,5,430,"true","NAPD 1","23/01/1997","LERP",2250,9970,"Chron uses two C14 dates.",NA
21,29,5,44,"false","NAPD 1","22/04/1994","LERP",-10,480,"Chron uses surface date (-15 BP) and the Ambrosia-rise (100 BP).",NA
22,30,5,430,"false","NAPD 1","10/01/1996","LERP",3710,11290,"Dates inferred from pollen-zone boundaries of Reidel Lake (see Digerfeldt 1992).",NA
23,31,5,973,"true","GPD 1","26/11/2003","LERP",2380,26830,"some radiocarbon dates excluded",NA
24,32,5,967,"true","LAPD 1","22/08/1996","LERP",0,9160,"",NA
25,33,5,973,"true","GPD 1","26/11/2003","LERP",2940,5490,"",NA
26,68,5,973,"true","GPD 1","26/11/2003","LERP",5470,21070,"",NA
27,69,5,973,"true","GPD 1","08/06/1999","LERP",2160,2650,"",NA
28,70,5,971,"true","PALE 1","08/06/1999","single dated level",3520,3540,"",NA
30,202,5,430,"true","NAPD 1","16/01/1996","LERP",10050,10750,"Adjacent radiocarbon dates L-794E and Y-1362 were averaged.",NA
31,203,5,NA,"true","COHMAP chron 1","","LERP",0,24000,"10 C-14 dates with -10 100 yr bp date at 37 cm not included. Ragweed rise at 37cm. 9m of sediments with post-glacial in upper 1.5m. Nonlinear sedimentation. H.Delcourt (1979, Ecol. Monogr.). Age bounds for application of the model: top = 0; bottom = 24000",NA
32,204,5,44,"false","NAPD 1","14/04/1994","LERP (+ extrapolation)",8960,11340,"Chron uses 2 dates: (1) an average date of 10,900±200 and 11,500±200 (11,200). (2) Pollen-stratigraphic date of 10,000 BP for Picea decline. Date L-272A+B (11,300±200) on bulk sediment (gyttja) is rejected as too old.",NA
33,205,5,430,"false","NAPD 1","01/02/1996","LERP",-40,150,"Chron uses developed from 12 PB210 dates. This chronology is obsolete, as it is based on an incomplete set of the lead-210 dates, which was originally entered with the pollen data. The complete set was entered with the diatom data. [E.C. Grimm, 18 Mar 2020]",NA
34,206,5,44,"true","NAPD 1","27/08/1997","LERP",0,11310,"Chron uses top (0 B) plus 4 radiocarbon dates. Date 10460±390 (Beta-54932) not used (see Szeicz et al. 1995).",NA
35,207,5,44,"true","Brubaker et al. 1983","22/01/1994","2nd deg. polynom. (least squares)",0,14130,"Fit a 2nd order polynomial (least squares) following Brubaker et al. 1983, but with surface-sediment age held constant. Coefs: 0.0, 55.0175, 0.082454. Chron uses 3 radiocarbon dates plus sediment surface.",NA
36,207,5,44,"false","NAPD 1","22/01/1994","LERP",NA,NA,"Chron uses 3 radiocarbon dates plus sediment surface.",NA
37,208,5,61,"false","BDPMQ 1","","LERP",NA,NA,"",NA
38,208,5,NA,"false","COHMAP chron 2","","LERP",NA,NA,"Ragweed and grass rise at 0 cm. Ragweed up a little at 50 cm. Pollen samples in 50cm. intervals to 350cm. Tsuga declines 350 to 300 cm and 400 to 375 cm. 7 C-14 dates. Delete date reversal. Age bounds for application of the model: top = 0; bottom = 11000.",NA
39,208,5,972,"true","NAPD 1","02/12/1993","LERP (+ extrapolation)",0,10560,"Basal date of 11000±500 based on Dyke and Prest (1987) map of deglaciation.",NA
40,209,5,148,"true","Markgraf 1986","01/01/1995","LERP",0,13020,"Chron uses surface plus 3 radiocarbon dates. Chron is probably unreliable because low-organic matter bulk dates from the Great Plains are almost always too old because of organic matter in the K/T bedrock.",NA
42,211,5,967,"true","LAPD 1","04/12/1996","LERP",6180,7460,"Chron uses 3 radiocarbon dates.",NA
43,212,5,973,"true","GPD 1","26/11/2003","LERP",0,3120,"no extrapolation",NA
44,212,5,306,"false","PALE preferred","05/08/1998","single point - single date",NA,NA,"",NA
45,213,5,44,"true","NAPD 1","25/06/1998","LERP",15970,24890,"Chron uses 2 radiocarbon dates bracketing the section.",NA
47,216,5,148,"true","LAPD 1","01/01/1997","LERP",1280,4980,"",NA
48,217,5,61,"false","BDPMQ 1","14/07/1983","LERP",NA,NA,"",NA
49,217,5,NA,"false","COHMAP chron 1","","LERP",NA,NA,"4 C-14 dates on a 900 cm core. No ragweed rise. Tsuga decline from 525 cm to 400 cm (marked decline between 500 to 475 cm). Age bounds for application of the model: top = 100; bottom = 10000.",NA
50,217,5,972,"true","NAPD 1","02/12/1993","LERP (+ extrapolation)",0,10250,"",NA
52,219,5,430,"true","NAPD 1","28/03/1996","LERP",-20,9900,"Chron uses top and three C14 dates.",NA
53,220,5,971,"true","Default","06/05/1999","single dated level",8160,8180,"",NA
54,221,5,44,"false","NAPD 1","25/04/1994","LERP",-10,220,"Chron uses surface date (-15 BP) and the Ambrosia-rise (70 BP).",NA
55,222,5,936,"true","NAPD 1 (radiocarbon years)","12/10/2004","LERP",-30,9590,"Chron uses top plus three radiocarbon dates.",NA
56,222,9,936,"true","NAPD 1","12/10/2004","LERP",-30,10730,"Chron uses top plus three calibrated radiocarbon dates.",NA
58,224,5,969,"true","EPD","01/03/1995","Power interpolation",9170,13030,"",NA
60,226,5,430,"false","Davis et al. 1985","17/07/1996","least squares regression",0,10780,"Chron uses six C14 dates at unadjusted depths. Corrected so that surface = 0 years BP. Chron approximates that published by Davis et al, 1985.",NA
61,226,5,430,"true","NAPD 1","17/07/1996","1st ord. polynom. fixed origin at zero",0,9780,"Chron uses six C14 dates (top five interpolated from adjacent cores).",NA
62,226,5,430,"false","NAPD 2","17/07/1996","LERP",0,10240,"Chron uses top and one C14 date from this core.",NA
63,226,5,44,"false","NAPD 3","17/07/1996","LERP",NA,NA,"Chron uses top and 5 C14 dates (A-3691 dropped to avoid reversal).",NA
64,228,5,971,"false","Default","14/04/1999","single dated level",NA,NA,"",NA
65,228,5,973,"true","GPD 1","26/11/2003","LERP",3390,9440,"",NA
66,229,5,44,"true","NAPD 1","04/01/1994","LERP",-30,7650,"Cultural horizon based on Ambrosia-rise at 484 cm.",NA
67,231,5,44,"true","NAPD 1","25/03/1994","LERP",0,13010,"Chron uses 6 radiocarbon dates plus sediment surface (0 BP).",NA
68,232,5,44,"true","NAPD 1","12/05/1994","LERP",-20,10310,"Chron uses sediment-surface date (-20 BP), Ambrosia-rise (130 BP), Tsuga decline (4800 BP), and one radiocarbon date.",NA
69,233,5,430,"true","NAPD 1","28/03/1996","LERP",-30,10470,"Chron uses top, Ambrosia rise, and two C14 dates.",NA
70,234,4,NA,"false","COHMAP chron 1","","LERP",NA,NA,"Varved sediment lake, no depths given. Basal sample at 1605 and topmost sample at 15 varves before AD 1975.",NA
71,234,5,430,"true","NAPD 1","19/01/1996","LERP",-10,1690,"Varve calender years converted to C14 dates for 7 points in core, including TOP (using Table 1-A in Stuiver and Pearson 1986, Radiocarbon 28(2B):805.)",NA
72,234,4,40,"true","NAPD 2","","LERP",NA,NA,"Varve years.",NA
73,235,5,44,"false","NAPD 1","16/02/1993","2nd deg. polynom. (least squares)",-40,9500,"Fit a 2nd order polynomial (least squares) with age of core top held constant. Equation: Y = -35 + 17.4313*(X-905) + 0.00776532*(X-905)**2",NA
74,236,5,44,"true","NAPD 1","04/04/1995","LERP",-30,20140,"Chron uses top (-30 BP), ESH (100 BP), 4 tephras, 7 C14 dates, and 2 adjusted C14 dates. The 4 dates between 930cm and 1163cm indicate rapid sedimentation and mass wasting. The 2 older dates not used. The other 2 averaged and ±220 yrs added to put in orde",NA
75,237,5,NA,"true","COHMAP chron 1","","LERP",10000,15970,"Chron uses 3 C-14 dates from L. Shane. COHMAP age bounds for application of the model: top = 10000; bottom = 16000.",NA
76,238,5,44,"false","NAPD 1","15/04/1994","LERP",0,1990,"Chron uses surface date (-15 BP) and the Ambrosia-rise (70 BP).",NA
77,241,5,44,"true","NAPD 1","19/05/1994","LERP",0,2990,"Chron uses surface date (-24 BP) and one radiocarbon date.",NA
78,242,5,44,"true","NAPD 1","16/05/1994","LERP",3560,10000,"Chron uses surface (-40 BP), 2 radiocarbon dates, and time of proglacial lake formation (10000 BP) (see Gordon and McAndrews 1992).",NA
79,243,5,44,"true","NAPD 1","10/01/1995","LERP",-30,11070,"Chron uses one radiocarbon date near bottom of core plus the sed surface (-23 BP).",NA
80,244,5,130,"true","Davis 1990","","pollen concentration",16030,22010,"Ages calculated by the inversely proportional relationship between pollen concentration and sedimentation rate using the average sedimentation rate and pollen concentration from BECHAN2M.",NA
81,245,5,430,"true","NAPD 1","01/02/1996","LERP (+ extrapolation)",0,10420,"Chron based upon pollen statigraphic dates from adjacent Cedar Bog Pond (Cushing, 1963).",NA
82,246,5,430,"false","NAPD 1","04/05/1998","LERP",NA,NA,"Chron uses top, pollen stratigraphic date (onset of logging), two C14 dates, and 6 calibrated radiocarbon dates. See Petersen (1985, 1988).",NA
83,246,5,44,"true","NAPD 2","24/06/1998","LERP",0,5340,"Chron uses top, pollen stratigraphic date (onset of logging), and 8 radiocarbon dates.",NA
84,247,5,571,"true","Hope 1995","01/01/1995","LERP",10,12190,"The ages come from fitting a polynomial through the available dates and then picking ages for different depths.",18
85,247,5,571,"false","Indopac 1","01/01/1997","LERP",NA,NA,"",18
86,248,5,44,"true","NAPD 1","27/08/1997","LERP (+ extrapolation)",0,11450,"Chron uses surface (0 BP) plus 5 AMS radiocarbon dates.",NA
87,249,5,NA,"true","COHMAP chron 1","","LERP",0,13000,"Ragweed rise between 30 cm and 24 cm (set at 27 cm). Core begins at 10cm. Tsuga appears at 380 cm. Picea decline at 380 cm, peat from 350 cm. 6 C-14 dates. Peat to 350 cm or 10.1k date, gyttja to 375 cm or 10.9k date, gyttja and clay to 475 cm or 12.5k da",NA
88,251,5,971,"true","Continuous","13/04/1999","LERP",5060,5870,"continuous section??",NA
89,252,5,61,"false","BDPMQ 1","14/07/1983","LERP",NA,NA,"",NA
90,252,5,NA,"false","COHMAP chron 1","","LERP",NA,NA,"3 C-14 dates, 6630 from base of gyttja in 500 cm core. No ragweed rise. Age bounds for application of the model: top = 0; bottom = 6630.",NA
91,252,5,972,"true","NAPD 1","02/12/1993","LERP (+ extrapolation)",80,6520,"Basal date of 7700±500 based on Dyke and Prest (1987) map of deglaciation.",NA
92,253,5,118,"true","PALE preferred","19/12/1996","LERP",7000,13710,"model to be used only for 0-325 cm",NA
93,254,5,NA,"true","COHMAP chron 4","","LERP",0,12500,"Whitehead (1979) QR. 5 averaged dates for pairs at 137, 227, 583, 645, and 677 cm. Indiana date at 315 cm and OWU dates for 408 and 498 cm. OWU date at 318 cm was 2665--a reversal, and OWU dates at 408 and 498 fit with 4700 yr b.p. Tsuga decline. [T. Webb III]",NA
94,255,5,118,"true","PALE preferred","19/12/1996","LERP",470,1930,"",NA
95,261,5,44,"true","NAPD 1 (radiocarbon years)","18/01/2005","LERP",-50,9000,"Chron uses top and 3 pollen stratigraphic dates. Radiocarbon dates are considered to be too old (see Gajewski et al. 2000 for discussion).",NA
96,261,9,44,"true","NAPD 1","18/01/2005","LERP",-50,10200,"Chron uses top and 3 calibrated pollen stratigraphic dates. Radiocarbon dates are considered to be too old (see Gajewski et al. 2000 for discussion).",NA
97,262,5,44,"true","NAPD 1 (radiocarbon years)","18/01/2005","LERP",150,9000,"Chron uses top and 3 pollen stratigraphic dates. Radiocarbon dates are considered to be too old (see Gajewski et al. 2000 for discussion).",NA
98,262,9,44,"true","NAPD 1","18/01/2005","LERP",150,10200,"Chron uses top and 3 calibrated pollen stratigraphic dates. Radiocarbon dates are considered to be too old (see Gajewski et al. 2000 for discussion).",NA
99,263,5,44,"true","NAPD 1 (radiocarbon years)","18/01/2005","LERP",10,9000,"Chron uses top and 3 pollen stratigraphic dates. Radiocarbon dates are considered to be too old (see Gajewski et al. 2000 for discussion).",NA
100,263,9,44,"true","NAPD 1","18/01/2005","LERP",10,10200,"Chron uses top and 3 calibrated pollen stratigraphic dates. Radiocarbon dates are considered to be too old (see Gajewski et al. 2000 for discussion).",NA
101,265,5,44,"false","NAPD 1","15/04/1994","LERP",22160,27930,"Chron uses 6 radiocarbon dates. Three dates (Beta-2940, ISGS-1246, and Beta-3258) are rejected as contaminated (see Baker et al. 1989).",NA
102,266,5,44,"false","Almendinger 1992","20/02/1995","LERP",NA,NA,"Chron uses surface (-31 BP) plus 3 radiocarbon dates adjusted by 195 years to account for old carbon (see Almendinger 1992)",NA
103,266,5,44,"true","NAPD 1","20/02/1995","LERP",-30,5380,"Chron uses surface (-31 BP) plus 3 radiocarbon dates adjusted by 380 years based on radiocarbon date of 450 BP at the Ambrosia-rise (70 BP).",NA
104,268,5,NA,"true","COHMAP chron 2","","LERP",0,11000,"1 C-14 date and date for Tsuga decline added though Tsuga peak of only 4.5% Age bounds for application of the model: top = 0; bottom = 11000.",NA
105,269,5,430,"false","Jacobson and Grimm 1986","04/06/1996","LERP",-30,10100,"Chron uses top and 6 C14 dates adjusted by 740 years (Jacobson and Grimm 1986).",NA
106,269,5,430,"false","Jacobson 1979","04/06/1996","LERP",NA,NA,"Chron uses top and 6 C14 dates adjusted by 890 years (Jacobson 1979).",NA
107,270,5,44,"true","NAPD 1","24/02/1995","LERP (+ extrapolation)",100,10610,"Chron uses surface (-32 BP), 1 radiocarbon date, and date of 9600 on the Picea increase based on pollen stratigraphic correlation with Leading Tickles (J.B. Macpherson, pers. comm.).",NA
109,272,5,44,"false","Cridlebaugh 1984","15/04/1995","LERP",NA,NA,"Chron uses surface (-32 BP) and two radiocarbon dates. This chron favored by Cridlebaugh (1984) and Delcourt et al. (1986). Places Ambrosia-rise in Mississippian Cultural Period.",NA
110,272,5,44,"true","NAPD 1","15/04/1995","LERP",-30,2740,"Chron uses surface (-32 BP) and two radiocarbon dates adjusted by 300 yrs, placing the Ambrosia-rise at the time of European settlement (AD 1820).",NA
111,273,5,44,"false","NAPD 1","11/02/1994","LERP",-20,11750,"Chron uses surface, 1 radiocarbon date on wood, and 2 tephra dates. One radiocarbon date (11780±150) on marl rejected as too old.",NA
112,274,5,430,"true","NAPD 1","23/05/1996","LERP",-30,150,"Chron uses top and Ambrosia rise.",NA
113,275,5,NA,"true","COHMAP chron 2","","LERP",0,10000,"5 C-14 dates from a 250 cm core from a lake in the Tombigbee drainage. Contaminated dates at 233 cm (8700) and 247.5 cm (3980) were deleted. Age bounds for application of the model: top = 0; bottom = 10000.",NA
114,276,5,430,"false","NAPD 1","23/04/1997","LERP",9750,10860,"Chron uses 1 radiocarbon date and a date of 10000 BP for the spruce decline.",NA
115,277,5,306,"true","PALE preferred","07/08/1998","single date - single level",10270,10280,"",NA
116,278,5,44,"true","GPD 1","25/02/2004","each sample is individually dated.",22100,38600,"Chron uses 3 radiocarbon dates.",NA
117,279,5,571,"true","Hope 1997","09/05/1997","LERP",320,13340,"Ages selected and a polynomial curve fit to the dates. Subsequent interpolated dates used to create linear interpolated chron.",576
118,279,5,571,"false","Hope II 1997","09/05/1997","Second ord. polynom.",NA,NA,"",576
119,281,5,NA,"false","COHMAP chron 1","","LERP",0,10000,"A.Davis AAAG, top and sett.horiz. set by TW, 4 C-14 dates. Age bounds for application of the model: top = 0; bottom = 10000.",NA
120,288,5,422,"false","Behling 1","09/06/1993","LERP",-40,14200,"Used all authors dates. Dates two and five are guesses.",NA
121,289,5,44,"true","NAPD 1","27/05/1995","LERP",12720,23970,"Chron uses 1 radiocarbon date and a pollen stratigraphic date of 13,500±500 for the Pinus decline based on the dates at nearby Quicksand Pond.",NA
122,290,5,44,"false","NAPD 1","25/04/1994","LERP",-10,500,"Chron uses surface date (-15 BP) and the Ambrosia-rise (70 BP).",NA
123,292,5,NA,"false","COHMAP chron 3","","LERP",NA,NA,"4 C-14 dates, bottom date corrected by 1000 yr using C.T. Shay (1971) date for spruce decline. Ragweed rise at 40cm. Corrected basal date fits with Little Bass and Portage to the east. If no correction, Pinus at 45% at 11k. Age bounds for application of t",NA
124,292,5,430,"false","NAPD 1","25/06/1996","LERP",-20,10300,"Chron uses top, three C14 dates and Picea decline (10000 BP), C14 date at Picea decline considered to old compared to other sites in NW MN.",NA
125,293,5,971,"false","Default","14/04/1999","single dated levels",NA,NA,"Ki-1053 and TIG-54 are considered to be too young",NA
126,293,5,973,"true","GPD 1","26/11/2003","LERP",27300,40900,"",NA
127,294,5,430,"true","NAPD 1","28/03/1996","LERP",13130,13240,"Chron uses two C14 dates.",NA
128,296,5,936,"true","NAPD 1 (radiocarbon years)","26/08/2004","LERP",-30,11800,"C14 years",NA
129,296,9,936,"true","NAPD 1","26/08/2004","LERP",-30,13830,"cal years",NA
130,297,5,NA,"true","COHMAP chron 1","","LERP",0,6780,"5 C-14 dates. Core top at 1380 cm. 260 cm of silty gyttja. COHMAP age bounds for application of the model: top = 0; bottom = 6500.",NA
131,298,5,NA,"true","COHMAP chron 1","","LERP",0,16210,"4 C-14 dates. Core A. COHMAP age bounds for application of the model: top = 0; bottom = 16000.",NA
132,299,5,44,"false","NAPD 1","24/03/1994","LERP",-10,470,"Chron uses surface date (-15 BP), Ambrosia-rise (100 BP). and the Ulums/Ostrya rise (300 BP).",NA
133,300,5,61,"false","BDPMQ 1","14/07/1983","LERP",NA,NA,"",NA
134,300,5,972,"true","NAPD 1","10/01/1994","LERP (+ extrapolation)",430,9040,"",NA
135,301,5,NA,"true","COHMAP chron 4","","LERP",2000,6500,"1 C-14 date at top, 2 stratigraphic dates from Delorme for Picea rise (5.5k) and Alnus decline (6.2k). Age bounds for application of the model: top = 2000; bottom = 6500.",NA
136,302,5,NA,"true","COHMAP chron 3","","LERP",0,10500,"2 C-14 dates corrected by 1000 years to match Dufresne. Other dates deleted. Age bounds for application of the model: top = 0; bottom = 10500.",NA
137,303,5,NA,"false","COHMAP chron 1","","LERP",NA,NA,"C-14 dates at 170cm and 240cm averaged to create date at 205cm. Date at 9350cm taken biostratigraphically from site 4 core. Age bounds for application of the model: top = 0; bottom = 10500.",NA
138,303,5,430,"true","Overpeck 1985","25/02/1997","LERP",30,10490,"Chron uses top, Ambrosia rise, two C14 dates (WIS-1050 and WIS-1096), one averaged C14 date (WIS-1098 and WIS-1052), and one pollen stratigraphic date from a nearby dated core, see Overpeck 1985 p147.",NA
139,304,5,61,"false","BDPMQ 1","14/07/1983","LERP",NA,NA,"",NA
140,304,5,972,"true","NAPD 1","15/12/1993","LERP (+ extrapolation)",0,5960,"",NA
141,305,5,430,"true","NAPD 1","28/03/1996","LERP",NA,NA,"Chron uses top, Ambrosia rise, two C14 dates and 10500±500 years BP for estimated age of glacial Lake Algonquin clay. Site probably has major hiatuses and irregular sedimentation, thus chron unreliable.",NA
142,306,2,430,"false","NAPD 1","08/02/1996","LERP",-40,80,"This chronology uses an incomplete set of lead-210 dates that were uploaded with the pollen data. The complete set was uploaded with the diatom data. [E.C. Grimm, 18 Mar 2020]",NA
143,307,2,430,"true","NAPD 1","07/03/1996","LERP",-30,590,"Chron uses 12 PB210 dates from upper part of core.",NA
144,308,5,430,"true","NAPD 1","26/02/1996","3rd ord. polynom.",8160,11640,"Chron uses 1 C14 date, top and two pollen stratigraphic markers (coefs:-116436, 366.507, -0.358315, 0.00011804). C14 date SI-1362 considered to old and was not used.",NA
145,309,5,44,"false","Kneller and Peteet 1993","10/01/1996","LERP",0,17350,"Chron uses top (0 BP), 2 AMS radiocarbon dates, and 2 averaged AMS radiocarbon dates. See Kneller and Peteet (1993).",NA
146,309,5,44,"true","NAPD 1","10/01/1996","LERP",0,17350,"Same as Chron 1, but also uses 13010±95 AMS date.",NA
149,311,5,44,"false","Baker 1976","21/05/1993","LERP",NA,NA,"Based on 4 C-14 dates. An apparent hiatus exists between 487 and 500 cm, the break between peat and gyttja. Ages extrapolated to 487 and 500 from C-14 dates above and below. Bottom two dates by pollen correlation with Cub Creek Pond. Chron follows Baker (",NA
150,311,5,44,"true","NAPD 1","11/02/1994","LERP",0,11500,"Based on 4 C-14 dates. Bottom 2 dates adjusted by 2000 years based on correlation with other Yellowstone sites (see Whitlock 1993). Hiatus as in Chron 1.",NA
151,312,5,44,"true","NAPD 1","04/01/1994","LERP",0,8540,"Date of 50±50 at 1750 cm based on sand layer probably corresponding with initiation of Citrus groves. Date of 5800±300 at 1820 cm based on correlation of Pinus increase with Lake Tulane.",NA
154,314,5,430,"true","Shane 1989","26/02/1996","2nd ord. polynom.",8360,14500,"Chron uses 3 C14 dates and date of 14,500 for 300 years after deglaciation (see Shane 1989) coefs: 7327.0, 38.5245, -0.0516806.",NA
156,316,5,971,"true","Duvall 1997","08/01/1997","LERP",0,9380,"",NA
157,317,5,NA,"false","COHMAP chron 1","","LERP",NA,NA,"Chron uses 4 C14 dates. (top to bottom: WIS1360, WIS1361, WIS1362, WIS1363) Top date stratigraphic based on no ambrosia rise (0 to .2%) at 04cm. Age bounds for application of the model: top = 500; bottom = 8500.",NA
158,317,5,430,"true","NAPD 1","18/03/1996","LERP",1840,8840,"Chron uses 11 C14 dates and guess for top based on lack of a European cultural horizon.",NA
159,318,5,430,"false","NAPD 1","18/08/1997","LERP",-30,910,"Chron uses top and Ambrosia rise.",NA
160,319,5,61,"false","BDPMQ 1","12/04/1988","LERP",NA,NA,"",NA
161,319,5,NA,"false","COHMAP chron 2","","LERP",NA,NA,"Tsuga decline date inserted. Age bounds for application of the model: top = 0; bottom = 9000.",NA
162,319,5,972,"true","NAPD 1","03/12/1993","LERP (+ extrapolation)",170,9100,"",NA
163,320,5,971,"false","Default","06/05/1999","single dated levels",NA,NA,"",NA
164,320,5,973,"true","GPD 1","26/11/2003","LERP",5030,15380,"",NA
165,321,5,NA,"false","COHMAP chron 1","","LERP",650,12000,"13 C14 dates. No ragweed rise. Top of core at 134cm below water surface. Top date an estimate based on extrapolated age from sedimentation rate for 139.5 to 168cm. Age bounds for application of the model: top = 650; bottom = 12000.",NA
166,322,5,61,"false","BDPMQ 1","14/07/1983","LERP",NA,NA,"Chron uses top (0 BP) and three radiocarbon dates.",NA
167,322,5,44,"true","NAPD 1","14/03/1995","LERP (+ extrapolation)",80,10560,"Chron uses top (0 BP) and three radiocarbon dates. Ages are extrapolated below lowest date.",NA
168,323,5,967,"true","LAPD 1","22/08/1996","LERP",22670,36060,"",NA
169,324,5,44,"true","NAPD 1","08/11/1993","LERP",0,32000,"Because C14 dates document hiatus at sharp stratigraphc break at 475 cm, ages extrapolated to 475 cm from above and below.",NA
170,325,5,NA,"false","COHMAP chron 1","","quadratic regression",0,10000,"11 C-14 dates, Brubaker, 1975, QR.; ragweed rise between upper 2 samples. 8.7m of organic sediments in 1.2m of water depth. Depth of second sample from top is a guess by TW. Age bounds for application of the model: top = 0; bottom = 10000.",NA
171,326,5,430,"false","NAPD 1","09/02/1996","LERP",-40,180,"Chron uses 14 Pb210 dates for top 14 of 16 samples.",NA
172,327,5,44,"false","NAPD 1","24/03/1994","LERP",-10,340,"Chron uses surface date (-15 BP) and the Ambrosia-rise (100 BP).",NA
173,328,5,44,"true","GPD 1","14/11/2003","fit a straight line with the origin fixed",160,6870,"Coefficients: b0=0.0, b1=56.2766",NA
174,328,5,118,"false","PALE preferred","20/12/1996","linear regression",NA,NA,"",NA
175,329,5,971,"false","PALE 1","06/03/1998","LERP",0,10540,"Chron uses 11 radiocarbon ages, White River tephra (1250 BP), and surface (0 BP).",NA
176,330,5,61,"false","BDPMQ 1","14/07/1983","LERP",NA,NA,"",NA
177,330,5,972,"false","NAPD 1","15/12/1993","LERP (+ extrapolation)",2230,4870,"",NA
178,331,5,NA,"true","COHMAP chron 2","","LERP",0,1000,"Ragweed rise at 35cm. 19.5ha pond with 4m max. water depth in 4km2 catchment. Bottom date a guess by TW, if sed. rate half as fast before settlement. Age bounds for application of the model: top = 0; bottom = 1000.",NA
179,332,5,61,"false","BDPMQ 1","14/07/1983","LERP",NA,NA,"",NA
180,332,5,972,"true","NAPD 1","10/01/1994","LERP (+ extrapolation)",80,9590,"Basal date of 13000±500 based on Dyke and Prest (1987) map of deglaciation.",NA
181,333,5,430,"true","NAPD 1","17/01/1997","LERP",60,9570,"Chron uses top and six C14 dates.",NA
182,334,5,NA,"true","COHMAP chron 1","","LERP",0,6400,"5 C-14 dates. Linear sedimentation rate from 3.6k to present. H.F. Lamb 1982 Ph.D. thesis. COHMAP age bounds for application of the model: top = 0; bottom = 6000.",NA
185,336,5,44,"true","NAPD 1","21/05/1993","LERP",0,32050,"C-14 and tephra dates used for chron the same as Barnosky (1985, Fig.2, Table 1) except the C-14 dates of 21,100 (551-561 cm) and 21,040 (600-610) are averaged.",NA
186,337,5,430,"true","NAPD 1","01/03/1996","LERP",11690,14700,"Chron uses 4 C14 dates. C14 dates DIC #514, #439, #440, #441, #513, #244 rejected by author (see Shane 1976).",NA
187,338,5,61,"false","BDPMQ 1","14/07/1983","LERP",NA,NA,"",NA
188,338,5,NA,"false","COHMAP chron 1","","LERP",NA,NA,"Gyttja alone begins at 795cm. Ragweed and grass rise by 5cm, above 25cm. Tsuga appears by 650cm. Tsuga declines 325 to 300cm. 6 C-14 dates. Age bounds for application of the model: top = 0; bottom = 10000.",NA
189,338,5,972,"false","NAPD 1","03/12/1993","LERP (+ extrapolation)",130,9540,"",NA
190,339,5,430,"true","NAPD 1","05/12/1996","LERP",0,5600,"Chron uses top and two C14 dates (WIS-69 and WIS-70) from core 63-1 stratigraphically correlated to core 63-2. C14 dates are WIS-69 2520±90 yrs BP, and WIS-70 4190±100 yrs BP.",NA
191,340,5,44,"false","LAPD 1","23/07/1997","LERP",-40,2990,"Chron uses top plus 3 tephra dates. All the radiocarbon dates are rejected as too old. Chronology is tentative (see Byrne and Horn 1989).",NA
192,342,5,148,"false","LAPD 1","01/06/1995","LERP, 3rd deg least-squares polynom.",4370,14930,"Chron uses 9 C14 dates. Linear interpolation dates 1-3. Fit a 3rd deg. polynomial (least squares) to dates 3-9. Coefs: 13697.5, -17.2431, 0.0188328, -4.53442e-06.",NA
