Field Name,Unit,Example,Origin (Alias)
COSMIC_ERR,Gy/ka ,*0.02*,:ref:`arch_tl_DataCore` (atdc)
ALPH_I,Gy/ka ,*-9999.99*,:ref:`arch_tl_DataCore` (atdc)
ALPH_I_ERR,Gy/ka ,*-9999.99*,:ref:`arch_tl_DataCore` (atdc)
ALPH_I_MTD,,*ND*,:ref:`arch_tl_DataCore` (atdc)
BETA_I,Gy/ka ,*-9999.99*,:ref:`arch_tl_DataCore` (atdc)
BETA_I_ERR,Gy/ka ,*-9999.99*,:ref:`arch_tl_DataCore` (atdc)
BETA_I_MTD,,*ND*,:ref:`arch_tl_DataCore` (atdc)
DIFF_DOSE,,*Yes*,:ref:`arch_tl_DataCore` (atdc)
DOSERATE,Gy/ka ,*0.593*,:ref:`arch_tl_DataCore` (atdc)
DOSE_ERR,Gy/ka ,*0.021*,:ref:`arch_tl_DataCore` (atdc)
TL_AGE,ka,*0.9*,:ref:`arch_tl_DataCore` (atdc)
TL_RNDERR,ka,*-9999.99*,:ref:`arch_tl_DataCore` (atdc)
TL_ERR,ka,*0.19*,:ref:`arch_tl_DataCore` (atdc)
AGE_CI,,*1s*,:ref:`arch_tl_DataCore` (atdc)
FADCOR,,*ND*,:ref:`arch_tl_DataCore` (atdc)
G_VAL,%/10a ,*-9999.99*,:ref:`arch_tl_DataCore` (atdc)
G_VAL_ERR,%/10a ,*-9999.99*,:ref:`arch_tl_DataCore` (atdc)
AGE_COMMT,,*Age based on total bleach method*,:ref:`arch_tl_DataCore` (atdc)
