"ELEMTYPEID","ELEMENTYPE","DATASRCID"
373,"leaf/stem",10
374,"statoblast",10
375,"vertebra, thoracic, first",10
376,"larval mandibles",10
377,"fragments",10
378,"leg",10
379,"tarsometatarsus",10
380,"tibiotarsus",10
381,"tooth, first molariform",10
382,"tooth, molariform",10
383,"<125 µm",10
384,"<100 µm",10
385,"metasternum",10
386,"wood, diffuse porous",10
387,"wood, ring porous",10
388,"radius/ulna",10
389,"radius-ulna",10
390,"involucre",10
391,"mesonotum",10
392,"metanotum",10
393,"tissue",10
394,"spikelet",10
395,"perianth",10
396,"mesocarp",10
397,"rachis",10
398,"sheath",10
399,"schizocarp",10
400,"nut",10
401,"calyx",10
402,"calyx, with seed",10
403,"fruit/seed",10
404,"involucre, with nut",10
405,"female ovipositor/male genitalia",10
406,"nymph",10
407,"ovipositor",10
408,"fruit scale",10
409,"30-100 µm",10
412,"long bone",10
413,"basipterygium",10
414,"caudal bony plate",10
415,"cleithrum",10
416,"epihyal",10
417,"epiotic",10
418,"head-angular",10
419,"hypohyal 1",10
420,"interopercle",10
421,"lingual plate",10
422,"mesocoracoid",10
423,"mesopterygoid",10
424,"metapterygoid",10
425,"opercle",10
426,"parasphenoid",10
427,"post-cleithrum",10
428,"posttemporal",10
429,"premaxilla",10
430,"preopercle",10
431,"prootic",10
432,"quadrate",10
433,"subopercle",10
434,"supracleithrum",10
435,"supraoccipital",10
436,"urohyal",10
437,"antorbital",10
438,"articular",10
439,"branchiostegal",10
440,"fin",10
441,"infraorbital",10
442,"lachrymal",10
443,"maxillary",10
444,"symplectic",10
445,">20 µm",10
446,"thorn",10
447,"leaflet",10
448,"phyllary",10
450,"stamen",10
451,"shoot",10
452,"catkin scale",10
453,"stem, leaf",10
454,"skeleton",10
455,"megasporangium",10
456,"resting spore",10
457,"bone/antler",10
458,"catkin bract, pistillate",10
459,"mass",10
460,"sclereid cell, star-shaped",10
461,"catkin",10
462,"catkin, pistillate",10
463,"catkin, staminate",10
464,"mericarp",10
465,"mandible/claw",10
466,"egg",10
467,"aboveground parts",10
468,"oocyte",10
469,"trichoblast",10
470,">180 µm",10
471,"phytolith",10
472,"<80 µm",10
473,"80-125 µm",10
474,"pupa",10
475,"pupa (large)",10
476,"pupa (small)",10
477,"flower bud",10
478,"jaw",10
480,"tooth, unicuspid",10
481,"mummy",10
482,"vegetative",10
483,"epidermis",10
484,"carpometacarpus",10
485,"complete skeleton",10
486,"furculum",10
487,"longbone",10
488,"podial",10
489,"synsacrum",10
490,"areole",10
491,"bur",10
492,"cocoon",10
493,"awn",10
494,"entire",10
497,"radio-cubitus",10
498,"sepal",10
499,"metapodial, vestigial",10
500,"dermal ossicle",10
501,"wood, xylem",10
502,"xylem",10
503,"vertebral cap",10
504,"maxilla, premolars",10
505,"maxilla, incisors",10
506,"bone/scale",10
507,"bone/claw",10
508,"pharyngeal jaw",10
509,"carapace",10
510,"beak",10
511,"megastrobilus/seed",10
512,"bract/pappus",10
513,"bud/bract",10
514,"caryopsis",10
515,"flower/leaf",10
516,"gall",10
517,"seed/pappus",10
518,"0.5-1.0 mm",10
519,">1.0 mm",10
520,"branchlet",10
521,"petiole",10
522,"seed/seed wing",10
523,"leaf hooks",10
524,"perine",10
525,"aril",10
526,"berry",10
527,"cleistogene",10
528,"culm",10
529,"inflorescence",10
530,"pedicel",10
531,"ascospore",10
532,"fruit hooks",10
533,"leaf tip",10
534,"lorica",10
535,"zygospore/aplanospore",10
536,"inner lining",10
537,"wet mass",10
538,"body exoskeleton",10
539,"<25 µm",10
540,">25 µm",10
541,"<40 µm",10
542,">40 µm",10
543,"rhizome/root",10
544,"gametophore",10
545,"imago",10
546,"sporocarp",10
547,"idioblast",10
548,"massulae",10
549,"non-pollen palynomorph",10
550,"craniodental",10
551,"filament",10
552,"cell",10
553,"filament/cell",10
554,"linear dimension",10
555,"total",10
556,"microfragment",10
557,"macrofragment",10
558,"seed epidermis",10
559,"labium",10
560,"ovum",10
561,"particle",10
562,"sporangium",10
563,"chlamydospore",10
564,"conidium",10
565,"conidium/chlamydospore",10
566,"fruit body/ascospore",10
567,"cell cluster",10
568,"postabdomen, female",10
569,"postabdomen, male",10
570,"sclereid cell",10
571,"fruit body",10
572,"microsclerotium",10
573,"mycorrhizal root",10
574,"heptacosane",10
575,"nonacosane",10
576,"tricosane",10
577,"coccon",10
578,"peridinoid cyst",10
579,"ectocuneiform",10
580,"phalanx, distal (third), digit 3",10
581,"phalanx, intermediate (second), digit 3",10
582,"phalanx, proximal (first), digit 3",10
583,"coprolite",10
584,"arolia",10
585,"lacinia",10
586,"m/z = 1018",10
587,"m/z = 1020",10
588,"m/z = 1022",10
589,"m/z = 1032",10
590,"m/z = 1034",10
591,"m/z = 1036",10
592,"m/z = 1046",10
593,"m/z = 1048",10
594,"m/z = 1050",10
595,"m/z = 1292",10
596,"m/z = 1302",10
597,"residue",10
598,"number",10
599,"mounted volume",10
600,">150 µm",10
601,"sclerotium",10
602,"base cell",10
603,"temporal",10
604,"sphenoid",10
605,"clavicle",10
606,"talus",10
607,"phalanx, foot",10
608,"phalanx, hand",10
609,"tooth, enamel",10
610,"manus",10
611,"lateral malleolus",10
612,">500 µm",10
613,"feather",10
614,"blood residue",10
615,"LOI estimated",10
616,"960°C",10
617,"50-125 µm",10
618,"tracheid",10
619,"molybdenum anode tube",10
620,"bulk sediment",10
621,"mandibles",10
622,"skin",10
623,"horn sheath",10
624,"postcranial",10
625,"tooth/tusk",10
627,"keel",10
628,"log",10
629,"spore mass",10
630,"carpal/tarsal",10
631,">60 µm",10
632,"15-60 µm",10
633,"egg/remains",10
634,">125 µm, grass",10
635,"trace fossil",10
636,">200 µm",10
637,">600 µm",10
638,"floral bract",10
639,"fid",10
640,"water",10
641,"rhizome",10
642,"perforation plate, scalariform",10
643,"perforation plate, reticulate",10
644,"perforation plate, foraminate",10
645,"perforation plate, simple",10
646,"<30 µm",10
647,"30-60 µm",10
648,"60-150 µm",10
649,"10-150 µm",10
650,"2-150 µm",10
651,"plastron, anterior",10
652,"osteoderm",10
653,"epidermal scale",10
654,"10-50 µm",10
655,"50-180 µm",10
656,"hyomandibula",10
657,"cypsela",10
658,"stylet muscle 3 (m3)",10
659,"stylet muscle 5 (m5)",10
660,"stylet muscle 6 (m6)",10
661,"vertebra, cervical 3-7",10
662,"vertebra, lumbar 1-5",10
663,"vertebra, thoracic 1-14",10
664,"flat bone",10
665,"1960-3920 µm^2",10
666,"3920-7840 µm^2",10
667,"7840-15680 µm^2",10
668,"980-1960 µm^2",10
669,">15680 µm^2",10
671,"shoot, dwarf",10
673,"periderm",10
674,"exocarp",10
675,"dehiscence cap",10
676,"pinnule",10
677,"ephippia",10
681,"root",10
682,"2200-20000 µm^2",10
683,"375-2200 µm^2",10
684,"75-375 µm^2",10
685,">20000 µm^2",10
687,"phalanx, first",10
688,"elytron/head/pronotum",10
689,"head/prothorax",10
690,"prothorax",10
691,"stem/rhizome",10
692,"utricle",10
693,"stipe",10
694,"seed capsule",10
695,"labrum",10
696,"head/prothorax/scutellum",10
697,"head/prothorax/wing",10
698,"prothorax/wing",10
699,"various elements",10
700,"terminalia",10
701,"gaster",10
702,"chelicera",10
703,"sporangium, large",10
704,"sporangium, small",10
705,"sorus",10
706,"syncarp",10
707,"pericarp",10
708,"forceps",10
709,"hoof",10
710,"bone and tooth",10
711,"legume",10
712,"pappus",10
713,"branch",10
714,"areole/spine",10
715,"bud/needle",10
716,"remain",10
717,"shoot, short",10
718,"invertebrate undiff.",10
719,"petrous",10
720,"carpal, ulnar",10
721,"carpal, intermediate",10
722,"carpal, radial",10
723,"carpal, second",10
724,"carpal, third",10
725,"carpal, fourth",10
726,"tarsal, central",10
727,"tarsal, central/fourth",10
728,"tarsal, first",10
729,"tarsal, fourth",10
730,"tarsal, second",10
731,"tarsal, second/third",10
732,"tarsal, third",10
733,"amerospore",10
734,"150-250 µm",10
735,"< 10 µm",10
736,"7-180 µm",10
738,">45 µm",10
739,"phragmoascospore",10
740,"didymoascospore",10
741,"phragmoconidium",10
742,"thallus",10
743,">125 µm, arboreal",10
744,"seed pod",10
745,"5-250 µm",10
746,"180-250 µm",10
747,"10-100 μm",10
748,"batch number",10
749,"opening diameter",10
750,"opening area",10
751,"<150 µm",10
752,"frozen carcass",10
753,"5-100 µm",10
754,"10-160 µm",10
755,"<35 µm",10
756,">160 µm",10
757,">35 µm",10
758,">1 mm",10
759,">2 mm",10
760,"case",10
761,"leaf scar",10
762,"microsporophyll",10
764,"catkin bract",10
765,"node",10
766,"ovule scale",10
767,"plant case",10
768,"stone case",10
769,"arcellinida case",10
770,"bark/needle base",10
771,"leaf vein",10
772,"twig, with bark",10
773,"organic",10
774,">63 µm",10
779,"sterigma",10
781,"lemma",10
782,"10-250 µm",10
783,"conidiophore",10
784,"ivory",10
785,"feces",10
786,"20-50 µm",10
787,"<20 µm",10
788,"capsule, cap",10
789,"perigynium/seed",10
790,"spindle",10
791,"biogenic silica",10
792,"bud/bud scale",10
793,"scar tree",10
794,"metacarpal, front limb",10
795,"metacarpal, rear limb",10
796,"carpal, central",10
797,"carpal, second/third",10
798,"sesamoid, distal",10
799,"sesamoid, lateral",10
800,"sesamoid, medial",10
801,"appendicular",10
802,"female catkin",10
803,"male catkin",10
804,"cone scale",10
805,"parenchyma cell",10
806,"ascocarp",10
807,"hyphopodium",10
808,"bract/samara",10
809,">710 µm",10
810,"50-150 µm",10
811,"150-1000 µm",10
812,">1000 µm",10
813,"melaleuca quinquenervia",10
814,"bulk",10
815,"12-16 µm",10
816,"28-32 µm",10
817,"24-28 µm",10
818,"32-36 µm",10
819,"16-20 µm",10
820,"44-48 µm",10
821,"36-40 µm",10
822,"40-44 µm",10
823,"4-8 µm",10
824,"20-24 µm",10
825,"48-52 µm",10
826,"52-56 µm",10
827,"56-60 µm",10
828,"60-64 µm",10
829,"64-68 µm",10
830,"68-72 µm",10
831,"72-76 µm",10
832,"76-80 µm",10
833,"8-12 µm",10
834,"80-84 µm",10
835,"84-88 µm",10
836,"92-96 µm",10
837,"88-92 µm",10
838,">95 µm",10
839,"weight",10
840,"150-500 μm",10
841,"500-1180 μm",10
842,"needle; base",10
843,"needle; tip",10
844,"needle; middle",10
845,"needle; shaft",10
846,"cone",10
847,"150-425 μm",10
848,"425-1180 μm",10
849,"cone scale bract",10
850,"frond",10
851,"leaf scale",10
852,"50-500 µm",10
853,"25-100 µm",10
854,"grain",10
855,"leaf-hair base",10
856,"star cell",10
857,"trichosclereid",10
858,"<10 µm",10
859,"10-25 µm",10
860,"charred epidermis",10
861,"root hair",10
862,"root yellowish cells",10
863,"<180 µm",10
864,"dry specific weight",10
865,"catkin scale, female",10
866,"charcoal",10
867,"leaf/leaf fragment",10
868,"water mass %",10
869,"budscale",10
870,"plant",10
871,"decomposition",10
872,"soil",10
873,"stone",10
874,"faecal pellet",10
875,"macroremains",10
876,"dry specific gravity",10
877,"wet specific gravity",10
878,"518 nm light transmission",10
879,"branch periderm",10
880,"carapax",10
881,"cf. budscale",10
882,"cf. stem",10
883,"fragment (black)",10
884,"fragment (brown)",10
885,"fragment (forked)",10
886,"leaf callus",10
887,"leaf sheath",10
888,"needle base",10
889,"seed (brown)",10
890,"spine/mandible",10
891,"bud (unripe)",10
892,"bud (young)",10
893,"fibre",10
894,"wood fragment (large)",10
895,"wood fragment (small)",10
896,"yr/cm",10
897,"flux",10
898,"0-50 µm",10
899,"DNA",10
900,"grains/cm²/yr",10
901,"pollen/cm²/yr",10
902,"head, pronotum, left elytron, right elytron",10
903,"pronotum, left elytron, right elytron",10
904,"head, left elytron, right elytron",10
905,"pronotum,,left elytron, right elytron",10
906,"left elytron",10
907,"right elytron",10
908,"head, pronotum",10
909,"head, left elytron",10
910,"left elytron, right elytron",10
911,"head, right elytron",10
912,"250-500 µm",10
913,"cephalothoraces",10
914,"cephalothorax",10
915,"elytra",10
916,"head, pronotum, elytra",10
917,"pronotum, elytra",10
918,"head, pronotum, elytron",10
919,"head, elytra",10
920,"head, elytron",10
921,"pronotum, elytron",10
922,"pronotum, hemelytron",10
923,"head, pronota, elytra",10
924,"250-500 μm",10
925,"bark and cone-scale fragments",10
926,"branchlet with leaf-scars",10
927,"bud-scale",10
928,"bud-scales and anthers",10
929,"bark and cone scale fragments",10
930,"branchlet with leaf scars",10
931,"bud scales and anthers",10
932,"female catkin scale",10
933,"female cone scale",10
934,"leaf fragment",10
935,"male cone",10
936,"needle cushion",10
937,"nut scale",10
938,"short-shoot",10
939,"pronotum, left elytron",10
940,"pronotum, right elytron",10
941,"frontoclypeal segment",10
942,"head, pronotum, right elytron",10
943,"head, pronotum, left elytron",10
944,"insects and feathers",10
945,"uncertainty conc",10
946,"18S rRNA",10
947,"trnL p6-loop",10
948,"spherules",10
949,"concentration error",10
950,"influx",10
951,"clump",10
952,"added",10
953,"remains",10
954,"tetrad",10
955,"105°c",10
956,"counted (non-dino)",10
957,"650°c",10
958,"charred leaf fragment",10
959,"charred needle fragment",10
960,"seed wing fragment",10
961,"ommatidium",10
962,"kyste",10
963,"125-500 μm",10
964,"charred remain",10
965,"seed/leaf",10
966,"seed/spindle",10
967,"epidermis/spine",10
968,"high frequency 15616 hz 200 a/m",10
969,"low frequency 976 hz 200 a/m",10
970,"mineral residue",10
971,"wet volume",10
972,"clump of 2",10
973,"clump of 3",10
974,"bulk tissue",10
975,"250 µm",10
976,"125 µm",10
